id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
100,10,T1.4,6,5.50890104975,1374.0,1974.0,10060,1006,NA,581.679190234,791.349093363,1153.22093493,1546.35200329
100,10,T2.0.1,5,4.97932499219,1443.0,2043.0,10050,1005,NA,565.953947499,817.557831254,1518.7110044,1990.46828644
100,10,T2.3,6,5.50890104975,1374.0,1974.0,10060,1006,NA,581.679190234,791.349093363,1153.22093493,1546.35200329
101,1,MS,13,13.0,NA,NA,1131,113,1.0,179.335017711,328.3558615,654.97074555,934.404426623
101,4,T1,10,10.0,NA,NA,4101,410,1.0,411.207894283,567.404769096,752.888557938,1045.75769821
101,5,T2,10,5.8278963315,1119.0,1719.0,5060,510,NA,612.574324983,738.376266861,887.766072841,1123.64471386
101,6,T1.0,9,6.17554922643,1167.0,1767.0,6070,609,NA,607.332577405,747.112512825,913.101186135,1175.18856505
101,6,T3,9,5.79454177835,1167.0,1767.0,6060,609,NA,607.332577405,747.112512825,913.101186135,1175.18856505
101,10,T3.2,7,5.47341353073,1301.0,1901.0,10060,1007,NA,592.356155753,772.073215578,988.919239094,1325.88872627
101,10,T7,7,5.69094929863,1300.0,1900.0,10060,1007,NA,592.356155753,772.073215578,988.919239094,1325.88872627
102,1,MS,12,12.0,NA,NA,1121,112,1.0,177.174094668,338.611132671,662.778400821,965.472847077
102,5,T2,9,5.50837767418,1142.0,1742.0,5060,509,NA,609.811156423,749.591091842,915.579765153,1177.66714407
102,6,T3,8,5.50681913261,1202.0,1802.0,6060,608,NA,603.25897195,760.511399297,947.248656772,1242.09695805
102,7,T2.0,7,7.0,NA,NA,7071,707,1.0,388.583404134,611.721796725,876.698637927,1295.08312403
102,10,T2.3,6,5.43493703741,1363.0,1963.0,10060,1006,NA,583.602418532,793.272321661,1155.14416322,1548.27523159
102,10,T7,6,5.35108119391,1362.0,1962.0,10060,1006,NA,583.602418532,793.272321661,1155.14416322,1548.27523159
103,1,MS,13,13.0,NA,NA,1131,113,1.0,167.153005899,316.173849689,642.788733738,922.222414811
103,4,T1,10,10.0,NA,NA,4101,410,1.0,399.025882471,555.222757285,740.706546126,1033.5756864
103,5,T2,10,7.22692084076,1229.0,1829.0,5080,510,NA,600.392313172,726.194255049,875.584061029,1111.46270205
103,6,T1.0,9,7.25475140641,1274.0,1874.0,6080,609,NA,595.150565594,734.930501013,900.919174324,1163.00655324
103,6,T3,9,7.00787758002,1273.0,1873.0,6080,609,NA,595.150565594,734.930501013,900.919174324,1163.00655324
