treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution
T1	Rht3	2011	1	200	240	7	F3	0,561	8
T1	Rht3	2011	1	200	240	8	F1	0,312	8
T1	Rht3	2011	1	200	240	8	F2	0,261	8
T1	Rht3	2011	1	200	240	8	F3	0,857	4
T1	Rht3	2011	1	200	240	8	F4	0,906	2
T1	Rht3	2011	1	200	240	9	F1	0,288	8
T1	Rht3	2011	1	200	240	9	F2	0,643	8
T1	Rht3	2011	1	200	240	9	F3	0,645	8
T1	Rht3	2011	1	200	240	9	F4	0,634	4
T1	Rht3	2011	1	200	240	10	F1	0,641	8
T1	Rht3	2011	1	200	240	10	F2	0,876	8
T1	Rht3	2011	1	200	240	10	F3	0,646	8
T1	Rht3	2011	1	200	240	10	F4	0,44	4
T1	Rht3	2011	1	200	240	11	F1	0,348	8
T1	Rht3	2011	1	200	240	11	F2	0,612	8
T1	Rht3	2011	1	200	240	11	F3	0,713	4
T1	Rht3	2011	1	200	240	12	F1	0,943	8
T1	Rht3	2011	1	200	240	12	F2	0,363	20
T1	Rht3	2011	1	200	240	12	F3	0,31	8
T1	Rht3	2011	1	200	240	12	F4	0,637	2
T1	Rht3	2011	1	200	240	13	F1	0,275	8
T1	Rht3	2011	1	200	240	13	F2	0,688	16
T1	Rht3	2011	1	200	240	13	F3	0,437	16
T1	Rht3	2011	1	200	240	13	F4	0,646	8
T1	Rht3	2011	1	200	240	14	F1	0,634	8
T1	Rht3	2011	1	200	240	14	F2	0,455	8
T1	Rht3	2011	1	200	240	14	F3	0,676	8
T1	Rht3	2011	1	200	240	14	F4	0,285	8
T1	Rht3	2011	1	200	240	15	F1	0,285	8
T1	Rht3	2011	1	200	240	15	F2	0,536	16
T1	Rht3	2011	1	200	240	15	F3	0,36	8
T1	Rht3	2011	1	200	240	16	F1	0,429	16
T1	Rht3	2011	1	200	240	16	F2	0,572	20
T1	Rht3	2011	1	200	240	16	F3	0,229	8
T1	Rht3	2011	1	200	240	17	F1	0,353	20
T1	Rht3	2011	1	200	240	17	F2	0,518	8
T1	Rht3	2011	1	200	240	17	F3	0,415	2
T1	Rht3	2011	1	200	240	18	F1	0,859	8
T1	Rht3	2011	1	200	240	18	F2	0,539	16
T1	Rht3	2011	1	200	240	18	F3	0,313	8
T1	Rht3	2011	1	200	240	19	F1	0,542	16
T1	Rht3	2011	1	200	240	19	F2	0,391	20
T1	Rht3	2011	1	200	240	19	F3	0,422	8
T1	Rht3	2011	1	200	240	19	F4	0,803	2
T1	Rht3	2011	1	200	240	20	F1	0,829	8
T1	Rht3	2011	1	200	240	20	F2	0,378	8
T1	Rht3	2011	1	200	240	20	F3	0,582	4
T1	Rht3	2011	1	200	240	20	F4	0,478	4
T2	Mercia	2011	1	40	240	1	F1	0,18	2
T2	Mercia	2011	1	40	240	1	F2	0,301	2
T2	Mercia	2011	1	40	240	1	F3	0,193	2
T2	Mercia	2011	1	40	240	1	F4	0,227	2
T2	Mercia	2011	1	40	240	2	F1	0,078	2
T2	Mercia	2011	1	40	240	2	F2	0,184	2
T2	Mercia	2011	1	40	240	2	F3	0,202	2
T2	Mercia	2011	1	40	240	2	F4	0,192	2
T2	Mercia	2011	1	40	240	3	F1	0,29	2
T2	Mercia	2011	1	40	240	3	F2	0,231	2
T2	Mercia	2011	1	40	240	3	F3	0,169	2
T2	Mercia	2011	1	40	240	3	F4	0,234	2
T2	Mercia	2011	1	40	240	4	F1	0,107	2
T2	Mercia	2011	1	40	240	4	F2	0,14	2
T2	Mercia	2011	1	40	240	4	F3	0,1	2
T2	Mercia	2011	1	40	240	4	F4	0,222	2
T2	Mercia	2011	1	40	240	5	F1	0,042	2
T2	Mercia	2011	1	40	240	5	F2	0,137	2
T2	Mercia	2011	1	40	240	5	F3	0,093	2
T2	Mercia	2011	1	40	240	5	F4	0,227	2
T2	Mercia	2011	1	40	240	6	F1	0,079	2
T2	Mercia	2011	1	40	240	6	F2	0,163	2
T2	Mercia	2011	1	40	240	6	F3	0,138	2
T2	Mercia	2011	1	40	240	6	F4	0,252	2
T2	Mercia	2011	1	40	240	7	F1	0,108	2
T2	Mercia	2011	1	40	240	7	F2	0,15	2
T2	Mercia	2011	1	40	240	7	F3	0,119	2
T2	Mercia	2011	1	40	240	7	F4	0,079	2
T2	Mercia	2011	1	40	240	8	F1	0,086	2
T2	Mercia	2011	1	40	240	8	F2	0,137	2
T2	Mercia	2011	1	40	240	8	F3	0,181	2
T2	Mercia	2011	1	40	240	8	F4	0,262	2
T2	Mercia	2011	1	40	240	9	F1	0,093	2
T2	Mercia	2011	1	40	240	9	F2	0,219	2
T2	Mercia	2011	1	40	240	9	F3	0,291	2
T2	Mercia	2011	1	40	240	9	F4	0,301	2
T2	Mercia	2011	1	40	240	10	F1	0,054	2
T2	Mercia	2011	1	40	240	10	F2	0,079	2
T2	Mercia	2011	1	40	240	10	F3	0,093	2
T2	Mercia	2011	1	40	240	10	F4	0,3	2
T2	Mercia	2011	1	40	240	11	F1	0,107	2
T2	Mercia	2011	1	40	240	11	F2	0,29	2
T2	Mercia	2011	1	40	240	11	F3	0,311	2
T2	Mercia	2011	1	40	240	11	F4	0,368	2
T2	Mercia	2011	1	40	240	12	F1	0,333	2
T2	Mercia	2011	1	40	240	12	F2	0,384	2
T2	Mercia	2011	1	40	240	12	F3	0,262	2
T2	Mercia	2011	1	40	240	12	F4	0,304	2
T2	Mercia	2011	1	40	240	13	F1	0,149	2
T2	Mercia	2011	1	40	240	13	F2	0,186	2
T2	Mercia	2011	1	40	240	13	F3	0,127	2
T2	Mercia	2011	1	40	240	13	F4	0,186	2
T2	Mercia	2011	1	40	240	14	F1	0,147	2
T2	Mercia	2011	1	40	240	14	F2	0,143	2
T2	Mercia	2011	1	40	240	14	F3	0,154	2
T2	Mercia	2011	1	40	240	14	F4	0,102	2
T2	Mercia	2011	1	40	240	15	F1	0,057	2
T2	Mercia	2011	1	40	240	15	F2	0,223	2
T2	Mercia	2011	1	40	240	15	F3	0,066	2
T2	Mercia	2011	1	40	240	15	F4	0,223	2
T2	Mercia	2011	1	40	240	16	F1	0,127	2
T2	Mercia	2011	1	40	240	16	F2	0,112	2
T2	Mercia	2011	1	40	240	16	F3	0,098	2
T2	Mercia	2011	1	40	240	16	F4	0,295	2
T2	Mercia	2011	1	40	240	17	F1	0,281	2
T2	Mercia	2011	1	40	240	17	F2	0,401	2
T2	Mercia	2011	1	40	240	17	F3	0,171	2
T2	Mercia	2011	1	40	240	17	F4	0,316	2
T2	Mercia	2011	1	40	240	18	F1	0,118	2
T2	Mercia	2011	1	40	240	18	F2	0,211	2
T2	Mercia	2011	1	40	240	18	F3	0,194	2
T2	Mercia	2011	1	40	240	18	F4	0,234	2
T2	Mercia	2011	1	40	240	19	F1	0,112	2
T2	Mercia	2011	1	40	240	19	F2	0,209	2
T2	Mercia	2011	1	40	240	19	F3	0,121	2
T2	Mercia	2011	1	40	240	19	F4	0,309	2
T2	Mercia	2011	1	40	240	20	F1	0,085	2
T2	Mercia	2011	1	40	240	20	F2	0,274	2
T2	Mercia	2011	1	40	240	20	F3	0,16	2
T2	Mercia	2011	1	40	240	20	F4	0,402	2
T2	Mercia	2011	1	80	240	1	F1	0,321	2
T2	Mercia	2011	1	80	240	1	F2	0,717	2
T2	Mercia	2011	1	80	240	1	F3	0,305	2
T2	Mercia	2011	1	80	240	1	F4	0,267	2
T2	Mercia	2011	1	80	240	2	F1	0,467	2
T2	Mercia	2011	1	80	240	2	F2	0,634	2
T2	Mercia	2011	1	80	240	2	F3	0,232	2
T2	Mercia	2011	1	80	240	2	F4	0,223	2
T2	Mercia	2011	1	80	240	3	F1	0,273	2
T2	Mercia	2011	1	80	240	3	F2	0,435	2
T2	Mercia	2011	1	80	240	3	F3	0,216	2
T2	Mercia	2011	1	80	240	3	F4	0,313	2
T2	Mercia	2011	1	80	240	4	F1	0,188	2
T2	Mercia	2011	1	80	240	4	F2	0,528	2
T2	Mercia	2011	1	80	240	4	F3	0,271	2
T2	Mercia	2011	1	80	240	4	F4	0,547	2
T2	Mercia	2011	1	80	240	5	F1	0,413	2
T2	Mercia	2011	1	80	240	5	F2	0,218	2
T2	Mercia	2011	1	80	240	5	F3	0,393	2
T2	Mercia	2011	1	80	240	5	F4	0,283	2
T2	Mercia	2011	1	80	240	6	F1	0,789	2
T2	Mercia	2011	1	80	240	6	F2	0,665	4
T2	Mercia	2011	1	80	240	6	F3	0,4473	2
T2	Mercia	2011	1	80	240	6	F4	0,399	2
T2	Mercia	2011	1	80	240	7	F1	0,172	2
T2	Mercia	2011	1	80	240	7	F2	0,529	2
T2	Mercia	2011	1	80	240	7	F3	0,508	2
T2	Mercia	2011	1	80	240	7	F4	0,341	2
T2	Mercia	2011	1	80	240	8	F1	0,339	2
T2	Mercia	2011	1	80	240	8	F2	0,813	2
T2	Mercia	2011	1	80	240	8	F3	0,668	2
T2	Mercia	2011	1	80	240	8	F4	0,266	2
T2	Mercia	2011	1	80	240	9	F1	0,253	2
T2	Mercia	2011	1	80	240	9	F2	0,408	2
T2	Mercia	2011	1	80	240	9	F3	0,397	2
T2	Mercia	2011	1	80	240	9	F4	0,442	2
T2	Mercia	2011	1	80	240	10	F1	0,27	2
T2	Mercia	2011	1	80	240	10	F2	0,546	2
T2	Mercia	2011	1	80	240	10	F3	0,439	2
T2	Mercia	2011	1	80	240	10	F4	0,277	2
T2	Mercia	2011	1	80	240	11	F1	0,591	2
T2	Mercia	2011	1	80	240	11	F2	0,524	2
T2	Mercia	2011	1	80	240	11	F3	0,365	2
T2	Mercia	2011	1	80	240	11	F4	0,686	2
T2	Mercia	2011	1	80	240	12	F1	0,309	2
T2	Mercia	2011	1	80	240	12	F2	0,857	2
T2	Mercia	2011	1	80	240	12	F3	0,509	2
T2	Mercia	2011	1	80	240	12	F4	0,645	2
T2	Mercia	2011	1	80	240	13	F1	0,345	2
T2	Mercia	2011	1	80	240	13	F2	0,706	2
T2	Mercia	2011	1	80	240	13	F3	0,545	2
T2	Mercia	2011	1	80	240	13	F4	0,165	2
T2	Mercia	2011	1	80	240	14	F1	0,122	2
T2	Mercia	2011	1	80	240	14	F2	0,351	2
T2	Mercia	2011	1	80	240	14	F3	0,144	2
T2	Mercia	2011	1	80	240	14	F4	0,178	2
T2	Mercia	2011	1	80	240	15	F1	0,085	2
T2	Mercia	2011	1	80	240	15	F2	0,327	2
T2	Mercia	2011	1	80	240	15	F3	0,2341	2
T2	Mercia	2011	1	80	240	15	F4	0,341	2
T2	Mercia	2011	1	80	240	16	F1	0,39	2
T2	Mercia	2011	1	80	240	16	F2	0,307	2
T2	Mercia	2011	1	80	240	16	F3	0,186	2
T2	Mercia	2011	1	80	240	16	F4	0,195	2
T2	Mercia	2011	1	80	240	17	F1	0,353	2
T2	Mercia	2011	1	80	240	17	F2	0,338	2
T2	Mercia	2011	1	80	240	17	F3	0,207	2
T2	Mercia	2011	1	80	240	17	F4	0,277	2
T2	Mercia	2011	1	80	240	18	F1	0,344	2
T2	Mercia	2011	1	80	240	18	F2	0,538	2
T2	Mercia	2011	1	80	240	18	F3	0,443	2
T2	Mercia	2011	1	80	240	18	F4	0,428	2
T2	Mercia	2011	1	80	240	19	F1	0,419	2
T2	Mercia	2011	1	80	240	19	F2	0,297	2
T2	Mercia	2011	1	80	240	19	F3	0,282	2
T2	Mercia	2011	1	80	240	19	F4	0,473	2
T2	Mercia	2011	1	80	240	20	F1	0,35	2
T2	Mercia	2011	1	80	240	20	F2	0,455	2
T2	Mercia	2011	1	80	240	20	F3	0,255	2
T2	Mercia	2011	1	80	240	20	F4	0,303	2
T2	Mercia	2011	1	150	240	1	F1	0,415	2
T2	Mercia	2011	1	150	240	1	F2	0,627	8
T2	Mercia	2011	1	150	240	1	F3	0,425	2
T2	Mercia	2011	1	150	240	1	F4	0,385	2
T2	Mercia	2011	1	150	240	2	F1	0,642	2
T2	Mercia	2011	1	150	240	2	F2	0,317	8
T2	Mercia	2011	1	150	240	2	F3	0,412	8
T2	Mercia	2011	1	150	240	2	F4	0,598	2
T2	Mercia	2011	1	150	240	3	F1	0,137	2
T2	Mercia	2011	1	150	240	3	F2	0,431	2
T2	Mercia	2011	1	150	240	3	F3	0,454	2
T2	Mercia	2011	1	150	240	3	F4	0,351	2
T2	Mercia	2011	1	150	240	4	F1	0,22	2
T2	Mercia	2011	1	150	240	4	F2	0,544	4
T2	Mercia	2011	1	150	240	4	F3	0,493	4
T2	Mercia	2011	1	150	240	4	F4	0,354	2
T2	Mercia	2011	1	150	240	5	F1	0,528	2
T2	Mercia	2011	1	150	240	5	F2	0,483	2
T2	Mercia	2011	1	150	240	5	F3	0,631	2
T2	Mercia	2011	1	150	240	5	F4	0,393	2
T2	Mercia	2011	1	150	240	6	F1	0,458	2
T2	Mercia	2011	1	150	240	6	F2	0,622	8
T2	Mercia	2011	1	150	240	6	F3	0,336	4
T2	Mercia	2011	1	150	240	6	F4	0,348	2
T2	Mercia	2011	1	150	240	7	F1	0,71	4
T2	Mercia	2011	1	150	240	7	F2	0,338	8
T2	Mercia	2011	1	150	240	7	F3	0,367	2
T2	Mercia	2011	1	150	240	7	F4	0,394	2
T2	Mercia	2011	1	150	240	8	F1	0,716	2
T2	Mercia	2011	1	150	240	8	F2	0,441	4
T2	Mercia	2011	1	150	240	8	F3	0,661	2
T2	Mercia	2011	1	150	240	8	F4	0,575	2
T2	Mercia	2011	1	150	240	9	F1	0,748	2
T2	Mercia	2011	1	150	240	9	F2	0,485	4
T2	Mercia	2011	1	150	240	9	F3	0,845	2
T2	Mercia	2011	1	150	240	9	F4	0,369	2
T2	Mercia	2011	1	150	240	10	F1	0,451	2
T2	Mercia	2011	1	150	240	10	F2	0,578	4
T2	Mercia	2011	1	150	240	10	F3	0,575	4
T2	Mercia	2011	1	150	240	10	F4	0,604	4
T2	Mercia	2011	1	150	240	11	F1	0,693	2
T2	Mercia	2011	1	150	240	11	F2	0,481	4
T2	Mercia	2011	1	150	240	11	F3	0,606	2
T2	Mercia	2011	1	150	240	11	F4	0,668	2
T2	Mercia	2011	1	150	240	12	F1	0,782	2
T2	Mercia	2011	1	150	240	12	F2	0,693	4
T2	Mercia	2011	1	150	240	12	F3	0,74	2
T2	Mercia	2011	1	150	240	12	F4	0,92	2
T2	Mercia	2011	1	150	240	13	F1	0,369	2
T2	Mercia	2011	1	150	240	13	F2	0,349	4
T2	Mercia	2011	1	150	240	13	F3	0,764	2
T2	Mercia	2011	1	150	240	13	F4	0,317	2
T2	Mercia	2011	1	150	240	14	F1	0,694	4
T2	Mercia	2011	1	150	240	14	F2	0,447	8
T2	Mercia	2011	1	150	240	14	F3	0,439	4
T2	Mercia	2011	1	150	240	14	F4	0,387	2
T2	Mercia	2011	1	150	240	15	F1	0,185	2
T2	Mercia	2011	1	150	240	15	F2	0,448	2
T2	Mercia	2011	1	150	240	15	F3	0,427	2
T2	Mercia	2011	1	150	240	15	F4	0,22	2
T2	Mercia	2011	1	150	240	16	F1	0,3	2
T2	Mercia	2011	1	150	240	16	F2	0,614	2
T2	Mercia	2011	1	150	240	16	F3	0,358	2
T2	Mercia	2011	1	150	240	16	F4	0,491	2
T2	Mercia	2011	1	150	240	17	F1	0,799	2
T2	Mercia	2011	1	150	240	17	F2	0,709	2
T2	Mercia	2011	1	150	240	17	F3	0,524	4
T2	Mercia	2011	1	150	240	17	F4	0,674	2
T2	Mercia	2011	1	150	240	18	F1	0,591	2
T2	Mercia	2011	1	150	240	18	F2	1,001	2
T2	Mercia	2011	1	150	240	18	F3	0,626	2
T2	Mercia	2011	1	150	240	18	F4	0,487	2
T2	Mercia	2011	1	150	240	19	F1	0,393	2
T2	Mercia	2011	1	150	240	19	F2	0,367	2
T2	Mercia	2011	1	150	240	19	F3	0,417	2
T2	Mercia	2011	1	150	240	19	F4	0,359	2
T2	Mercia	2011	1	150	240	20	F1	0,552	2
T2	Mercia	2011	1	150	240	20	F2	0,581	2
T2	Mercia	2011	1	150	240	20	F3	0,71	4
T2	Mercia	2011	1	150	240	20	F4	0,555	2
T2	Mercia	2011	1	200	240	1	F1	0,575	2
T2	Mercia	2011	1	200	240	1	F2	0,346	8
T2	Mercia	2011	1	200	240	1	F3	0,72	2
T2	Mercia	2011	1	200	240	1	F4	0,492	4
T2	Mercia	2011	1	200	240	2	F1	0,252	2
T2	Mercia	2011	1	200	240	2	F2	0,493	2
T2	Mercia	2011	1	200	240	2	F3	0,603	2
T2	Mercia	2011	1	200	240	2	F4	0,58	2
T2	Mercia	2011	1	200	240	3	F1	0,579	4
T2	Mercia	2011	1	200	240	3	F2	0,368	4
T2	Mercia	2011	1	200	240	3	F3	0,55	2
T2	Mercia	2011	1	200	240	3	F4	0,734	2
T2	Mercia	2011	1	200	240	4	F1	0,164	16
T2	Mercia	2011	1	200	240	4	F2	0,72	4
T2	Mercia	2011	1	200	240	4	F3	0,97	2
T2	Mercia	2011	1	200	240	4	F4	0,213	2
T2	Mercia	2011	1	200	240	5	F1	0,875	4
T2	Mercia	2011	1	200	240	5	F2	0,539	8
T2	Mercia	2011	1	200	240	5	F3	0,797	4
T2	Mercia	2011	1	200	240	5	F4	0,825	2
T2	Mercia	2011	1	200	240	6	F1	0,716	4
T2	Mercia	2011	1	200	240	6	F2	0,536	8
T2	Mercia	2011	1	200	240	6	F3	0,355	4
T2	Mercia	2011	1	200	240	6	F4	0,597	4
T2	Mercia	2011	1	200	240	7	F1	0,41	4
T2	Mercia	2011	1	200	240	7	F2	0,527	4
T2	Mercia	2011	1	200	240	7	F3	0,467	4
T2	Mercia	2011	1	200	240	7	F4	0,411	2
T2	Mercia	2011	1	200	240	8	F1	0,703	2
T2	Mercia	2011	1	200	240	8	F2	0,873	2
T2	Mercia	2011	1	200	240	8	F3	0,748	2
T2	Mercia	2011	1	200	240	8	F4	0,55	2
T2	Mercia	2011	1	200	240	9	F1	0,55	4
T2	Mercia	2011	1	200	240	9	F2	0,846	2
T2	Mercia	2011	1	200	240	9	F3	0,624	2
T2	Mercia	2011	1	200	240	9	F4	0,517	2
T2	Mercia	2011	1	200	240	10	F1	0,442	2
T2	Mercia	2011	1	200	240	10	F2	0,758	2
T2	Mercia	2011	1	200	240	10	F3	0,627	4
T2	Mercia	2011	1	200	240	10	F4	0,472	2
T2	Mercia	2011	1	200	240	11	F1	0,809	2
T2	Mercia	2011	1	200	240	11	F2	0,494	2
T2	Mercia	2011	1	200	240	11	F3	0,646	2
T2	Mercia	2011	1	200	240	11	F4	0,692	4
T2	Mercia	2011	1	200	240	12	F1	0,485	4
T2	Mercia	2011	1	200	240	12	F2	0,415	8
T2	Mercia	2011	1	200	240	12	F3	0,746	2
T2	Mercia	2011	1	200	240	12	F4	0,523	4
T2	Mercia	2011	1	200	240	13	F1	0,337	2
T2	Mercia	2011	1	200	240	13	F2	0,408	2
T2	Mercia	2011	1	200	240	13	F3	0,323	2
T2	Mercia	2011	1	200	240	13	F4	0,247	2
T2	Mercia	2011	1	200	240	14	F1	0,705	4
T2	Mercia	2011	1	200	240	14	F2	0,622	2
T2	Mercia	2011	1	200	240	14	F3	0,611	2
T2	Mercia	2011	1	200	240	14	F4	0,693	2
T2	Mercia	2011	1	200	240	15	F1	0,925	4
T2	Mercia	2011	1	200	240	15	F2	0,598	4
T2	Mercia	2011	1	200	240	15	F3	0,595	2
T2	Mercia	2011	1	200	240	15	F4	0,841	2
T2	Mercia	2011	1	200	240	16	F1	0,228	2
T2	Mercia	2011	1	200	240	16	F2	0,458	2
T2	Mercia	2011	1	200	240	16	F3	0,512	2
T2	Mercia	2011	1	200	240	16	F4	0,192	2
T2	Mercia	2011	1	200	240	17	F1	0,36	2
T2	Mercia	2011	1	200	240	17	F2	0,931	2
T2	Mercia	2011	1	200	240	17	F3	0,826	2
T2	Mercia	2011	1	200	240	17	F4	0,903	2
T2	Mercia	2011	1	200	240	18	F1	0,301	2
T2	Mercia	2011	1	200	240	18	F2	0,878	2
T2	Mercia	2011	1	200	240	18	F3	0,472	4
T2	Mercia	2011	1	200	240	18	F4	0,737	2
T2	Mercia	2011	1	200	240	19	F1	0,644	4
T2	Mercia	2011	1	200	240	19	F2	0,539	2
T2	Mercia	2011	1	200	240	19	F3	0,513	2
T2	Mercia	2011	1	200	240	19	F4	0,422	2
T2	Mercia	2011	1	200	240	20	F1	0,679	2
T2	Mercia	2011	1	200	240	20	F2	0,923	4
T2	Mercia	2011	1	200	240	20	F3	0,623	4
T2	Mercia	2011	1	200	240	20	F4	0,633	2
T2	Rht3	2011	1	40	240	1	F1	0,074	2
T2	Rht3	2011	1	40	240	1	F2	0,239	2
T2	Rht3	2011	1	40	240	1	F3	0,341	2
T2	Rht3	2011	1	40	240	1	F4	0,278	2
T2	Rht3	2011	1	40	240	2	F1	0,096	2
T2	Rht3	2011	1	40	240	2	F2	0,266	2
T2	Rht3	2011	1	40	240	2	F3	0,282	2
T2	Rht3	2011	1	40	240	2	F4	0,435	2
T2	Rht3	2011	1	40	240	3	F1	0,377	2
T2	Rht3	2011	1	40	240	3	F2	0,653	2
T2	Rht3	2011	1	40	240	3	F3	0,263	2
T2	Rht3	2011	1	40	240	3	F4	0,295	2
T2	Rht3	2011	1	40	240	4	F1	0,251	2
T2	Rht3	2011	1	40	240	4	F2	0,643	2
T2	Rht3	2011	1	40	240	4	F3	0,38	2
T2	Rht3	2011	1	40	240	4	F4	0,423	2
T2	Rht3	2011	1	40	240	5	F1	0,596	2
T2	Rht3	2011	1	40	240	5	F2	0,572	2
T2	Rht3	2011	1	40	240	5	F3	0,221	2
T2	Rht3	2011	1	40	240	5	F4	0,265	2
T2	Rht3	2011	1	40	240	6	F1	0,2	2
T2	Rht3	2011	1	40	240	6	F2	0,604	2
T2	Rht3	2011	1	40	240	6	F3	0,327	2
T2	Rht3	2011	1	40	240	6	F4	0,727	2
T2	Rht3	2011	1	40	240	7	F1	0,114	2
T2	Rht3	2011	1	40	240	7	F2	0,655	2
T2	Rht3	2011	1	40	240	7	F3	0,572	2
T2	Rht3	2011	1	40	240	7	F4	0,933	2
T2	Rht3	2011	1	40	240	8	F1	0,227	2
T2	Rht3	2011	1	40	240	8	F2	0,629	4
T2	Rht3	2011	1	40	240	8	F3	0,463	2
T2	Rht3	2011	1	40	240	8	F4	0,439	2
T2	Rht3	2011	1	40	240	9	F1	0,115	2
T2	Rht3	2011	1	40	240	9	F2	0,289	2
T2	Rht3	2011	1	40	240	9	F3	0,25	2
T2	Rht3	2011	1	40	240	9	F4	0,291	2
T2	Rht3	2011	1	40	240	10	F1	0,109	2
T2	Rht3	2011	1	40	240	10	F2	0,784	2
T2	Rht3	2011	1	40	240	10	F3	0,464	2
T2	Rht3	2011	1	40	240	10	F4	0,309	2
T2	Rht3	2011	1	40	240	11	F1	0,061	2
T2	Rht3	2011	1	40	240	11	F2	0,204	2
T2	Rht3	2011	1	40	240	11	F3	0,226	2
T2	Rht3	2011	1	40	240	11	F4	0,301	2
T2	Rht3	2011	1	40	240	12	F1	0,119	2
T2	Rht3	2011	1	40	240	12	F2	0,294	2
T2	Rht3	2011	1	40	240	12	F3	0,404	2
T2	Rht3	2011	1	40	240	12	F4	0,433	2
T2	Rht3	2011	1	40	240	13	F1	0,037	2
T2	Rht3	2011	1	40	240	13	F2	0,183	2
T2	Rht3	2011	1	40	240	13	F3	0,155	2
T2	Rht3	2011	1	40	240	13	F4	0,196	2
T2	Rht3	2011	1	40	240	14	F1	0,133	2
T2	Rht3	2011	1	40	240	14	F2	0,353	2
T2	Rht3	2011	1	40	240	14	F3	0,852	2
T2	Rht3	2011	1	40	240	14	F4	0,908	2
T2	Rht3	2011	1	40	240	15	F1	0,073	2
T2	Rht3	2011	1	40	240	15	F2	0,221	2
T2	Rht3	2011	1	40	240	15	F3	0,191	2
T2	Rht3	2011	1	40	240	15	F4	0,302	2
T2	Rht3	2011	1	40	240	16	F1	0,226	2
T2	Rht3	2011	1	40	240	16	F2	0,662	2
T2	Rht3	2011	1	40	240	16	F3	0,205	2
T2	Rht3	2011	1	40	240	16	F4	0,623	2
T2	Rht3	2011	1	40	240	17	F1	0,106	2
T2	Rht3	2011	1	40	240	17	F2	0,407	2
T2	Rht3	2011	1	40	240	17	F3	0,136	2
T2	Rht3	2011	1	40	240	17	F4	0,181	2
T2	Rht3	2011	1	40	240	18	F1	0,039	2
T2	Rht3	2011	1	40	240	18	F2	0,116	2
T2	Rht3	2011	1	40	240	18	F3	0,17	2
T2	Rht3	2011	1	40	240	18	F4	0,245	2
T2	Rht3	2011	1	40	240	19	F1	0,091	2
T2	Rht3	2011	1	40	240	19	F2	0,479	2
T2	Rht3	2011	1	40	240	19	F3	0,544	2
T2	Rht3	2011	1	40	240	19	F4	0,25	2
T2	Rht3	2011	1	40	240	20	F1	0,133	2
T2	Rht3	2011	1	40	240	20	F2	0,325	2
T2	Rht3	2011	1	40	240	20	F3	0,431	2
T2	Rht3	2011	1	40	240	20	F4	0,819	2
T2	Rht3	2011	1	80	240	1	F1	0,194	2
T2	Rht3	2011	1	80	240	1	F2	0,603	2
T2	Rht3	2011	1	80	240	1	F3	0,355	2
T2	Rht3	2011	1	80	240	1	F4	0,418	2
T2	Rht3	2011	1	80	240	2	F1	0,193	2
T2	Rht3	2011	1	80	240	2	F2	0,642	2
T2	Rht3	2011	1	80	240	2	F3	0,292	2
T2	Rht3	2011	1	80	240	2	F4	0,327	2
T2	Rht3	2011	1	80	240	3	F1	0,65	2
T2	Rht3	2011	1	80	240	3	F2	0,828	2
T2	Rht3	2011	1	80	240	3	F3	0,556	2
T2	Rht3	2011	1	80	240	3	F4	0,388	2
T2	Rht3	2011	1	80	240	4	F1	0,251	2
T2	Rht3	2011	1	80	240	4	F2	0,485	8
T2	Rht3	2011	1	80	240	4	F3	0,37	2
T2	Rht3	2011	1	80	240	4	F4	0,334	2
T2	Rht3	2011	1	80	240	5	F1	0,326	2
T2	Rht3	2011	1	80	240	5	F2	0,467	2
T2	Rht3	2011	1	80	240	5	F3	0,652	2
T2	Rht3	2011	1	80	240	5	F4	0,482	2
T2	Rht3	2011	1	80	240	6	F1	0,138	2
T2	Rht3	2011	1	80	240	6	F2	0,914	2
T2	Rht3	2011	1	80	240	6	F3	0,732	2
T2	Rht3	2011	1	80	240	6	F4	0,401	2
T2	Rht3	2011	1	80	240	7	F1	0,479	2
T2	Rht3	2011	1	80	240	7	F2	0,397	8
T2	Rht3	2011	1	80	240	7	F3	0,349	8
T2	Rht3	2011	1	80	240	7	F4	0,305	2
T2	Rht3	2011	1	80	240	8	F1	0,226	2
T2	Rht3	2011	1	80	240	8	F2	0,783	2
T2	Rht3	2011	1	80	240	8	F3	0,549	2
T2	Rht3	2011	1	80	240	8	F4	0,277	2
T2	Rht3	2011	1	80	240	9	F1	0,3	2
T2	Rht3	2011	1	80	240	9	F2	0,498	2
T2	Rht3	2011	1	80	240	9	F3	0,69	2
T2	Rht3	2011	1	80	240	9	F4	0,354	2
T2	Rht3	2011	1	80	240	10	F1	0,249	2
T2	Rht3	2011	1	80	240	10	F2	0,3	8
T2	Rht3	2011	1	80	240	10	F3	0,426	2
T2	Rht3	2011	1	80	240	10	F4	0,381	2
T2	Rht3	2011	1	80	240	11	F1	0,148	2
T2	Rht3	2011	1	80	240	11	F2	0,725	2
T2	Rht3	2011	1	80	240	11	F3	0,277	2
T2	Rht3	2011	1	80	240	11	F4	0,316	2
T2	Rht3	2011	1	80	240	12	F1	0,146	2
T2	Rht3	2011	1	80	240	12	F2	0,422	2
T2	Rht3	2011	1	80	240	12	F3	0,313	2
T2	Rht3	2011	1	80	240	12	F4	0,418	2
T2	Rht3	2011	1	80	240	13	F1	0,298	2
T2	Rht3	2011	1	80	240	13	F2	0,749	2
