treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution
T1	Mercia	2011	1	80	240	18	F4	0,252	1
T1	Mercia	2011	1	80	240	19	F1	0,525	2
T1	Mercia	2011	1	80	240	19	F2	0,564	2
T1	Mercia	2011	1	80	240	19	F3	0,373	2
T1	Mercia	2011	1	80	240	20	F1	0,269	4
T1	Mercia	2011	1	80	240	20	F2	0,406	2
T1	Mercia	2011	1	80	240	20	F3	0,46	2
T1	Mercia	2011	1	150	240	1	F1	0,497	2
T1	Mercia	2011	1	150	240	1	F2	0,584	2
T1	Mercia	2011	1	150	240	1	F3	0,712	2
T1	Mercia	2011	1	150	240	1	F4	0,234	2
T1	Mercia	2011	1	150	240	2	F1	0,743	2
T1	Mercia	2011	1	150	240	2	F2	0,594	4
T1	Mercia	2011	1	150	240	2	F3	0,552	2
T1	Mercia	2011	1	150	240	3	F1	0,542	2
T1	Mercia	2011	1	150	240	3	F2	0,356	2
T1	Mercia	2011	1	150	240	3	F3	0,711	2
T1	Mercia	2011	1	150	240	4	F1	0,587	4
T1	Mercia	2011	1	150	240	4	F2	0,681	2
T1	Mercia	2011	1	150	240	4	F3	0,964	2
T1	Mercia	2011	1	150	240	5	F1	0,606	8
T1	Mercia	2011	1	150	240	5	F2	0,916	2
T1	Mercia	2011	1	150	240	5	F3	0,265	2
T1	Mercia	2011	1	150	240	6	F1	0,613	4
T1	Mercia	2011	1	150	240	6	F2	0,864	4
T1	Mercia	2011	1	150	240	6	F3	0,698	2
T1	Mercia	2011	1	150	240	7	F1	0,841	4
T1	Mercia	2011	1	150	240	7	F2	0,429	4
T1	Mercia	2011	1	150	240	7	F3	0,915	2
T1	Mercia	2011	1	150	240	7	F4	0,46	2
T1	Mercia	2011	1	150	240	8	F1	0,377	4
T1	Mercia	2011	1	150	240	8	F2	0,561	4
T1	Mercia	2011	1	150	240	8	F3	0,51	2
T1	Mercia	2011	1	150	240	9	F1	0,394	4
T1	Mercia	2011	1	150	240	9	F2	0,383	4
T1	Mercia	2011	1	150	240	9	F3	0,54	2
T1	Mercia	2011	1	150	240	9	F4	0,596	2
T1	Mercia	2011	1	150	240	10	F1	0,709	4
T1	Mercia	2011	1	150	240	10	F2	0,857	2
T1	Mercia	2011	1	150	240	10	F3	0,524	2
T1	Mercia	2011	1	150	240	11	F1	0,888	2
T1	Mercia	2011	1	150	240	11	F2	0,351	2
T1	Mercia	2011	1	150	240	11	F3	0,343	2
T1	Mercia	2011	1	150	240	12	F1	0,557	2
T1	Mercia	2011	1	150	240	12	F2	0,355	2
T1	Mercia	2011	1	150	240	12	F3	0,354	2
T1	Mercia	2011	1	150	240	13	F1	0,518	4
T1	Mercia	2011	1	150	240	13	F2	0,694	4
T1	Mercia	2011	1	150	240	13	F3	0,686	2
T1	Mercia	2011	1	150	240	14	F1	0,426	2
T1	Mercia	2011	1	150	240	14	F2	0,393	4
