image;date;pcent_veg;variety
20130529_Ref_B3_6.jpg;29/05/2013;42,22;Tremie13
20130529_TNT_B1_1.jpg;29/05/2013;49,7;Tremie13
20130529_TNT_B1_2.jpg;29/05/2013;53,63;Tremie13
20130529_TNT_B1_3.jpg;29/05/2013;56,29;Tremie13
20130529_TNT_B1_4.jpg;29/05/2013;41,39;Tremie13
20130529_TNT_B1_5.jpg;29/05/2013;57,64;Tremie13
20130529_TNT_B1_6.jpg;29/05/2013;63,23;Tremie13
20130529_TNT_B1_7.jpg;29/05/2013;66,24;Tremie13
20130529_TNT_B2_1.jpg;29/05/2013;61,75;Tremie13
20130529_TNT_B2_2.jpg;29/05/2013;51,87;Tremie13
20130529_TNT_B2_3.jpg;29/05/2013;57,3;Tremie13
20130529_TNT_B2_4.jpg;29/05/2013;44,74;Tremie13
20130529_TNT_B2_5.jpg;29/05/2013;54,83;Tremie13
20130529_TNT_B2_6.jpg;29/05/2013;56,64;Tremie13
20130529_TNT_B2_7.jpg;29/05/2013;49,87;Tremie13
20130529_TNT_B3_1.jpg;29/05/2013;45,73;Tremie13
20130529_TNT_B3_2.jpg;29/05/2013;48,24;Tremie13
20130529_TNT_B3_3.jpg;29/05/2013;49,51;Tremie13
20130529_TNT_B3_4.jpg;29/05/2013;50,62;Tremie13
20130529_TNT_B3_5.jpg;29/05/2013;54,04;Tremie13
20130529_TNT_B3_6.jpg;29/05/2013;44,36;Tremie13
20130529_TNT_B3_7.jpg;29/05/2013;54,84;Tremie13
20130613_Ref_B1_1.jpg;13/06/2013;67,09;Tremie13
20130613_Ref_B1_2.jpg;13/06/2013;63,69;Tremie13
20130613_Ref_B1_3.jpg;13/06/2013;56,39;Tremie13
20130613_Ref_B1_4.jpg;13/06/2013;57,91;Tremie13
20130613_Ref_B1_5.jpg;13/06/2013;55,24;Tremie13
20130613_Ref_B1_6.jpg;13/06/2013;54,84;Tremie13
20130613_Ref_B1_7.jpg;13/06/2013;64,34;Tremie13
20130613_Ref_B1_8.jpg;13/06/2013;60,21;Tremie13
20130613_Ref_B2_1.jpg;13/06/2013;61,93;Tremie13
20130613_Ref_B2_2.jpg;13/06/2013;58,42;Tremie13
20130613_Ref_B2_3.jpg;13/06/2013;57,21;Tremie13
20130613_Ref_B2_4.jpg;13/06/2013;55,54;Tremie13
20130613_Ref_B2_5.jpg;13/06/2013;63,53;Tremie13
20130613_Ref_B3_2.jpg;13/06/2013;56,7;Tremie13
20130613_Ref_B3_3.jpg;13/06/2013;49,71;Tremie13
20130613_Ref_B3_5.jpg;13/06/2013;52,43;Tremie13
20130613_Ref_B3_6.jpg;13/06/2013;56,96;Tremie13
20130613_Ref_B3_7.jpg;13/06/2013;56,29;Tremie13
20130613_Ref_B3_8.jpg;13/06/2013;55,02;Tremie13
20130613_TNT_B1_1.jpg;13/06/2013;56,59;Tremie13
20130613_TNT_B1_2.jpg;13/06/2013;50,92;Tremie13
20130613_TNT_B1_3.jpg;13/06/2013;54,66;Tremie13
20130613_TNT_B1_4.jpg;13/06/2013;52,23;Tremie13
20130613_TNT_B1_5.jpg;13/06/2013;52,27;Tremie13
20130613_TNT_B1_6.jpg;13/06/2013;48,98;Tremie13
20130613_TNT_B2_1.jpg;13/06/2013;55,83;Tremie13
20130613_TNT_B2_2.jpg;13/06/2013;51,78;Tremie13
20130613_TNT_B2_3.jpg;13/06/2013;40,38;Tremie13
20130613_TNT_B2_4.jpg;13/06/2013;55,22;Tremie13
20130613_TNT_B2_5.jpg;13/06/2013;58,01;Tremie13
20130613_TNT_B2_6.jpg;13/06/2013;50,72;Tremie13
20130613_TNT_B3_1.jpg;13/06/2013;52,53;Tremie13
20130613_TNT_B3_2.jpg;13/06/2013;53,17;Tremie13
20130613_TNT_B3_3.jpg;13/06/2013;51,27;Tremie13
20130613_TNT_B3_4.jpg;13/06/2013;46,48;Tremie13
20130613_TNT_B3_6.jpg;13/06/2013;52,65;Tremie13
20130613_TNT_B3_7.jpg;13/06/2013;52,6;Tremie13
