Site: Boigneville, Unité d'acquisition: Boigneville, Dep: 91, Com: 69, Num: 2;;;;;;
Date;01/09/2010;T[°C);HR(%);Pluies (mm);Vent (km/h);Rg (j/cm²)
01/09/2010;00:00;10,1;87;0;6;0
01/09/2010;01:00;9,4;90,5;0;3;0
01/09/2010;02:00;8,9;91,5;0;4;0
01/09/2010;03:00;9;92;0;6;0
01/09/2010;04:00;8,6;93;0;5;0
01/09/2010;05:00;9,6;91;0;4;12
01/09/2010;06:00;11,8;83;0;8;58
01/09/2010;07:00;14,3;73,5;0;10;118
01/09/2010;08:00;17,1;61,5;0;11;178
01/09/2010;09:00;18,7;53,5;0;15;226
01/09/2010;10:00;19,8;47,5;0;17;260
01/09/2010;11:00;20,3;41;0;18;272
01/09/2010;12:00;21,2;41;0;19;268
01/09/2010;13:00;21,7;39,5;0;19;244
01/09/2010;14:00;21,6;40;0;17;200
01/09/2010;15:00;21;43;0;18;130
01/09/2010;16:00;20,8;44;0;16;88
01/09/2010;17:00;19,6;48,5;0;16;38
01/09/2010;18:00;17,4;57,5;0;9;2
01/09/2010;19:00;16,1;63;0;9;0
01/09/2010;20:00;15,6;68,5;0;9;0
01/09/2010;21:00;14,5;73,5;0;10;0
01/09/2010;22:00;13,5;78;0;10;0
01/09/2010;23:00;12,9;79,5;0;9;0
02/09/2010;00:00;13;80;0;9;0
02/09/2010;01:00;11,9;84;0;11;0
02/09/2010;02:00;11,5;84;0;10;0
02/09/2010;03:00;11,4;85,5;0;10;0
02/09/2010;04:00;11,4;85;0;13;0
02/09/2010;05:00;11,4;86;0;11;6
02/09/2010;06:00;12,8;83;0;11;40
02/09/2010;07:00;14,6;74,5;0;12;100
02/09/2010;08:00;16,7;68,5;0;12;150
02/09/2010;09:00;18,8;61;0;13;222
02/09/2010;10:00;20,3;58,5;0;14;228
02/09/2010;11:00;21,7;51;0;14;264
02/09/2010;12:00;22,3;48;0;15;254
02/09/2010;13:00;23;44,5;0;14;244
02/09/2010;14:00;23,3;42,5;0;15;194
02/09/2010;15:00;23,5;43,5;0;16;140
02/09/2010;16:00;22,2;46,5;0;14;76
02/09/2010;17:00;21;49,5;0;11;36
02/09/2010;18:00;18,2;63;0;7;4
02/09/2010;19:00;17;68;0;6;0
02/09/2010;20:00;16,1;72;0;5;0
02/09/2010;21:00;15,5;75,5;0;7;0
02/09/2010;22:00;14,7;79,5;0;8;0
02/09/2010;23:00;13,8;84;0;7;0
03/09/2010;00:00;13,2;87,5;0;8;0
03/09/2010;01:00;12,6;89,5;0;9;0
03/09/2010;02:00;11,9;92;0;6;0
03/09/2010;03:00;11,2;94;0;5;0
03/09/2010;04:00;10,9;94,5;0;5;0
03/09/2010;05:00;11,4;95,5;0;4;10
03/09/2010;06:00;13,5;88,5;0;6;58
03/09/2010;07:00;15,5;79;0;10;114
03/09/2010;08:00;18,2;71;0;8;172
03/09/2010;09:00;20,5;58,5;0;9;220
03/09/2010;10:00;21,8;55,5;0;11;250
03/09/2010;11:00;22,4;52;0;10;266
03/09/2010;12:00;22,8;46;0;11;260
03/09/2010;13:00;23,4;46,5;0;10;236
03/09/2010;14:00;23,5;44;0;10;198
03/09/2010;15:00;23,7;45;0;10;140
03/09/2010;16:00;22,8;45,5;0;10;80
03/09/2010;17:00;21,3;52;0;8;32
03/09/2010;18:00;18,7;62,5;0;4;2
03/09/2010;19:00;17,4;67,5;0;5;0
03/09/2010;20:00;16;72;0;5;0
03/09/2010;21:00;15,1;77;0;7;0
03/09/2010;22:00;14,3;80,5;0;7;0
03/09/2010;23:00;13,5;84,5;0;6;0
04/09/2010;00:00;13;88;0;5;0
04/09/2010;01:00;12,4;89;0;6;0
04/09/2010;02:00;11,8;91,5;0;7;0
04/09/2010;03:00;11,4;93;0;8;0
04/09/2010;04:00;11;94;0;6;0
04/09/2010;05:00;11,2;95;0;7;10
04/09/2010;06:00;13;90;0;7;56
04/09/2010;07:00;14,8;85;0;8;98
04/09/2010;08:00;17,4;72,5;0;9;164
04/09/2010;09:00;19;61;0;9;214
04/09/2010;10:00;20,3;55;0;11;236
04/09/2010;11:00;21,7;51,5;0;10;264
04/09/2010;12:00;22;49,5;0;11;240
04/09/2010;13:00;22,1;49,5;0;12;192
04/09/2010;14:00;21,7;50,5;0;11;144
04/09/2010;15:00;21,6;50,5;0;9;106
04/09/2010;16:00;21,1;53,5;0;8;68
04/09/2010;17:00;19,8;60;0;6;24
04/09/2010;18:00;18,1;67,5;0;4;2
04/09/2010;19:00;17,3;70,5;0;5;0
