index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,8.2,,,,,,,,,,,,,
5,9.1,,,,,,,,,,,,,
6,11.2,,,,,,,,,,,,,
7,12.8,,,,,,,,,,,,,
8,14.9,,,,,,,,,,,,,
9,17.5,,,,,,,,,,,,,
10,21.4,,,,,,,,,,,,,
11,22,,,,,,,,,,,,,
12,20.3,,,,,,,,,,,,,
13,12.7,,,,,,,,,,,,,
