index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,8.09,,,0.403842105,0,0
2,10.23,,,0.403842105,0,0
3,9.28,,,0.403842105,0,0
4,,,,0.403842105,0,0
5,,,,0.403842105,0,0
6,9.27,,,0.403842105,0,0
7,11.38,,,0.403842105,0,0
8,15.46,,10.35,0.403842105,,0.403842105
9,20.98,1.3,12.04736842,0.403842105,,0.403842105
10,24.09,1.541176471,13.6,0.403842105,,0.403842105
11,22.75,1.710526316,14.16842105,0.403842105,,0.403842105
12,16.33,1.8,18.24736842,0.403842105,,0.403842105
