Date	var	Trt	Rep	N	Axis	Nflig	Nfvis	H_last_col	nff	Lg_F1	Lg_F2	Lg_F3	Lg_F4	Lg_F5	Lg_F6	Lg_F7	Lg_F8	Lg_F9	Lg_F10	Lg_F11	Lg_F12	fsen_F1	fsen_F2	fsen_F3	fsen_F4	fsen_F5	fsen_F6	fsen_F7	fsen_F8	fsen_F9	fsen_F10	fsen_F11	fsen_F12	fvert_F1	fvert_F2	fvert_F3	fvert_F4	fvert_F5	fvert_F6	fvert_F7	fvert_F8	fvert_F9	fvert_F10	fvert_F11	fvert_F12
13/02/2013	Tremie	T1+T2	3	32	MB	4	1	NA	11	6,9	7,4	9	9,7	5,2								20	0	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	33	MB	4	1	NA	11	7,3	c	10	10	4,6								0	NA	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	34	MB	4	1	NA	11	6,5	8,2	c	c	7,7								0	0	NA	NA	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	35	MB	3	2	NA	11	7	10	11,5	11,8	3								15	0	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	36	MB	4	1	NA	11	c	8,5	10,3	c	5,7								20	0	0	NA	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	37	MB	3	2	NA	11	9,5	6,8	10,5	10,5	2								0	10	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	38	MB	3	2	NA	11	c	8,1	8,8	9	1,6								NA	0	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	39	MB	4	1	NA	11	c	9,8	11,5	11,5	3,8								NA	15	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	40	MB	4	1	NA	11	c	8,5	11,5	11,5	4,1								NA	15	20	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	41	MB	4	1	NA	11	c	9,6	c	11	3,5								NA	0	NA	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	42	MB	4	1	NA	11	5,5	8,4	9,3	10	3,7								10	10	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	43	MB	3	2	NA	11	c	9,3	c	c	c								NA	15	NA	NA	NA	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	44	MB	3	2	NA	11	c	8	10	9,5	2								NA	0	0	0	0	0	0	0	0	0	0	0												
13/02/2013	Tremie	T1+T2	3	45	MB	4	1	NA	11	c	8,4	c	c	5,5								NA	10	NA	NA	0	0	0	0	0	0	0	0												
19/04/2013	Tremie	T1+T2	1	1	MB	8	1	NA	12						10,2	12,7	16,5	13,5				100	100	100	100	100	50	20	0	0															
19/04/2013	Tremie	T1+T2	1	2	MB	8	1	NA	11						11,5	14,7	19	16				100	100	100	100	100	50	20	0	0															
19/04/2013	Tremie	T1+T2	1	3	MB	8	1	NA	11						11,2	14,5	17,5	11,5				100	100	100	100	100	60	40	0	0															
19/04/2013	Tremie	T1+T2	1	4	MB	7	2	NA	11						11	13,5	16,8	4,5				100	100	100	100	100	40	0	0	NA															
19/04/2013	Tremie	T1+T2	1	5	MB	7	2	NA	11						10,7	13,5	18,5	7,7				100	100	100	100	100	50	0	0	NA															
19/04/2013	Tremie	T1+T2	1	6	MB	7	2	NA	11						10,5	12,7	17,5	7				100	100	100	100	100	40	0	0	NA															
19/04/2013	Tremie	T1+T2	1	7	MB	8	1	NA	12						c	12,7	14,5	14,7				100	100	100	100	100	NA	15	0	0															
19/04/2013	Tremie	T1+T2	1	8	MB	8	2	NA	12						10,5	10,5	13	18	6,5			100	100	100	100	100	80	30	0	0															
19/04/2013	Tremie	T1+T2	1	9	MB	8	1	NA	11						10	11,7	14,5	18				100	100	100	100	100	95	30	0	0															
19/04/2013	Tremie	T1+T2	1	10	MB	8	1	NA	12						8,4	12	15	18				100	100	100	100	100	80	35	0	0															
19/04/2013	Tremie	T1+T2	1	11	MB	8	1	NA	11						11,5	13,1	17,1	13,6				100	100	100	100	100	80	20	0	0															
19/04/2013	Tremie	T1+T2	1	12	MB	8	1	NA	12						9	11,1	14,7	16,5				100	100	100	100	100	80	25	0	0															
19/04/2013	Tremie	T1+T2	1	13	MB	8	1	NA	11						11,2	13	17	14,2				100	100	100	100	100	70	20	0	0															
19/04/2013	Tremie	T1+T2	1	14	MB	8	1	NA	11						11,5	13	17	14				100	100	100	100	100	60	15	0	0															
19/04/2013	Tremie	T1+T2	1	15	MB	8	1	NA	12						10,5	12,5	16,5	15,5				100	100	100	100	100	60	20	0	0															
19/04/2013	Tremie	T1+T2	2	16	MB	8	1	NA	11						11,7	15,5	18,5	9,7				100	100	100	100	100	60	10	0	0															
19/04/2013	Tremie	T1+T2	2	17	MB	8	1	NA	11						9,5	12	15,5	11,5				100	100	100	100	100	70	30	0	0															
19/04/2013	Tremie	T1+T2	2	18	MB	8	1	NA	12						9,3	10	13,5	14				100	100	100	100	100	90	20	0	0															
19/04/2013	Tremie	T1+T2	2	19	MB	8	1	NA	11						11,5	14,2	16,5	12,5				100	100	100	100	100	50	20	0	0															
19/04/2013	Tremie	T1+T2	2	20	MB	8	1	NA	12						10	11,5	14,5	16,4				100	100	100	100	100	90	30	0	0															
19/04/2013	Tremie	T1+T2	2	21	MB	8	1	NA	11						11,2	13,7	17,5	11,7				100	100	100	100	100	70	10	0	0															
19/04/2013	Tremie	T1+T2	2	22	MB	8	1	NA	12						10	12,5	16,3	16,2				100	100	100	100	100	40	10	0	0															
19/04/2013	Tremie	T1+T2	2	23	MB	7	2	NA	11						10,5	12,5	17	4				100	100	100	100	100	30	0	0	NA															
19/04/2013	Tremie	T1+T2	2	24	MB	8	1	NA	12						c	11,5	14,6	13,5				100	100	100	100	100	NA	20	0	0															
19/04/2013	Tremie	T1+T2	2	25	MB	8	1	NA	12						10,5	12,7	15,5	12,8				100	100	100	100	100	80	20	0	0															
19/04/2013	Tremie	T1+T2	2	26	MB	8	1	NA	11						12	15	16,1	7,2				100	100	100	100	100	50	0	0	0															
19/04/2013	Tremie	T1+T2	2	27	MB	8	1	NA	11						11,5	13	15	14,2				100	100	100	100	100	90	20	0	0															
19/04/2013	Tremie	T1+T2	2	28	MB	7	2	NA	11						11,3	13,5	17,2	5,5				100	100	100	100	100	20	0	0	NA															
19/04/2013	Tremie	T1+T2	2	29	MB	8	1	NA	12						10	13	17	14,6				100	100	100	100	100	90	10	0	0															
19/04/2013	Tremie	T1+T2	2	30	MB	8	1	NA	12						9,5	11,5	15,3	12,5				100	100	100	100	100	70	15	0	0															
19/04/2013	Tremie	T1+T2	3	31	MB	8	1	NA	11						c	14,2	18	12,2				100	100	100	100	100	NA	20	0	0															
19/04/2013	Tremie	T1+T2	3	32	MB	8	1	NA	11						c	c	18,3	12,5				100	100	100	100	100	NA	NA	0	0															
19/04/2013	Tremie	T1+T2	3	33	MB	8	1	NA	11						c	c	17	9				100	100	100	100	100	NA	NA	0	0															
19/04/2013	Tremie	T1+T2	3	34	MB	7	1	NA	11						12,5	15,5	18,5	NA				100	100	100	100	100	30	0	0	NA															
19/04/2013	Tremie	T1+T2	3	35	MB	8	1	NA	11						13,5	13,1	19,7	7,7				100	100	100	100	100	40	10	0	0															
19/04/2013	Tremie	T1+T2	3	36	MB	8	1	NA	11						12,5	14,5	17	10,5				100	100	100	100	100	70	10	0	0															
19/04/2013	Tremie	T1+T2	3	37	MB	7	1	NA	11						12,5	15,5	21	NA				100	100	100	100	100	40	0	0	NA															
19/04/2013	Tremie	T1+T2	3	38	MB	7	2	NA	11						11,3	14,5	18,2	7				100	100	100	100	100	20	10	0	0															
19/04/2013	Tremie	T1+T2	3	39	MB	8	1	NA	11						13	15,1	18	7				100	100	100	100	100	60	0	0	0															
19/04/2013	Tremie	T1+T2	3	40	MB	7	2	NA	11						c	c	19	5,7				100	100	100	100	100	NA	NA	0	NA															
19/04/2013	Tremie	T1+T2	3	41	MB	8	1	NA	11						c	14,5	17,7	8,3				100	100	100	100	100	NA	10	0	0															
19/04/2013	Tremie	T1+T2	3	42	MB	8	1	NA	11						11,5	13,5	16,5	10,5				100	100	100	100	100	30	0	0	0															
19/04/2013	Tremie	T1+T2	3	43	MB	7	2	NA	11						12,3	15,3	20	5,5				100	100	100	100	100	30	0	0	NA															
19/04/2013	Tremie	T1+T2	3	44	MB	7	2	NA	11						13,2	16	21,5	6,5				100	100	100	100	100	20	0	0	NA															
19/04/2013	Tremie	T1+T2	3	45	MB	8	1	NA	11						10,5	13,7	18,2	10,2				100	100	100	100	100	40	5	0	0															
02/05/2013	Tremie	T1+T2	1	1	MB	9	1	NA	12						10,7	13,1	16,8	21,1	22,3															0	0	0	0	0	0	10	95	100	100		
02/05/2013	Tremie	T1+T2	1	2	MB	9	1	NA	11						12	14,9	19	24,3	21,1															0	0	0	0	0	0	60	80	100	100		
02/05/2013	Tremie	T1+T2	1	3	MB	9	1	NA	11						10,5	14,8	17,7	22,4	17															0	0	0	0	0	0	50	95	100	100		
02/05/2013	Tremie	T1+T2	1	4	MB	9	1	NA	11						11	13,3	18	23	9,2															0	0	0	0	0	0	60	98	100	100		
02/05/2013	Tremie	T1+T2	1	5	MB	8	2	NA	11						10,6	13,8	18,5	22,4	10,1															0	0	0	0	0	0	90	95	100	100		
02/05/2013	Tremie	T1+T2	1	6	MB	8	2	NA	11						10,3	13	17,3	21,5	10															0	0	0	0	0	0	80	100	100	100		
02/05/2013	Tremie	T1+T2	1	7	MB	9	2	NA	12						c	12	15	19,3	21,7	8,5														0	0	0	0	0	0	10	90	100	100		
02/05/2013	Tremie	T1+T2	1	8	MB	9	2	NA	12						8	10	13	18,5	22	8,7														0	0	0	0	0	0	0	90	90	100		
02/05/2013	Tremie	T1+T2	1	9	MB	9	1	NA	11						10	11,8	14,8	21,9	23,2															0	0	0	0	0	0	20	90	100	100		
02/05/2013	Tremie	T1+T2	1	10	MB	9	2	NA	12						c	12,2	15,5	19,6	22,2	9,9														0	0	0	0	0	0	0	90	100	100		
02/05/2013	Tremie	T1+T2	1	11	MB	9	1	NA	11						11,8	13,1	17,4	22	19															0	0	0	0	0	0	40	95	100	100		
02/05/2013	Tremie	T1+T2	1	12	MB	9	2	NA	12						9,2	11,1	14,4	19,5	23,2	7,2														0	0	0	0	0	0	0	95	100	100		
02/05/2013	Tremie	T1+T2	1	13	MB	9	1	NA	11						11,2	13,3	17,4	22,4	19,8															0	0	0	0	0	0	30	75	100	100		
02/05/2013	Tremie	T1+T2	1	14	MB	9	1	NA	11						11,5	13	17	23,2	18,2															0	0	0	0	0	0	10	95	100	100		
02/05/2013	Tremie	T1+T2	1	15	MB	9	2	NA	12						10,2	12,6	16,5	21,1	23,4	6														0	0	0	0	0	0	50	98	100	100		
02/05/2013	Tremie	T1+T2	2	16	MB	9	1	NA	11						11,3	15,3	18,8	22,1	15															0	0	0	0	0	0	85	95	100	100		
02/05/2013	Tremie	T1+T2	2	17	MB	9	1	NA	11						8,5	12,3	16	22	16,2															0	0	0	0	0	0	20	90	100	100		
02/05/2013	Tremie	T1+T2	2	18	MB	9	1	NA	12						8,3	9,5	13,5	18,9	20,9															0	0	0	0	0	0	0	95	100	100		
02/05/2013	Tremie	T1+T2	2	19	MB	9	1	NA	11						11,8	14,3	17	21	18,6															0	0	0	0	0	0	70	90	100	100		
02/05/2013	Tremie	T1+T2	2	20	MB	9	2	NA	12						10,4	11,5	14,5	20,4	21,3	7,3														0	0	0	0	0	0	40	95	100	100		
02/05/2013	Tremie	T1+T2	2	21	MB	9	1	NA	11						10,4	13,7	17,7	22,4	16,3															0	0	0	0	0	0	85	100	100	100		
02/05/2013	Tremie	T1+T2	2	22	MB	9	2	NA	12						10,4	12,2	16,6	20,6	23,6	6														0	0	0	0	0	0	50	95	100	100		
02/05/2013	Tremie	T1+T2	2	23	MB	9	1	NA	11						10,1	12,2	18,1	21,9	8,7															0	0	0	0	0	0	70	100	100	NA		
02/05/2013	Tremie	T1+T2	2	24	MB	9	1	NA	12						c	11,8	14,9	19,4	21,6															0	0	0	0	0	0	10	95	100	100		
02/05/2013	Tremie	T1+T2	2	25	MB	9	2	NA	12						10,6	12,9	15,6	19	22,4	3,9														0	0	0	0	0	0	50	95	100	100		
02/05/2013	Tremie	T1+T2	2	26	MB	9	1	NA	11						11,6	14,6	16,5	20,6	8,9															0	0	0	0	0	0	10	90	100	100		
02/05/2013	Tremie	T1+T2	2	27	MB	9	1	NA	11						11,1	12,8	15,5	20,9	20,1															0	0	0	0	0	0	20	98	100	100		
02/05/2013	Tremie	T1+T2	2	28	MB	9	1	NA	11						10,7	13	17,4	21,6	8,7															0	0	0	0	0	0	80	100	100	100		
02/05/2013	Tremie	T1+T2	2	29	MB	9	2	NA	12						10	13,2	17	20	23,3	8,5														0	0	0	0	0	0	65	95	100	100		
02/05/2013	Tremie	T1+T2	2	30	MB	9	1	NA	12						9,1	11,4	15,5	19,6	22,2															0	0	0	0	0	0	25	0	100	100		
02/05/2013	Tremie	T1+T2	3	31	MB	9	1	NA	11						c	14,1	18,2	22	19															0	0	0	0	0	0	45	95	100	100		
02/05/2013	Tremie	T1+T2	3	32	MB	9	1	NA	11						c	c	18,3	22,4	18,2															0	0	0	0	0	0	50	95	100	100		
02/05/2013	Tremie	T1+T2	3	33	MB	9	1	NA	11						c	c	17,2	21,6	14,8															0	0	0	0	0	0	50	95	100	100		
02/05/2013	Tremie	T1+T2	3	34	MB	9	1	NA	11						8,7	11,8	15,5	21,7	25															0	0	0	0	0	0	30	75	100	100		
02/05/2013	Tremie	T1+T2	3	35	MB	9	1	NA	11						12,3	16,4	20	22,5	13,5															0	0	0	0	0	0	70	95	100	100		
02/05/2013	Tremie	T1+T2	3	36	MB	9	1	NA	11						12,4	14,7	17,4	20,7	15,2															0	0	0	0	0	0	65	95	100	100		
02/05/2013	Tremie	T1+T2	3	37	MB	9	1	NA	11						c	12,6	15,8	22	24,4															0	0	0	0	0	0	15	75	95	100		
02/05/2013	Tremie	T1+T2	3	38	MB	9	1	NA	11						11,9	14,8	18,1	21,8	11,2															0	0	0	0	0	0	70	98	100	100		
02/05/2013	Tremie	T1+T2	3	39	MB	9	1	NA	11						12,4	15,2	18,1	21	13,8															0	0	0	0	0	0	75	98	100	100		
02/05/2013	Tremie	T1+T2	3	40	MB	9	1	NA	11						c	c	19	22,2	10,5															0	0	0	0	0	0	60	90	100	100		
02/05/2013	Tremie	T1+T2	3	41	MB	9	1	NA	11						c	14,4	17,9	21,7	13,6															0	0	0	0	0	0	50	90	100	100		
02/05/2013	Tremie	T1+T2	3	42	MB	9	1	NA	11						c	13,8	16,5	20,4	16,8															0	0	0	0	0	0	80	100	100	100		
02/05/2013	Tremie	T1+T2	3	43	MB	9	1	NA	11						12,2	15,2	19,9	23	9															0	0	0	0	0	0	90	100	100	100		
02/05/2013	Tremie	T1+T2	3	44	MB	9	1	NA	11						13,5	16,2	20,9	23	11,5															0	0	0	0	0	20	90	98	100	100		
02/05/2013	Tremie	T1+T2	3	45	MB	9	1	NA	11						10,8	13,6	18,6	22,9	15,1															0	0	0	0	0	0	75	95	100	100		
22/05/2013	Tremie	T1+T2	1	1	MB	12	0	NA	12								16,3	21,2	24,1	19,8	10,9													0	0	0	0	0	0	0	50	100	100	100	100
22/05/2013	Tremie	T1+T2	1	2	MB	11	0	NA	11								18,5	24,3	25,7	16,5														0	0	0	0	0	0	0	40	99	100	100	
22/05/2013	Tremie	T1+T2	1	3	MB	11	0	NA	11								17,5	22,5	26,4	16														0	0	0	0	0	0	0	40	100	100	100	
22/05/2013	Tremie	T1+T2	1	4	MB	11	0	NA	11								17,8	23,1	21,7	14														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	1	5	MB	11	0	NA	11								18	22,5	20,4	11,5														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	1	6	MB	11	0	NA	11								17,5	21,9	21,4	13,3														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	1	7	MB	12	0	NA	12								15	19,2	22,1	21,2	13,2													0	0	0	0	0	0	0	20	95	100	100	100
22/05/2013	Tremie	T1+T2	1	8	MB	12	0	NA	12								12,5	18,7	22	19,4	12,3													0	0	0	0	0	0	0	0	78	94	100	100
22/05/2013	Tremie	T1+T2	1	9	MB	11	0	NA	11								14,3	21,5	25,1	18														0	0	0	0	0	0	0	5	100	100	100	
22/05/2013	Tremie	T1+T2	1	10	MB	12	0	NA	12								14,9	19,4	22	21,6	12,6													0	0	0	0	0	0	0	0	95	100	99	100
22/05/2013	Tremie	T1+T2	1	11	MB	11	0	NA	11								17	22,2	24	14,7														0	0	0	0	0	0	0	40	100	100	100	
22/05/2013	Tremie	T1+T2	1	12	MB	12	0	NA	12								13,7	19,6	23,3	20,9	12,5													0	0	0	0	0	0	0	20	98	100	100	100
22/05/2013	Tremie	T1+T2	1	13	MB	11	0	NA	11								17	22,6	25,7	15,5														0	0	0	0	0	0	0	40	99	100	100	
22/05/2013	Tremie	T1+T2	1	14	MB	11	0	NA	11								15,7	23	23,7	14,4														0	0	0	0	0	0	0	30	100	100	100	
22/05/2013	Tremie	T1+T2	1	15	MB	12	0	NA	12								16	21,1	22,6	20,5	11,5													0	0	0	0	0	0	0	50	100	100	100	100
22/05/2013	Tremie	T1+T2	2	16	MB	11	0	NA	11								18,4	22,4	23,3	12,6														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	2	17	MB	11	0	NA	11								15,5	22	24	15														0	0	0	0	0	0	0	50	100	100	100	
22/05/2013	Tremie	T1+T2	2	18	MB	12	0	NA	12								12,7	19,3	21,8	18,4	10,5													0	0	0	0	0	0	0	10	95	100	100	100
22/05/2013	Tremie	T1+T2	2	19	MB	11	0	NA	11								16,5	20,8	23,5	12,6														0	0	0	0	0	0	0	50	100	100	100	
