treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution	coef
T1	Mercia	2011	1	40	240	17	F1	0,788	2	0,0448
T1	Mercia	2011	1	40	240	17	F2	0,741	1	0,0448
T1	Mercia	2011	1	40	240	17	F3	0,681	2	0,0448
T1	Mercia	2011	1	40	240	18	F1	0,449	1	0,0448
T1	Mercia	2011	1	40	240	18	F2	0,583	1	0,0448
T1	Mercia	2011	1	40	240	18	F3	0,778	1	0,0448
T1	Mercia	2011	1	40	240	18	F4	0,663	1	0,0448
T1	Mercia	2011	1	40	240	19	F1	0,379	1	0,0448
T1	Mercia	2011	1	40	240	19	F2	0,674	1	0,0448
T1	Mercia	2011	1	40	240	19	F3	0,767	1	0,0448
T1	Mercia	2011	1	40	240	19	F4	0,561	1	0,0448
T1	Mercia	2011	1	40	240	20	F1	0,225	10	0,0448
T1	Mercia	2011	1	40	240	20	F2	0,601	1	0,0448
T1	Mercia	2011	1	40	240	20	F3	0,961	1	0,0448
T1	Mercia	2011	1	80	240	1	F1	0,615	1	0,0448
T1	Mercia	2011	1	80	240	1	F2	0,299	4	0,0448
T1	Mercia	2011	1	80	240	1	F3	0,326	2	0,0448
T1	Mercia	2011	1	80	240	1	F4	0,175	1	0,0448
T1	Mercia	2011	1	80	240	2	F1	0,209	4	0,0448
T1	Mercia	2011	1	80	240	2	F2	0,351	2	0,0448
T1	Mercia	2011	1	80	240	2	F3	0,217	2	0,0448
T1	Mercia	2011	1	80	240	3	F1	0,65	4	0,0448
T1	Mercia	2011	1	80	240	3	F2	0,562	4	0,0448
T1	Mercia	2011	1	80	240	3	F3	0,281	4	0,0448
T1	Mercia	2011	1	80	240	4	F1	0,504	2	0,0448
T1	Mercia	2011	1	80	240	4	F2	0,4959	2	0,0448
T1	Mercia	2011	1	80	240	4	F3	0,489	2	0,0448
T1	Mercia	2011	1	80	240	5	F1	0,575	4	0,0448
T1	Mercia	2011	1	80	240	5	F2	0,311	2	0,0448
