index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,6.58,,,0.46,0,0
2,9,,,0.46,0,0
3,8.88,,,0.46,0,0
4,7.5,,,0.46,0,0
5,,,,0.46,0,0
6,8.6,,,0.46,0,0
7,10.6,,,0.46,0,0
8,12.93,,6.5,0.46,,0.46
9,15.53,,7.43,0.46,,0.46
10,17.46,1.6,9.07,0.46,,0.46
11,19.08,1.86,10.51,0.46,,0.46
12,15.67,2.1,13.19,0.46,,0.46
