"id_dim","rank","TT","index_rel_phytomer","L_blade","W_blade","L_sheath","W_sheath","L_internode","W_internode","N_phytomer","nff","Hcol","rank_phy"
5110,5,537,0.5,11.1,0.643,3.8828,NA,NA,0,10,10,3.8828,5.37831138567535
5110,6,645,0.6,12.9,0.9486,6.5,NA,NA,0,10,10,6.5,6.45998294927486
5110,7,753,0.7,17.1,1.2077,9.6,0.39,2.5,0.305,10,10,12.1,7.54165451287437
5110,8,861,0.8,19.6,1.2919,10,0.4,5.7,0.337,10,10,18.2,8.62332607647388
5110,9,969,0.9,18.3,1.4281,11,0.42,10.3,0.363,10,10,29.5,9.70499764007339
5110,10,1076,1,12.1,1.4972,14.8,0.48,15.2,0.38,10,10,48.5,10.7766537262322
6111,1,98.1363636363636,0.0909,10.6333,0.381,3.5564,NA,NA,0,11,11,3.5564,0.982882536115886
6111,2,199.272727272727,0.1818,11.1,0.3724,3.322,NA,NA,0,11,11,3.322,1.99581150455398
6111,3,299.181818181818,0.2727,9.3,0.4528,3.4681,NA,NA,0,11,11,3.4681,2.99644875067844
6111,4,399.030303030303,0.3636,10.9333,0.6018,4.0841,NA,NA,0,11,11,4.0841,3.99647899817014
6111,5,499.787878787879,0.4545,13,0.7421,4.5474,NA,NA,0,11,11,4.5474,5.00561422515341
6111,6,592.212121212121,0.5455,14.1,0.9372,6.5293,NA,NA,0,11,11,6.5293,5.93128714013054
6111,7,692.969696969697,0.6364,15.8,1.2247,9.6,0.416,1.1,0.408,11,11,10.7,6.94042236711381
6111,8,792.727272727273,0.7273,18.8,1.3313,9.8,0.433,3.4,0.408,11,11,14.3,7.93954211665635
6111,9,892.727272727273,0.8182,18.7,1.3436,10.4,0.466,5.7,0.425,11,11,20.6,8.94108986072997
6111,10,993.863636363636,0.9091,17.3,1.5142,11.6,0.47,10.8,0.446,11,11,32.6,9.95401882916806
6111,11,1095,1,11.8,1.5568,16.2,0.461,14.3,0.391,11,11,51.5,10.9669477976062
8111,1,99.0909090909091,0.0909,9.3667,0.381,3.0758,NA,NA,0,11,11,3.0758,0.992442764582043
8111,2,198.181818181818,0.1818,9.6,0.3724,2.554,NA,NA,0,11,11,2.554,1.98488552916409
8111,3,296.181818181818,0.2727,7.15,0.4528,3.1561,NA,NA,0,11,11,3.1561,2.96640231835624
8111,4,394.909090909091,0.3636,9.95,0.5704,3.7671,NA,NA,0,11,11,3.7671,3.95520309114165
8111,5,493.636363636364,0.4545,11.7,0.6743,4.0927,NA,NA,0,11,11,4.0927,4.94400386392706
8111,6,584.212121212121,0.5455,13.1,0.8857,4.8,NA,NA,0,11,11,4.8,5.85116332060465
8111,7,682.969696969697,0.6364,15,1.2,8.8,0.48,0.4003,0.38,11,11,9.2003,6.84026759270645
8111,8,781.727272727273,0.7273,18.1,1.3036,9.6,0.502,2.9083,0.38,11,11,12.9086,7.82937186480825
8111,9,879.727272727273,0.8182,18.1,1.3436,10.3,0.46,5.9003,0.39,11,11,19.5089,8.8108886540004
8111,10,978.863636363636,0.9091,17.4,1.5185,10.7,0.47,10.5465,0.41,11,11,30.4554,9.80378666755702
8111,11,1078,1,12.05,1.5733,15.3,0.485,15.0883,0.415,11,11,50.1437,10.7966846811136
9111,1,103.136363636364,0.0909,9.1,0.381,2.9156,NA,NA,0,11,11,2.9156,1.03295992331957
9111,2,203.181818181818,0.1818,9.1,0.3724,2.8576,NA,NA,0,11,11,2.8576,2.03496291636777
9111,3,301.272727272727,0.2727,8,0.4528,3.3306,NA,NA,0,11,11,3.3306,3.01739020350907
9111,4,401.030303030303,0.3636,10.5,0.5879,3.9444,NA,NA,0,11,11,3.9444,4.01650995305161
9111,5,500.787878787879,0.4545,11.75,0.6769,4.1102,NA,NA,0,11,11,4.1102,5.01562970259414
9111,6,592.212121212121,0.5455,13.2,0.8909,6.3305,NA,NA,0,11,11,6.3305,5.93128714013054
9111,7,691.090909090909,0.6364,15.5,1.2154,7.981,NA,0.6667,0.37,11,11,8.6477,6.92160540949788
9111,8,790.818181818182,0.7273,19.2,1.3472,9.8,0.446,3.3333,0.37,11,11,13.8,7.92042165972403
9111,9,889.727272727273,0.8182,18,1.3436,10.5,0.459,6,0.404,11,11,20.5,8.91104342840776
9111,10,989.863636363636,0.9091,17.6,1.527,11.4,0.469,11,0.425,11,11,32.4,9.91395691940512
9111,11,1089,1,11.3,1.5237,16,0.487,15.5,0.387,11,11,52.5,10.9068549329617
10111,1,109.136363636364,0.0909,11,0.381,3.236,NA,NA,0,11,11,3.236,1.09305278796398
10111,2,211.272727272727,0.1818,10.1,0.3724,3.0541,NA,NA,0,11,11,3.0541,2.11599723384282
10111,3,311.272727272727,0.2727,8.55,0.4528,3.5368,NA,NA,0,11,11,3.5368,3.11754497791644
10111,4,413.030303030303,0.3636,11.15,0.6087,4.154,NA,NA,0,11,11,4.154,4.13669568234044
10111,5,513.939393939394,0.4545,13.7,0.7786,4.7923,NA,NA,0,11,11,4.7923,5.14734840590564
10111,6,607.212121212121,0.5455,15.2,0.9939,7.6557,NA,NA,0,11,11,7.6557,6.08151930174158
10111,7,708.969696969697,0.6364,17.5,1.2772,10,0.461,1.8,0.362,11,11,11.8,7.10067000616559
10111,8,809.727272727273,0.7273,21.1,1.4224,10.2,0.463,5,0.417,11,11,17,8.10980523314886
