index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,NA,NA,NA,NA,0.00,0.00
2,NA,NA,NA,NA,0.00,0.00
3,NA,NA,2.85,NA,0.00,0.00
4,8.17,NA,3.37,NA,0.00,0.00
5,9.08,NA,4.22,NA,0.00,0.00
6,10.70,0.55,5.39,NA,0.00,0.00
7,13.20,0.70,6.53,NA,0.00,0.00
8,16.60,0.95,7.64,0.50,0.83,0.45
9,21.40,1.19,11.78,0.50,2.52,0.45
10,23.20,1.39,11.56,0.50,4.94,0.45
11,14.70,1.55,13.12,0.50,11.17,0.45
12,12.00,1.64,13.96,0.50,15.25,0.45
