id_axis,a_cohort,TT_col_0,TT_col_N_phytomer_potential,n0,n1,n2
MS,0.0088,27.20816,1395,5.106,2.98,4.902
T1,NA,NA,1395,NA,NA,NA
T2,NA,NA,1395,NA,NA,NA
T3,NA,NA,1395,NA,NA,NA
T4,NA,NA,1395,NA,NA,NA
T5,NA,NA,1395,NA,NA,NA
