"xn","L_blade","W_blade","L_sheath","L_internode","W_sheath","Hcol"
-10,0.288602669860074,0.28179462877411,0.311867718396166,0,1.00001590683758,0.16533632861421
-9.9,0.295908593247007,0.281800785042134,0.311386877211786,0,1.00027771523683,0.165065299000889
-9.8,0.30321451663394,0.281806941310159,0.310906036027405,0,1.00053952363609,0.164794269387567
-9.7,0.310520440020873,0.281813097578184,0.310425194843024,0,1.00080133203535,0.164523239774246
-9.6,0.317826363407806,0.281819253846208,0.309944353658643,0,1.00106314043461,0.164252210160924
-9.5,0.325132286794739,0.281825410114233,0.309463512474262,0,1.00132494883387,0.163981180547603
-9.4,0.332438210181672,0.281831566382257,0.308982671289882,0,1.00158675723313,0.163710150934281
-9.3,0.339744710765829,0.281837722650282,0.308501830105501,0,1.00184856563239,0.16343912132096
-9.2,0.347054334034008,0.281843878918306,0.30802098892112,0,1.00211037403165,0.163168091707639
-9.1,0.354369821625326,0.281850035186331,0.307540147736739,0,1.00237218243091,0.162897062094317
-9,0.361690074923052,0.281856191454356,0.307059306552358,0,1.00263399083017,0.162626032480996
-8.9,0.369009080658488,0.28186234772238,0.306578465367978,0,1.00289579922943,0.162355002867674
-8.8,0.376315349462749,0.281868503990405,0.306097624183597,0,1.00315760762869,0.162083973254353
-8.7,0.383582163811354,0.281874660258429,0.305616782999216,0,1.00341941602795,0.161812943641031
-8.6,0.390762614295084,0.281880816526454,0.305135941814835,0,1.00368122442721,0.16154191402771
-8.5,0.397803265948648,0.281886972794479,0.304655100630454,0,1.00394303282647,0.161270884414388
-8.4,0.404648813023745,0.281893129062503,0.304174259446074,0,1.00420484122573,0.160999854801067
-8.3,0.411243744502981,0.281899285330528,0.303693418261693,0,1.00446664962499,0.160728825187745
-8.2,0.417532668682973,0.281905441598552,0.303212577077312,0,1.00472845802425,0.160457795574424
-8.1,0.423462771892595,0.281911597866577,0.302731735892931,0,1.00499026642351,0.160186765961103
-8,0.428983297175397,0.281917754134601,0.30225089470855,0,1.00525207482277,0.159915736347781
-7.9,0.434040052464486,0.281923907927763,0.301770053801767,0,1.0055138804728,0.159644707914292
-7.8,0.43857161111235,0.281929834869734,0.301287807609818,0,1.0057721645422,0.159372725371152
-7.7,0.44252584597306,0.281936783754247,0.300798298147384,0,1.00601420168958,0.159095944083593
-7.6,0.445866526209881,0.281955026890702,0.300297846374256,0,1.00622606083049,0.158812640343645
-7.5,0.44859263471498,0.28200848504989,0.299792455710721,0,1.00639342872643,0.158527063440129
-7.4,0.450737688297271,0.282135559178451,0.299305991111616,0,1.00651612241707,0.158254046592944
-7.3,0.452348182292618,0.282391920665939,0.298873619405537,0,1.00660191832442,0.158012185867914
-7.2,0.453471739485858,0.282834395127381,0.298530050103906,0,1.0066590899115,0.157820899191718
-7.1,0.454158557742468,0.283519808177808,0.29830786145078,0,1.00669634453012,0.15769971148633
-7,0.454456716270899,0.28450498543225,0.298239338591091,0,1.00672244920192,0.157668147673727
-6.9,0.454393917720247,0.285847334116889,0.29835676666977,0,1.00674617094857,0.157745732675885
-6.8,0.453992940756196,0.287606658920423,0.298692430831751,0,1.00677614797961,0.157951916194878
-6.7,0.453281738032601,0.289839535700562,0.299271099365953,0,1.0068097381226,0.158298362385512
-6.6,0.452301793935165,0.292582842977956,0.300091806875012,0,1.00683341910796,0.158783767003319
-6.5,0.451107708316301,0.295843315916573,0.301143839865544,0,1.00683439897309,0.159401480201223
-6.4,0.449772616761916,0.299599038806833,0.302422226083338,0,1.00680694007413,0.160146145122818
-6.3,0.448375999505611,0.303811329258457,0.303929870598907,0,1.00675715434095,0.161019472558563
-6.2,0.446997328881639,0.308439227462865,0.305676441383607,0,1.00669281516709,0.162025351796434
-6.1,0.445713433372518,0.313441773611478,0.3076723659388,0,1.00662170701623,0.163167672124408
-6,0.444598988105984,0.318778122567399,0.309928071765846,0,1.00655161487997,0.164450322830461
-5.9,0.443728626540062,0.324410538126154,0.312453986366108,0,1.00649032374992,0.165876690909318
-5.8,0.443178167431514,0.330304680323646,0.315260204288705,0,1.00644300578193,0.167447994385834
-5.7,0.443025085964363,0.336429351771119,0.31834666252383,0,1.00640086506287,0.169162457350309
-5.6,0.44332499731516,0.342767035744248,0.321695486595453,0,1.0063524839943,0.171004022073832
-5.5,0.444098715901243,0.349304471688518,0.325277237627512,0,1.00628562568145,0.172947728823191
-5.4,0.445344915660226,0.356030056421976,0.329069669558844,0,1.00619473278905,0.174972969938971
-5.3,0.447052746864432,0.362931837518242,0.333061408585756,0,1.00608785406685,0.177062012465354
-5.2,0.449208358329361,0.369996932737415,0.337243488426532,0,1.0059785755029,0.179199655933381
-5.1,0.451797730202453,0.377212394663731,0.341608883668823,0,1.00588085008611,0.181370847588025
-5,0.454806842631148,0.384565275881424,0.346157012021755,0,1.00580863080538,0.183561606695816
-4.9,0.458221675762886,0.392042876325362,0.350888626929895,0,1.00577392181317,0.185761311104476
-4.8,0.462028234554709,0.399633607157705,0.355804524140057,0,1.00577995604249,0.187959998200225
-4.7,0.466215206111994,0.407324208122559,0.360910867320423,0,1.00582868446753,0.190150104912081
-4.6,0.470779561158772,0.4151050121164,0.366234666663297,0,1.00591816812009,0.19233681530625
-4.5,0.475732268849501,0.42299130560333,0.371828746838611,0,1.00604557932473,0.194542384086898
-4.4,0.481101438265527,0.431033000502784,0.377774730376157,0,1.00621350416077,0.196811228295534
-4.3,0.486927144124479,0.439314357812146,0.384182524754433,0,1.00643920102111,0.199208665375118
-4.2,0.493246483969465,0.447934078082416,0.391179657010001,0,1.00674824731443,0.201810406949188
-4.1,0.500076326212616,0.456993216237603,0.398894973730515,0,1.00716540337376,0.204692987047494
-4,0.507419153968908,0.466599408767467,0.407458458002547,0.00168089234174677,1.00771331519947,0.207936762436319
-3.9,0.51525618340912,0.476861615042794,0.417003053379862,0.00421328970783915,1.00840917854474,0.211626492958293
-3.8,0.523550579099674,0.487878757178289,0.427661446211845,0.00734047126369429,1.00926933762639,0.215846989137011
-3.7,0.532276324345764,0.4997158716353,0.439544972345741,0.0111188987941741,1.01030525628595,0.220677837116159
-3.6,0.541421284889245,0.512397695963753,0.452719393980186,0.0155899003942207,1.01151198166818,0.226187684788813
-3.5,0.550985825988136,0.525929157941683,0.467192833346196,0.0207705159192487,1.01287108300457,0.232429915553301
-3.4,0.560975072025951,0.540312654035276,0.482935420231127,0.026655818497403,1.01435717553959,0.239448655544504
-3.3,0.571396101899989,0.555531788963472,0.499864675417178,0.0332137342965466,1.0159380283969,0.247274955237673
-3.2,0.582256845500639,0.571542924086722,0.517883740383094,0.0404126024707732,1.01758790369433,0.255933983651033
-3.1,0.593576749065472,0.588297721578413,0.536957866643389,0.0482493236627984,1.01928645198046,0.265469865016062
-3,0.605380629066995,0.605745652277041,0.557060619430918,0.0567240597502882,1.02101122460848,0.275943547733835
-2.9,0.617679489790657,0.623821120419171,0.578167638671912,0.0658238680260534,1.02272556540381,0.287400425640013
-2.8,0.630472585233948,0.642433561705701,0.600198179594681,0.0755558323616796,1.02438695820101,0.299858001906842
-2.7,0.643771887579392,0.661466483254297,0.622987578709852,0.0859571713127544,1.02595286848535,0.313293188287078
-2.6,0.657609802039919,0.680797960386928,0.646262961599446,0.0971048871732165,1.0273807617421,0.327644289943972
-2.5,0.672023919305848,0.700303056212569,0.669730287132656,0.109095347676302,1.02862810345653,0.342840632079791
-2.4,0.687046435105187,0.719840328326718,0.693102654109559,0.122025315353528,1.02965235911392,0.358814825846182
-2.3,0.702664301295213,0.739230794106268,0.716041084317323,0.135991005013539,1.03041288789951,0.375481450362392
-2.2,0.718821152772208,0.758275192160888,0.738160770296994,0.151067723351147,1.03088262453939,0.392725525441854
-2.1,0.735473185355892,0.776779172677079,0.759206496332641,0.167372947356957,1.03104042777782,0.410468078536678
-2,0.752585683262571,0.794549879211535,0.779084712201174,0.185106119828692,1.03086518102879,0.428669106493687
-1.9,0.770108755380328,0.811409902695547,0.797771454357607,0.20449102794896,1.030341017923,0.447305526459863
-1.8,0.787947840340224,0.827211634871793,0.81526983676362,0.22574781660902,1.02950925642956,0.466362334261891
-1.7,0.805982717995076,0.841875108904678,0.831625539356879,0.249095054057113,1.02847644877964,0.485868288141045
-1.6,0.824106002263245,0.855401592509235,0.846943238390576,0.274778402723408,1.02737242770424,0.505934187890986
-1.5,0.842214031673071,0.867841623501602,0.861346933940947,0.303050178096572,1.0262872181543,0.526724502102366
-1.4,0.86017398840888,0.879289750633211,0.874949371312438,0.334066070700148,1.02525906892493,0.548388752488161
-1.3,0.877800909724299,0.889873201969929,0.887781170317903,0.367861201300318,1.02431300086505,0.571044937861722
-1.2,0.894877579638458,0.899741934057024,0.899842728601576,0.404366382710707,1.02340717601,0.594781348466024
-1.1,0.911202523451752,0.909038363871187,0.911114714680027,0.443454811648919,1.02244345673455,0.619667889686571
-1,0.926609111451655,0.917894419071614,0.92158796190942,0.485008588930703,1.02131105694214,0.645785418912557
-0.9,0.940951735178466,0.926417402304647,0.931287406768377,0.528860672546927,1.01988616612283,0.673226718621017
-0.799999999999999,0.954079400733247,0.934703884045651,0.940267473532812,0.574808909018968,1.01809213334303,0.702103605599875
-0.699999999999999,0.965838449552396,0.942852561613527,0.94862760456346,0.62265506524474,1.01595351245626,0.732565142808733
-0.6,0.97612299682802,0.950955628079725,0.956505673542913,0.672249273044116,1.01358270053596,0.764775202398729
-0.5,0.984843894735645,0.95905897762361,0.964040275024815,0.723436572395925,1.01110777595052,0.798859826217089
-0.399999999999999,0.991877590384086,0.967178813336917,0.971351893820088,0.776055077709749,1.00863874959996,0.834901895138535
-0.299999999999999,0.997064994871009,0.975321619061235,0.978527711574931,0.830027423131002,1.00624555329919,0.872980315473825
-0.199999999999999,1.0002466979278,0.983493876507642,0.9856439241673,0.88532812981063,1.00398203741857,0.913145937224754
-0.0999999999999996,1.00126879524267,0.9917118706486,0.992766588217236,0.941973582260712,1.00188897582159,0.955455013950896
0,1,1,1,1,1,1
0.100000000000001,0.996360028280492,1.00838639016343,1.00753938396994,1.05941409064744,0.998330970943575,1.04690705483564
0.200000000000001,0.990298409724567,1.01692294028794,1.01565774347636,1.12024856155506,0.996903299607625,1.09635723700679
0.300000000000001,0.98176927106851,1.02563994190864,1.02464921158125,1.18255648726435,0.995690182952719,1.14854766467582
0.4,0.970807791532538,1.03456153915635,1.0347864820038,1.2463083265544,0.994682491027783,1.20361303525108
0.5,0.957546535470153,1.04366429010724,1.0462731223374,1.31148352084868,0.993903575105494,1.26162722523358
0.600000000000001,0.94214047547516,1.05287453319712,1.05928497171771,1.37807465810498,0.993402956223438,1.32261774297147
0.700000000000001,0.924741741478083,1.06206697709134,1.07392489606586,1.44600833297285,0.993179127072706,1.38652562257333
0.800000000000001,0.905525778726793,1.07110964421427,1.09022880892147,1.51516998989819,0.993183918531549,1.45324005345102
0.9,0.884656927632058,1.07979039649982,1.10812231011735,1.58539385540012,0.993344485516318,1.52258431116522
1,0.862313808223957,1.08785054136495,1.12749860028088,1.65656170933569,0.99358402180225,1.59435820762924
1.1,0.838727302587718,1.09505623146283,1.14827252070027,1.72858371309719,0.99385048938478,1.66842137994831
1.2,0.814169270293247,1.1012364455451,1.17038672702812,1.80157273465113,0.994160357343418,1.74474448392786
1.3,0.788920159868171,1.10630361384408,1.19371941943758,1.87586790227479,0.994504569385751,1.82326681863953
1.4,0.763255848636932,1.11028512299175,1.21809679449198,1.95189224824357,0.994844685988203,1.90383938795003
1.5,0.737422606569943,1.11328209852199,1.24335864825262,2.03003052241299,0.995165359551132,1.98630338409666
1.6,0.711599763292079,1.1154378443681,1.26942093774902,2.11049018143192,0.995466776661425,2.07050640784378
1.7,0.685885779994559,1.11686744959498,1.29618049889286,2.19317326841634,0.995710681121974,2.15626989612504
1.8,0.660322092309609,1.11762786819162,1.32342548503032,2.27766334091136,0.995794356755082,2.24326080111415
1.9,0.634918184174639,1.11772793212163,1.35085683919349,2.36345213467283,0.995561311604413,2.33091939149031
