"variety","variety_code","harvest","plant","rank","ranktop","relative_ranktop","HS","inerv","x","y","hins","side"
1,1,1,1,7,7,2,7.4,1,0,0,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,-0.0491108932296206,0.608305027499144,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,-0.0982217864592412,1.21661005499829,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,-0.0900458573399423,1.80996314735268,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,0.250085974695306,2.31667531727846,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,0.755273838482665,2.53028242030482,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,1.07333946978381,2.00943585892657,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,1.28267726823062,1.44433361518296,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,1.41876328171946,0.849415567677879,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,1.55484929520831,0.254497520172798,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,1.69093530869715,-0.340420527332283,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,1.85537627483815,-0.921476406134219,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,2.24127190247064,-1.39426753431734,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,2.62716753010313,-1.86705866250046,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,3.01306315773562,-2.33984979068358,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,3.39895878536811,-2.81264091886671,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,3.78485441300061,-3.28543204704983,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,4.1707500406331,-3.75822317523295,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,4.55664566826559,-4.23101430341607,5.8859838283519,1
1,1,1,1,7,7,2,7.4,1,4.94254129589808,-4.70380543159919,5.8859838283519,1
1,1,1,1,8,6,1,7.4,2,0,0,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.1155147486395,0.607628257534641,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.231029497279,1.21525651506928,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.346544245918499,1.82288477260392,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.462058994557999,2.43051303013856,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.577573743197499,3.0381412876732,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.693088491836999,3.64576954520784,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.808603240476499,4.25339780274248,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-0.924117989115998,4.86102606027712,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-1.0396327377555,5.46865431781176,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-1.155147486395,6.0762825753464,7.28741780961377,-1
1,1,1,1,8,6,1,7.4,2,-1.2706622350345,6.68391083288105,7.28741780961377,-1
