index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,9.016666667,0.53353,2.16,0.386363636,0,0
2,10.24444444,0.497118,2.36,0.386363636,0,0
3,9.34,0.525166667,2.5,0.386363636,0,0
4,7.34,0.547746667,2.366666667,0.386363636,0,0
5,8.1,0.63578,2.6,0.386363636,0,0
6,10.57,0.811815,3.675,0.386363636,0,0
7,13.29090909,0.894888,6.728571429,0.386363636,0,0
8,18.53636364,1.19006,11.28181818,0.386363636,2,0
9,24.49090909,1.488888889,13.88181818,0.386363636,7.75,0.386363636
10,26.27272727,1.688888889,14.11818182,0.386363636,14.3,0.386363636
11,18.7,2.027272727,18.30909091,0.386363636,18.59411765,0.386363636
