id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
182,6,T3,7,7.0,NA,NA,6071,607,1.0,169.366834317,422.366988689,821.448395078,1295.82368453
182,7,T2.0,7,5.09319499112,1201.0,1801.0,7060,707,NA,273.630377553,504.680312296,869.137532223,1302.35615987
183,1,MS,12,12.0,NA,NA,1121,112,1.0,36.3390858627,206.911392708,669.352512599,989.175594999
183,4,T1,9,8.40020597998,1307.0,1907.0,4090,409,NA,198.928615201,395.706513046,706.10316246,1075.06172092
183,5,T2,8,4.58422899311,1042.0,1642.0,5050,508,NA,526.672649528,685.356063992,939.946008888,1237.47741101
183,6,T1.0,8,8.0,NA,NA,6081,608,1.0,189.704651239,411.079786315,760.276016905,1175.35439517
183,6,T3,8,8.0,NA,NA,6081,608,1.0,189.704651239,411.079786315,760.276016905,1175.35439517
183,7,T2.0,8,4.81463241074,1118.0,1718.0,7050,708,NA,292.93927793,495.107970831,814.008038267,1193.07433746
183,7,T4,8,5.92041883257,1118.0,1718.0,7060,708,NA,292.93927793,495.107970831,814.008038267,1193.07433746
184,1,MS,12,12.0,NA,NA,1121,112,1.0,44.528307057,215.100613902,677.541733794,997.364816193
184,4,T1,9,7.93673929496,1250.0,1850.0,4080,409,NA,207.117836395,403.89573424,714.292383654,1083.25094211
184,5,T2,8,4.25149100547,1009.0,1609.0,5050,508,NA,534.861870723,693.545285186,948.135230083,1245.6666322
184,6,T1.0,8,7.51116958327,1319.0,1919.0,6080,608,NA,197.893872433,419.269007509,768.4652381,1183.54361637
184,6,T3,8,7.54635281706,1318.0,1918.0,6080,608,NA,197.893872433,419.269007509,768.4652381,1183.54361637
184,7,T1.1,8,5.46600074845,1091.0,1691.0,7060,708,NA,301.128499124,503.297192025,822.197259461,1201.26355865
184,7,T2.0,7,4.32948176842,1129.0,1729.0,7050,707,NA,290.298033433,521.347968177,885.805188104,1319.02381575
184,7,T4,7,5.25654048833,1129.0,1729.0,7060,707,NA,290.298033433,521.347968177,885.805188104,1319.02381575
185,1,MS,12,12.0,NA,NA,1121,112,1.0,45.977505839,216.549812684,678.990932576,998.814014975
185,4,T1,9,7.88795332811,1244.0,1844.0,4080,409,NA,208.567035177,405.344933022,715.741582436,1084.7001409
185,5,T2,8,4.21115912818,1005.0,1605.0,5050,508,NA,536.311069505,694.994483968,949.584428865,1247.11583098
185,6,T1.0,8,7.376628475,1302.0,1902.0,6080,608,NA,199.343071215,420.718206291,769.914436882,1184.99281515
185,6,T3,8,7.43071200676,1302.0,1902.0,6080,608,NA,199.343071215,420.718206291,769.914436882,1184.99281515
185,7,T4,7,5.22191593841,1124.0,1724.0,7060,707,NA,291.747232215,522.797166959,887.254386886,1320.47301453
186,1,MS,12,12.0,NA,NA,1121,112,1.0,44.2777045538,214.850011399,677.29113129,997.11421369
