date;var;TT;TT_depuis_montaison_846,5;rep;N;Axis;Nflig;Nfvis;NFF;length_F1;length_F2;length_F3;length_F4;length_F5;length_F6;length_F7;length_F8;length_F9;length_F10;length_F11;length_F12;length_F13;length_F14;length_F15;sen_F1;sen_F2;sen_F3;sen_F4;sen_F5;sen_F6;sen_F7;sen_F8;sen_F9;sen_F10;sen_F11;sen_F12;sen_F13;sen_F14;sen_F15;HS;SSI
19/01/2011;Mercia;473,08;-373,42;1;3;MB;3;2;11;;10,4;9,3;5,5;1,2;;;;;;;;;;;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3,564102564;0,04
19/01/2011;Mercia;473,08;-373,42;1;5;MB;3;2;11;8,7;11,3;10,3;6,4;1,2;;;;;;;;;;;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,656410256;0,2
19/01/2011;Mercia;473,08;-373,42;1;7;MB;3;2;11;;;;6,5;1;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,666666667;0,1
19/01/2011;Mercia;473,08;-373,42;2;13;MB;3;2;11;9;11,5;;7;1;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,717948718;0
19/01/2011;Mercia;473,08;-373,42;2;19;MB;3;1;11;;;;4,5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,461538462;0
19/01/2011;Mercia;473,08;-373,42;2;21;MB;3;1;11;;10,5;;4,4;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,451282051;0
19/01/2011;Mercia;473,08;-373,42;2;22;MB;3;1;11;;9,8;9;5,5;;;;;;;;;;;;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3,564102564;0,02
19/01/2011;Mercia;473,08;-373,42;2;24;MB;3;2;11;8,3;8;8,3;5,2;1;;;;;;;;;;;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3,533333333;0,05
19/01/2011;Mercia;473,08;-373,42;3;27;MB;3;2;11;9,2;12;;6,2;0,9;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,635897436;0
19/01/2011;Mercia;473,08;-373,42;3;29;MB;3;1;11;10,1;8;;5,7;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,584615385;0,01
