year;treatment;boite;volume;concentration;level;bloc;absorbance;dilution
2012;T1;1;40;150;sol;1;0,392;10
2012;T1;2;40;150;sol;1;0,454;10
2012;T1;3;40;150;sol;1;0,283;10
2012;T1;4;40;150;sol;1;0,513;10
2012;T1;5;40;150;sol;1;0,232;10
2012;T1;6;40;150;hauteur;1;0,217;40
2012;T1;7;40;150;hauteur;1;0,367;40
2012;T1;8;40;150;hauteur;1;0,289;40
2012;T1;9;40;150;hauteur;1;0,171;40
2012;T1;10;40;150;hauteur;1;0,231;40
2012;T1;11;40;150;sol;2;0,129;40
2012;T1;12;40;150;sol;2;0,429;10
2012;T1;13;40;150;sol;2;0,191;10
2012;T1;14;40;150;sol;2;0,46;10
2012;T1;15;40;150;sol;2;0,333;10
2012;T1;16;40;150;hauteur;2;0,203;40
2012;T1;17;40;150;hauteur;2;0,259;40
2012;T1;18;40;150;hauteur;2;0,298;40
2012;T1;19;40;150;hauteur;2;0,15;40
2012;T1;20;40;150;hauteur;2;0,252;40
2012;T1;21;80;150;sol;1;0,186;40
2012;T1;22;80;150;sol;1;0,362;40
2012;T1;23;80;150;sol;1;0,23;40
2012;T1;24;80;150;sol;1;0,287;40
2012;T1;25;80;150;sol;1;0,179;40
2012;T1;26;80;150;hauteur;1;0,792;40
2012;T1;27;80;150;hauteur;1;0,687;40
2012;T1;28;80;150;hauteur;1;0,582;40
2012;T1;29;80;150;hauteur;1;0,668;40
2012;T1;30;80;150;hauteur;1;0,76;40
2012;T1;31;80;150;sol;2;0,333;40
2012;T1;32;80;150;sol;2;0,312;40
2012;T1;33;80;150;sol;2;0,356;40
2012;T1;34;80;150;sol;2;0,518;40
2012;T1;35;80;150;sol;2;0,362;40
2012;T1;36;80;150;hauteur;2;0,301;100
2012;T1;37;80;150;hauteur;2;0,47;100
2012;T1;38;80;150;hauteur;2;0,359;100
2012;T1;39;80;150;hauteur;2;0,287;100
2012;T1;40;80;150;hauteur;2;0,305;100
2012;T1;41;150;150;sol;1;0,191;100
2012;T1;42;150;150;sol;1;0,188;100
2012;T1;43;150;150;sol;1;0,226;100
2012;T1;44;150;150;sol;1;0,155;100
2012;T1;45;150;150;sol;1;0,295;100
2012;T1;46;150;150;hauteur;1;0,524;100
2012;T1;47;150;150;hauteur;1;0,62;100
2012;T1;48;150;150;hauteur;1;0,545;100
2012;T1;49;150;150;hauteur;1;0,515;100
2012;T1;50;150;150;hauteur;1;0,637;100
2012;T1;51;150;150;sol;2;0,336;100
2012;T1;52;150;150;sol;2;0,247;100
2012;T1;53;150;150;sol;2;0,233;100
2012;T1;54;150;150;sol;2;0,193;100
2012;T1;55;150;150;sol;2;0,305;100
2012;T1;56;150;150;hauteur;2;0,566;100
2012;T1;57;150;150;hauteur;2;0,497;100
2012;T1;58;150;150;hauteur;2;0,492;100
2012;T1;59;150;150;hauteur;2;0,52;100
2012;T1;60;150;150;hauteur;2;0,609;100
2012;T1;61;200;150;sol;1;0,148;100
2012;T1;62;200;150;sol;1;0,229;100
2012;T1;63;200;150;sol;1;0,223;100
2012;T1;64;200;150;sol;1;0,245;100
2012;T1;65;200;150;sol;1;0,141;100
2012;T1;66;200;150;hauteur;1;0,673;100
2012;T1;67;200;150;hauteur;1;0,575;100
2012;T1;68;200;150;hauteur;1;0,647;100
2012;T1;69;200;150;hauteur;1;0,613;100
2012;T1;70;200;150;hauteur;1;0,561;100
2012;T1;71;200;150;sol;2;0,227;100
2012;T1;72;200;150;sol;2;0,305;100
2012;T1;73;200;150;sol;2;0,165;100
2012;T1;74;200;150;sol;2;0,2;100
2012;T1;75;200;150;sol;2;0,197;100
2012;T1;76;200;150;hauteur;2;0,7;100
2012;T1;77;200;150;hauteur;2;0,464;100
2012;T1;78;200;150;hauteur;2;0,557;100
2012;T1;79;200;150;hauteur;2;0,706;100
2012;T1;80;200;150;hauteur;2;0,697;100
2012;T2;1;40;150;sol;1;0,071;10
2012;T2;2;40;150;sol;1;0,279;10
2012;T2;3;40;150;sol;1;0,527;10
2012;T2;4;40;150;sol;1;0,412;10
2012;T2;5;40;150;sol;1;0,195;10
2012;T2;6;40;150;hauteur;1;0,276;50
2012;T2;7;40;150;hauteur;1;0,537;50
2012;T2;8;40;150;hauteur;1;0,407;50
2012;T2;9;40;150;hauteur;1;0,321;50
2012;T2;10;40;150;hauteur;1;0,319;50
2012;T2;11;40;150;sol;2;0,418;10
2012;T2;12;40;150;sol;2;0,349;10
2012;T2;13;40;150;sol;2;0,327;10
2012;T2;14;40;150;sol;2;0,252;10
2012;T2;15;40;150;sol;2;0,287;10
2012;T2;16;40;150;hauteur;2;0,312;50
2012;T2;17;40;150;hauteur;2;0,181;50
2012;T2;18;40;150;hauteur;2;0,139;50
2012;T2;19;40;150;hauteur;2;0,189;50
2012;T2;20;40;150;hauteur;2;0,313;50
2012;T2;21;80;150;sol;1;0,864;10
2012;T2;22;80;150;sol;1;0,473;10
2012;T2;23;80;150;sol;1;0,22;10
2012;T2;24;80;150;sol;1;0,495;10
2012;T2;25;80;150;sol;1;0,484;10
2012;T2;26;80;150;hauteur;1;0,49;50
2012;T2;27;80;150;hauteur;1;0,508;50
2012;T2;28;80;150;hauteur;1;0,476;50
2012;T2;29;80;150;hauteur;1;0,385;50
2012;T2;30;80;150;hauteur;1;0,517;50
2012;T2;31;80;150;sol;2;0,229;10
2012;T2;32;80;150;sol;2;0,406;10
2012;T2;33;80;150;sol;2;0,333;10
2012;T2;34;80;150;sol;2;0,506;10
2012;T2;35;80;150;sol;2;0,509;10
2012;T2;36;80;150;hauteur;2;0,253;100
2012;T2;37;80;150;hauteur;2;0,21;100
2012;T2;38;80;150;hauteur;2;0,171;100
2012;T2;39;80;150;hauteur;2;0,239;100
2012;T2;40;80;150;hauteur;2;0,131;100
2012;T2;41;150;150;sol;1;0,156;50
2012;T2;42;150;150;sol;1;0,366;50
2012;T2;43;150;150;sol;1;0,239;50
2012;T2;44;150;150;sol;1;0,136;50
2012;T2;45;150;150;sol;1;0,247;50
2012;T2;46;150;150;hauteur;1;0,259;100
2012;T2;47;150;150;hauteur;1;0,43;100
2012;T2;48;150;150;hauteur;1;0,39;100
2012;T2;49;150;150;hauteur;1;0,439;100
2012;T2;50;150;150;hauteur;1;0,444;100
2012;T2;51;150;150;sol;2;0,197;50
2012;T2;52;150;150;sol;2;0,223;50
2012;T2;53;150;150;sol;2;0,217;50
2012;T2;54;150;150;sol;2;0,203;50
2012;T2;55;150;150;sol;2;0,241;50
2012;T2;56;150;150;hauteur;2;0,379;100
2012;T2;57;150;150;hauteur;2;0,461;100
2012;T2;58;150;150;hauteur;2;0,448;100
2012;T2;59;150;150;hauteur;2;0,266;100
2012;T2;60;150;150;hauteur;2;0,307;100
2012;T2;61;200;150;sol;1;0,158;100
2012;T2;62;200;150;sol;1;0,231;100
2012;T2;63;200;150;sol;1;0,122;100
2012;T2;64;200;150;sol;1;0,178;100
2012;T2;65;200;150;sol;1;0,173;100
2012;T2;66;200;150;hauteur;1;0,509;100
2012;T2;67;200;150;hauteur;1;0,71;100
2012;T2;68;200;150;hauteur;1;0,632;100
2012;T2;69;200;150;hauteur;1;0,536;100
2012;T2;70;200;150;hauteur;1;0,653;100
2012;T2;71;200;150;sol;2;0,172;100
2012;T2;72;200;150;sol;2;0,164;100
2012;T2;73;200;150;sol;2;0,289;100
2012;T2;74;200;150;sol;2;0,178;100
2012;T2;75;200;150;sol;2;0,074;100
2012;T2;76;200;150;hauteur;2;0,554;100
2012;T2;77;200;150;hauteur;2;0,555;100
2012;T2;78;200;150;hauteur;2;0,704;100
2012;T2;79;200;150;hauteur;2;0,51;100
2012;T2;80;200;150;hauteur;2;0,641;100
2013;T1;1;40;150;sol;1;0,559;10
2013;T1;2;40;150;sol;1;0,513;10
2013;T1;3;40;150;sol;1;0,493;10
2013;T1;4;40;150;sol;1;0,6;10
2013;T1;5;40;150;sol;1;0,602;10
2013;T1;6;40;150;hauteur;1;0,939;10
2013;T1;7;40;150;hauteur;1;0,609;16
2013;T1;8;40;150;hauteur;1;0,656;16
2013;T1;9;40;150;hauteur;1;0,89;16
