plant,rank,ranktop,HS,x,y
21,8,13,7.6,6.97,17.71
22,7,13,7.6,30.87,6.88
22,7,13,7.6,30.21,7.19
22,7,13,7.6,27.15,4.73
22,7,13,7.6,25.51,2.89
22,7,13,7.6,27.01,1.46
22,7,13,7.6,29.7,0.0
22,8,13,7.6,30.99,8.54
22,8,13,7.6,31.85,12.17
22,8,13,7.6,32.38,15.08
22,8,13,7.6,33.71,16.8
22,8,13,7.6,35.05,20.0
23,7,13,7.6,56.38,6.38
23,7,13,7.6,54.39,10.59
23,7,13,7.6,53.62,12.4
23,7,13,7.6,53.58,15.36
23,8,13,7.6,56.54,7.49
23,8,13,7.6,57.0,12.34
23,8,13,7.6,56.82,15.05
23,8,13,7.6,55.68,17.44
24,7,13,7.6,2.54,5.45
24,7,13,7.6,1.52,8.27
24,7,13,7.6,0.82,11.52
24,7,13,7.6,0.48,11.5
24,7,13,7.6,0.0,9.51
24,7,13,7.6,0.12,7.69
24,8,13,7.6,2.61,6.1
24,8,13,7.6,2.61,13.92
25,7,13,7.6,27.0,5.64
25,7,13,7.6,26.58,10.7
25,7,13,7.6,26.21,13.95
25,7,13,7.6,25.29,15.21
25,8,13,7.6,27.12,6.63
25,8,13,7.6,27.87,10.68
25,8,13,7.6,28.98,14.34
26,7,13,7.6,52.23,4.16
26,7,13,7.6,53.46,5.13
26,7,13,7.6,55.81,6.03
26,7,13,7.6,57.43,5.13
26,7,13,7.6,59.29,3.92
26,8,13,7.6,52.09,5.69
26,8,13,7.6,51.31,11.14
26,8,13,7.6,50.63,12.58
26,8,13,7.6,49.81,12.65
26,8,13,7.6,49.17,12.51
1,8,13,11.1,7.11,12.81
1,8,13,11.1,6.12,17.38
1,8,13,11.1,5.22,22.54
1,8,13,11.1,5.92,26.12
1,8,13,11.1,5.92,28.8
1,9,13,11.1,8.09,18.45
1,9,13,11.1,9.83,24.7
1,9,13,11.1,11.22,30.01
1,9,13,11.1,12.46,34.04
1,9,13,11.1,13.65,36.22
1,10,13,11.1,7.64,23.61
1,10,13,11.1,5.76,31.36
1,10,13,11.1,4.07,37.61
1,10,13,11.1,1.74,42.78
1,10,13,11.1,0.0,44.17
1,11,13,11.1,7.94,26.79
1,11,13,11.1,8.73,34.63
1,11,13,11.1,9.08,40.54
1,11,13,11.1,8.88,44.86
1,11,13,11.1,8.54,47.89
1,11,13,11.1,8.49,48.29
1,12,13,11.1,7.74,27.48
1,12,13,11.1,7.79,30.41
1,12,13,11.1,8.19,35.28
1,8,13,11.1,28.99,10.0
1,8,13,11.1,30.63,14.67
1,9,13,11.1,28.2,15.76
1,9,13,11.1,27.75,21.43
1,9,13,11.1,27.5,26.34
1,9,13,11.1,27.75,30.76
1,9,13,11.1,27.85,33.34
1,10,13,11.1,28.75,20.68
1,10,13,11.1,29.94,28.38
1,10,13,11.1,29.69,34.19
1,10,13,11.1,29.94,38.06
1,10,13,11.1,30.48,41.19
1,11,13,11.1,28.35,25.25
1,11,13,11.1,28.2,35.43
1,11,13,11.1,27.85,41.43
1,11,13,11.1,26.91,46.95
1,11,13,11.1,26.66,47.54
1,8,13,11.1,48.41,11.44
1,8,13,11.1,44.69,22.02
1,8,13,11.1,43.45,24.85
1,9,13,11.1,49.0,15.96
1,9,13,11.1,50.2,22.27
1,9,13,11.1,51.14,26.89
1,9,13,11.1,50.99,31.16
1,10,13,11.1,48.51,21.43
1,10,13,11.1,47.66,28.62
1,10,13,11.1,46.67,34.78
1,10,13,11.1,46.47,39.0
1,11,13,11.1,48.96,23.76
1,11,13,11.1,49.0,33.04
1,11,13,11.1,49.0,39.2
1,11,13,11.1,49.55,43.62
2,8,13,11.1,6.81,12.66
2,8,13,11.1,4.56,20.02
2,9,13,11.1,7.88,19.27
2,9,13,11.1,10.67,27.27
2,9,13,11.1,12.82,32.17
2,9,13,11.1,15.17,34.52
2,9,13,11.1,15.93,35.8
2,9,13,11.1,16.46,36.22
2,10,13,11.1,7.4,24.57
2,10,13,11.1,6.65,32.25
2,10,13,11.1,4.88,37.63
2,10,13,11.1,3.11,41.37
2,10,13,11.1,2.04,43.87
2,10,13,11.1,0.0,45.58
2,11,13,11.1,7.67,25.21
2,11,13,11.1,7.88,30.76
2,11,13,11.1,8.69,36.09
2,11,13,11.1,8.9,40.73
2,11,13,11.1,8.74,44.99
2,11,13,11.1,8.37,47.18
2,7,13,11.1,29.17,6.77
2,7,13,11.1,32.82,6.72
2,8,13,11.1,28.63,8.74
2,8,13,11.1,26.54,13.65
2,8,13,11.1,25.47,17.01
2,8,13,11.1,24.67,20.52
2,9,13,11.1,29.17,13.91
2,9,13,11.1,30.46,18.07
2,9,13,11.1,31.1,22.23
2,9,13,11.1,31.1,26.92
2,9,13,11.1,30.89,29.32
2,9,13,11.1,30.51,29.75
2,10,13,11.1,28.79,15.83
2,10,13,11.1,28.26,22.98
2,10,13,11.1,27.83,29.75
2,10,13,11.1,27.24,32.84
2,10,13,11.1,26.54,35.13
2,10,13,11.1,24.5,36.73
2,11,13,11.1,29.22,17.54
2,11,13,11.1,29.44,23.46
2,11,13,11.1,30.24,30.55
2,11,13,11.1,30.35,34.54
2,11,13,11.1,30.24,37.4
2,8,13,11.1,49.39,10.98
2,8,13,11.1,52.66,18.28
2,8,13,11.1,55.18,22.92
2,8,13,11.1,57.11,25.69
2,9,13,11.1,48.69,15.78
2,9,13,11.1,47.99,22.07
2,9,13,11.1,46.92,27.13
2,9,13,11.1,45.1,33.85
2,10,13,11.1,49.76,22.28
2,10,13,11.1,50.03,26.28
2,10,13,11.1,51.1,30.6
2,10,13,11.1,52.55,35.34
2,10,13,11.1,54.05,39.39
2,10,13,11.1,55.61,42.97
2,10,13,11.1,56.57,44.14
2,10,13,11.1,57.21,44.35
2,11,13,11.1,49.55,24.09
2,11,13,11.1,49.97,28.04
2,11,13,11.1,50.4,34.28
2,11,13,11.1,50.67,37.05
2,11,13,11.1,50.67,39.82
1,7,13,11.1,6.63,5.91
1,7,13,11.1,4.07,9.87
1,7,13,11.1,2.39,12.26
1,7,13,11.1,0.0,14.65
1,8,13,11.1,7.23,10.58
1,8,13,11.1,9.62,15.73
1,8,13,11.1,11.68,18.55
1,8,13,11.1,13.37,21.48
1,8,13,11.1,13.96,23.11
1,9,13,11.1,6.63,11.61
1,9,13,11.1,5.6,15.73
1,9,13,11.1,3.8,22.62
1,9,13,11.1,3.1,26.47
1,9,13,11.1,2.28,29.24
1,9,13,11.1,1.63,29.67
1,10,13,11.1,6.85,15.57
1,10,13,11.1,7.39,21.48
1,10,13,11.1,7.5,25.44
1,10,13,11.1,7.55,28.75
1,10,13,11.1,7.61,31.73
1,10,13,11.1,7.17,33.63
1,10,13,11.1,7.01,34.96
1,11,13,11.1,6.57,16.33
1,11,13,11.1,6.25,21.97
1,11,13,11.1,5.87,26.85
1,11,13,11.1,5.81,29.78
1,8,13,11.1,29.25,9.66
1,8,13,11.1,31.81,15.03
1,8,13,11.1,33.76,20.23
1,8,13,11.1,34.85,22.46
1,8,13,11.1,36.37,23.92
1,9,13,11.1,28.55,15.57
1,9,13,11.1,26.1,21.37
1,9,13,11.1,24.25,25.82
1,9,13,11.1,22.51,28.69
1,9,13,11.1,20.78,29.83
1,10,13,11.1,28.82,18.01
1,10,13,11.1,29.47,24.74
1,10,13,11.1,30.5,30.05
1,10,13,11.1,31.32,34.17
1,10,13,11.1,32.13,38.19
1,11,13,11.1,28.44,21.48
1,11,13,11.1,27.68,29.07
1,11,13,11.1,26.81,34.17
1,11,13,11.1,26.05,38.62
1,11,13,11.1,24.52,42.04
1,11,13,11.1,23.82,43.02
1,12,13,11.1,28.71,22.19
1,12,13,11.1,27.68,30.54
1,8,13,11.1,47.58,4.61
1,8,13,11.1,45.95,7.49
1,8,13,11.1,45.95,11.72
1,8,13,11.1,44.7,12.64
1,9,13,11.1,48.56,9.17
1,9,13,11.1,50.41,15.3
1,9,13,11.1,51.06,17.74
1,9,13,11.1,52.36,18.61
1,9,13,11.1,53.78,19.15
