operator	date	file	prelevement	blockA	blockB	rep	plant	tiller	id	id_Axe	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	14,5311	0,48433	4,8662	0,16753	3	0	0,10712	0,1088	0,083865	0,18121	0,23771	0,28237	0,34208	0,33969	0,34715	0,39245	0,45328	0,47962	0,42356	0,40317	0,42744	0,46659	0,45437	0,41595	0,43038	0,26032
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	7,0322	0,28018	1,2579	1,2524	3	0	0,061616	0,084753	0,099872	0,12092	0,12057	0,15509	0,13644	0,11384	0,16968	0,20175	0,23369	0,2552	0,26116	0,23097	0,26124	0,27911	0,27197	0,23377	0,20269	0,20632
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	17,274	0,84024	10,2107	10,1547	3	0	0,1626	0,20459	0,26179	0,42966	0,69482	0,76147	0,6976	0,6763	0,67138	0,8084	0,83583	0,80654	0,65842	0,58778	0,6101	0,64108	0,60128	0,57259	0,56982	0,49215
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	5,4285	0,25912	0,89125	0,88279	3	0	0,037836	0,057845	0,08851	0,1012	0,10363	0,11439	0,13142	0,14929	0,16353	0,17797	0,19285	0,19481	0,19438	0,19557	0,1873	0,22819	0,24397	0,25227	0,25686	0,25706
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	22,1963	0,95361	16,2196	16,1797	3	0	0,17604	0,33306	0,48693	0,59871	0,76858	0,86986	0,93718	0,92667	0,94829	0,88381	0,83393	0,91465	0,93259	0,82543	0,65641	0,73009	0,74863	0,71249	0,71736	0,53591
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	19,1652	1,0787	14,3622	14,3602	3	0	0,13946	0,29034	0,41063	0,47112	0,53975	0,60854	0,69748	0,72455	0,7856	0,92423	0,9677	0,98702	0,95947	0,85964	0,82687	1,0033	1,0742	1,0305	0,89244	0,71044
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	14,773	0,44014	4,0745	0,77312	3	0	0,088326	0,181	0,2248	0,35284	0,29271	0,15959	0,26087	0,32742	0,29887	0,31205	0,34346	0,21122	0,19582	0,27239	0,35327	0,27803	0,30599	0,32479	0,37063	0,35742
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	3,7571	0,14323	0,34717	0,34717	3	0	0,028652	0,05039	0,045852	0,057056	0,083735	0,084876	0,08128	0,074993	0,085022	0,091222	0,10364	0,11166	0,12281	0,11685	0,10308	0,089692	0,12104	0,13801	0,14439	0,095981
ABICHOU	09-Aug-2012 14:22:53	Boigneville_11042012_P01_001.tif	11/04/2012	1	NaN	NaN	1	TREMIE	P1-Talles-F	Talle	NaN	NaN	23,1109	1,9609	27,2875	27,1493	3	0	0,031565	0,17435	0,36209	0,54852	1,2535	1,4825	1,5284	1,543	1,6555	1,7268	1,7265	1,7801	1,7988	1,8172	1,8013	1,788	1,8864	2,0212	0,97575	0,78216
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-MB-F8	MB	NaN	NaN	0,80566	0,12812	0,073477	0,0016487	3	0	0,012838	0,032543	0,03919	0,049593	0,060417	0,068918	0,079222	0,086671	0,096409	0,10467	0,10518	0,10362	0,096999	0,094155	0,099406	0,10645	0,11758	0,12937	0,12918	0,14255
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-MB-F9	MB	9	NaN	13,7989	0,986	9,9265	7,759	3	0	0,67011	0,50565	0,50444	0,6395	0,70829	0,77449	0,80646	0,77662	0,81845	0,88625	0,97112	0,99697	0,88239	0,80981	0,75565	0,5349	0,51652	0,62229	0,69541	0,64788
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-MB-F10	MB	10	NaN	19,2924	1,0884	15,5506	14,8421	2	0	0,17099	0,2287	0,31971	0,45618	0,60533	0,78921	0,83218	0,99008	1,0038	1,0066	0,97466	0,99381	1,0012	1,0165	1,0119	1,0605	1,1007	1,0803	0,9852	0,87599
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-MB-F11	MB	11	NaN	25,2078	1,328	23,6352	23,1645	1	0	0,28688	0,40905	0,53457	0,66894	0,71005	0,73711	0,77548	0,8339	0,95162	1,0854	1,2248	1,2601	1,253	1,2979	1,328	1,2995	1,2848	1,2225	1,1674	0,816
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-MB-F12	MB	12	NaN	17,374	1,2211	15,0092	14,9806	3	0	0,15661	0,19244	0,23677	0,54429	0,66132	0,78774	0,88036	0,99071	1,0349	1,0313	1,049	1,0594	1,1259	1,2145	1,2221	1,1825	1,1217	1,1005	0,98262	0,82576
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	9,4004	0,75478	5,6634	5,6152	3	0	0,047718	0,20171	0,38576	0,49495	0,58181	0,65679	0,68434	0,67102	0,65253	0,66983	0,64746	0,70915	0,7431	0,76234	0,74184	0,70461	0,65545	0,55904	0,52965	0,35512
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	13,1428	0,64943	6,5636	6,4155	3	0	0,23227	0,36975	0,45971	0,4921	0,48833	0,486	0,54901	0,53167	0,52029	0,5646	0,63411	0,6543	0,60961	0,60752	0,57158	0,50452	0,51431	0,42589	0,50232	0,45187
