Image;ID_Plant;ID_Axis;Organ;ID_Metamer;HS;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15
Boigneville-09032012-P04-P05-P06;5;1;0;0;7,4;0;23,75;23,79;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;5;1;0;0;7,4;1;0,26;7,92;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;5;1;1;7;7,4;0;23,87;26,05;26,79;26,58;25,52;24,65;24,69;;;;;;;;
Boigneville-09032012-P04-P05-P06;5;1;1;7;7,4;1;7,64;11,3;9,65;8,79;8,3;6,48;5,45;;;;;;;;
Boigneville-09032012-P04-P05-P06;5;1;1;8;7,4;0;23,87;24;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;5;1;1;8;7,4;1;8,05;13,73;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;6;1;0;0;7,4;0;49,86;50,01;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;6;1;0;0;7,4;1;0;7,8;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;6;1;1;7;7,4;0;49,95;49,82;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;6;1;1;7;7,4;1;7,54;10,16;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;6;1;1;8;7,4;0;50;49,9;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;6;1;1;8;7,4;1;7,89;14,88;;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;7;1;0;0;7,4;0;2,78;2,68;;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;7;1;0;0;7,4;1;1,75;9,55;;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;7;1;1;7;7,4;0;2,8;4,31;4,38;4,18;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;7;1;1;7;7,4;1;8,99;11,61;12,23;12,71;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;7;1;1;8;7,4;0;2,65;2,06;1,62;0,86;0;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;7;1;1;8;7,4;1;9,59;18,73;19,97;20,04;20,14;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;8;1;0;0;7,4;0;26,53;26,43;26,91;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;8;1;0;0;7,4;1;1,8;3,87;9,31;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;8;1;1;7;7,4;0;26,71;25,48;24,99;24,57;24,54;25,22;25,93;;;;;;;;
Boigneville-09032012-P07-P08-P09;8;1;1;7;7,4;1;8,1;13,34;13,7;13,38;12,99;11,92;10,76;;;;;;;;
Boigneville-09032012-P07-P08-P09;8;1;1;8;7,4;0;26,9;27,32;;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;8;1;1;8;7,4;1;9,4;18,62;;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;9;1;0;0;7,4;0;52,12;51,91;51,73;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;9;1;0;0;7,4;1;1,65;4,44;6,55;;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;9;1;1;7;7,4;0;51,64;49,5;49,67;49,42;49,52;49,81;49,63;49,42;;;;;;;
Boigneville-09032012-P07-P08-P09;9;1;1;7;7,4;1;6,4;7,13;5,65;4,9;3,84;3,2;0,63;0;;;;;;;
Boigneville-09032012-P07-P08-P09;9;1;1;8;7,4;0;51,77;53,24;53,75;53,71;;;;;;;;;;;
Boigneville-09032012-P07-P08-P09;9;1;1;8;7,4;1;6,65;15,12;17,75;19,61;;;;;;;;;;;
Boigneville-09032012-P10;10;1;0;0;7,4;0;1,94;2,14;1,66;;;;;;;;;;;;
Boigneville-09032012-P10;10;1;0;0;7,4;1;0;3,95;9,14;;;;;;;;;;;;
Boigneville-09032012-P10;10;1;1;7;7,4;0;1,86;4,08;4,02;3,06;2,95;2,36;2,02;;;;;;;;
Boigneville-09032012-P10;10;1;1;7;7,4;1;8,81;14,79;15,07;14,59;13,46;11,91;10,47;;;;;;;;
Boigneville-09032012-P10;10;1;1;8;7,4;0;1,74;0;;;;;;;;;;;;;
Boigneville-09032012-P10;10;1;1;8;7,4;1;9,29;17,24;;;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;11;1;0;0;7,4;0;2,92;3,13;;;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;11;1;0;0;7,4;1;0;7,26;;;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;11;1;1;7;7,4;0;3,3;7;10,43;12,29;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;11;1;1;7;7,4;1;5,29;8,51;10,39;10,25;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;11;1;1;8;7,4;0;3,11;2,58;2,38;0;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;11;1;1;8;7,4;1;7,45;13,87;15,01;17,43;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;12;1;0;0;7,4;0;26,81;26,81;;;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;12;1;0;0;7,4;1;0,35;7,4;;;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;12;1;1;7;7,4;0;27,07;27,72;27,82;28,64;32,75;37,51;;;;;;;;;
Boigneville-09032012-P11-P12-P13;12;1;1;7;7,4;1;6,74;8,17;9,28;10,39;13,58;14,53;;;;;;;;;
Boigneville-09032012-P11-P12-P13;12;1;1;8;7,4;0;26,91;26,81;27,56;27,82;28,12;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;12;1;1;8;7,4;1;7,62;12,83;12,64;9,9;9,38;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;13;1;0;0;7,4;0;52,39;52,39;;;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;13;1;0;0;7,4;1;0,57;7,29;;;;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;13;1;1;7;7,4;0;52,56;52,6;55,09;58,36;59,31;59,63;;;;;;;;;
Boigneville-09032012-P11-P12-P13;13;1;1;7;7,4;1;6,92;7,52;10,64;13,13;14,68;16,57;;;;;;;;;
Boigneville-09032012-P11-P12-P13;13;1;1;8;7,4;0;52,31;52,24;53,4;54,78;57,8;;;;;;;;;;
Boigneville-09032012-P11-P12-P13;13;1;1;8;7,4;1;7,37;12,96;14,75;14,57;13,03;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;14;1;0;0;7,4;0;0;0,04;0,04;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;14;1;0;0;7,4;1;0;5,78;6,84;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;14;1;1;7;7,4;0;0,15;1,07;;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;14;1;1;7;7,4;1;7,1;16,67;;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;15;1;0;0;7,4;0;24,06;24,29;24,19;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;15;1;0;0;7,4;1;0,07;3,67;6,08;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;15;1;1;7;7,4;0;24,11;22,37;22,04;21,89;19,89;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;15;1;1;7;7,4;1;5,89;8,66;9,03;11,18;15,03;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;15;1;1;8;7,4;0;24,25;23;;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;15;1;1;8;7,4;1;6,11;15,28;;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;16;1;0;0;7,4;0;49,56;49,56;50,18;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;16;1;0;0;7,4;1;0,08;4,91;8,93;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;16;1;1;7;7,4;0;49,7;54,75;;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;16;1;1;7;7,4;1;4,61;6,79;;;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;16;1;1;8;7,4;0;50,12;50,27;44,64;42,36;;;;;;;;;;;
Boigneville-09032012-P14-P15-P16;16;1;1;8;7,4;1;9,02;11,65;14,08;15,71;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;17;1;0;0;7,4;0;5,85;5,9;;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;17;1;0;0;7,4;1;0;7,85;;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;17;1;1;7;7,4;0;6,07;7,08;8,17;10,7;13,13;15,26;;;;;;;;;
Boigneville-09032012-P17-P18-P19;17;1;1;7;7,4;1;5,33;7,59;8,44;8,44;8,19;7,84;;;;;;;;;
Boigneville-09032012-P17-P18-P19;17;1;1;8;7,4;0;5,83;4,74;3,78;3,13;1,43;0;;;;;;;;;
Boigneville-09032012-P17-P18-P19;17;1;1;8;7,4;1;7,87;12,1;14,72;15,85;17,42;18,47;;;;;;;;;
Boigneville-09032012-P17-P18-P19;18;1;0;0;7,4;0;29,54;30,11;30,11;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;18;1;0;0;7,4;1;0,24;4,76;6,25;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;18;1;1;7;7,4;0;30,01;29,18;28,91;28,69;27,67;27,06;;;;;;;;;
Boigneville-09032012-P17-P18-P19;18;1;1;7;7,4;1;5,54;9,44;11,14;11,71;13,23;15,16;;;;;;;;;
Boigneville-09032012-P17-P18-P19;18;1;1;8;7,4;0;30,12;29,65;29,53;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;18;1;1;8;7,4;1;6,33;10,18;11,7;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;19;1;0;0;7,4;0;55,32;55,3;;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;19;1;0;0;7,4;1;0,04;5,43;;;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;19;1;1;7;7,4;0;55,44;56,01;56,06;57,25;62,48;63,34;;;;;;;;;
Boigneville-09032012-P17-P18-P19;19;1;1;7;7,4;1;4,61;5,48;6,27;6,05;8,66;8,29;;;;;;;;;
Boigneville-09032012-P17-P18-P19;19;1;1;8;7,4;0;55,3;54,83;55,32;55,92;;;;;;;;;;;
Boigneville-09032012-P17-P18-P19;19;1;1;8;7,4;1;5,48;11,14;11,94;11,81;;;;;;;;;;;
Boigneville-09032012-P20;20;1;0;0;7,4;0;8,73;8,79;8,81;;;;;;;;;;;;
Boigneville-09032012-P20;20;1;0;0;7,4;1;0;7,08;8,87;;;;;;;;;;;;
Boigneville-09032012-P20;20;1;1;7;7,4;0;8,54;7,05;6,33;1,91;0;;;;;;;;;;
Boigneville-09032012-P20;20;1;1;7;7,4;1;5,57;9,59;9,61;9,1;9,76;;;;;;;;;;
Boigneville-09032012-P20;20;1;1;8;7,4;0;8,8;8,91;8,74;8,36;8,13;7,61;;;;;;;;;
Boigneville-09032012-P20;20;1;1;8;7,4;1;9,02;12,39;15,18;18,43;21,1;21,68;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;21;1;0;0;7,4;0;7,21;6,49;;;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;21;1;0;0;7,4;1;1,37;7,97;;;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;21;1;1;7;7,4;0;6,39;5,39;3,72;2,2;0;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;21;1;1;7;7,4;1;7,46;10,09;13,1;15,15;16,92;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;21;1;1;8;7,4;0;6,49;6,68;7,4;6,97;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;21;1;1;8;7,4;1;8,2;12,31;14,75;17,71;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;22;1;0;0;7,4;0;30,83;30,99;;;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;22;1;0;0;7,4;1;1,82;8,36;;;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;22;1;1;7;7,4;0;30,87;30,21;27,15;25,51;27,01;29,7;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;22;1;1;7;7,4;1;6,88;7,19;4,73;2,89;1,46;0;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;22;1;1;8;7,4;0;30,99;31,85;32,38;33,71;35,05;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;22;1;1;8;7,4;1;8,54;12,17;15,08;16,8;20;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;23;1;0;0;7,4;0;56,47;56,55;;;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;23;1;0;0;7,4;1;1,79;7,36;;;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;23;1;1;7;7,4;0;56,38;54,39;53,62;53,58;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;23;1;1;7;7,4;1;6,38;10,59;12,4;15,36;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;23;1;1;8;7,4;0;56,54;57;56,82;55,68;;;;;;;;;;;
Boigneville-09032012-P21-P22-P23-;23;1;1;8;7,4;1;7,49;12,34;15,05;17,44;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;24;1;0;0;7,4;0;2,56;2,61;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;24;1;0;0;7,4;1;0;5,97;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;24;1;1;7;7,4;0;2,54;1,52;0,82;0,48;0;0,12;;;;;;;;;
Boigneville-09032012-P24-P25-P26;24;1;1;7;7,4;1;5,45;8,27;11,52;11,5;9,51;7,69;;;;;;;;;
Boigneville-09032012-P24-P25-P26;24;1;1;8;7,4;0;2,61;2,61;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;24;1;1;8;7,4;1;6,1;13,92;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;25;1;0;0;7,4;0;26,71;27,14;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;25;1;0;0;7,4;1;0,26;6,35;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;25;1;1;7;7,4;0;27;26,58;26,21;25,29;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;25;1;1;7;7,4;1;5,64;10,7;13,95;15,21;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;25;1;1;8;7,4;0;27,12;27,87;28,98;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;25;1;1;8;7,4;1;6,63;10,68;14,34;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;26;1;0;0;7,4;0;52,09;52,18;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;26;1;0;0;7,4;1;0,16;5,62;;;;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;26;1;1;7;7,4;0;52,23;53,46;55,81;57,43;59,29;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;26;1;1;7;7,4;1;4,16;5,13;6,03;5,13;3,92;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;26;1;1;8;7,4;0;52,09;51,31;50,63;49,81;49,17;;;;;;;;;;
Boigneville-09032012-P24-P25-P26;26;1;1;8;7,4;1;5,69;11,14;12,58;12,65;12,51;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;0;0;10,5;0;7,8;7,41;7,6;7,8;7,8;7,7;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;0;0;10,5;1;0,4;5,66;12,31;18,37;23,34;27,11;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;8;10,5;0;7,11;6,12;5,22;5,92;5,92;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;8;10,5;1;12,81;17,38;22,54;26,12;28,8;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;9;10,5;0;8,09;9,83;11,22;12,46;13,65;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;9;10,5;1;18,45;24,7;30,01;34,04;36,22;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;10;10,5;0;7,64;5,76;4,07;1,74;0;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;10;10,5;1;23,61;31,36;37,61;42,78;44,17;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;11;10,5;0;7,94;8,73;9,08;8,88;8,54;8,49;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;11;10,5;1;26,79;34,63;40,54;44,86;47,89;48,29;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;12;10,5;0;7,74;7,79;8,19;;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;1;2;12;10,5;1;27,48;30,41;35,28;;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;0;0;10,5;0;28,25;29,14;28,55;28,55;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;0;0;10,5;1;0,5;3,48;15,89;25,72;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;8;10,5;0;28,99;30,63;;;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;8;10,5;1;10;14,67;;;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;9;10,5;0;28,2;27,75;27,5;27,75;27,85;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;9;10,5;1;15,76;21,43;26,34;30,76;33,34;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;10;10,5;0;28,75;29,94;29,69;29,94;30,48;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;10;10,5;1;20,68;28,38;34,19;38,06;41,19;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;11;10,5;0;28,35;28,2;27,85;26,91;26,66;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;2;2;11;10,5;1;25,25;35,43;41,43;46,95;47,54;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;0;0;10,5;0;47,9;48,5;48,7;48,8;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;0;0;10,5;1;0;2,09;15,49;24,63;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;8;10,5;0;48,41;44,69;43,45;;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;8;10,5;1;11,44;22,02;24,85;;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;9;10,5;0;49;50,2;51,14;50,99;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;9;10,5;1;15,96;22,27;26,89;31,16;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;10;10,5;0;48,51;47,66;46,67;46,47;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;10;10,5;1;21,43;28,62;34,78;39;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;11;10,5;0;48,96;49;49;49,55;;;;;;;;;;;
Boigneville-11042012-P01-P02-P03;1;3;2;11;10,5;1;23,76;33,04;39,2;43,62;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;0;0;10,5;0;7,13;6,54;7,4;7,45;7,61;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;0;0;10,5;1;0,27;6,77;15,89;22,28;24,84;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;8;10,5;0;6,81;4,56;;;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;8;10,5;1;12,66;20,02;;;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;9;10,5;0;7,88;10,67;12,82;15,17;15,93;16,46;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;9;10,5;1;19,27;27,27;32,17;34,52;35,8;36,22;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;10;10,5;0;7,4;6,65;4,88;3,11;2,04;0;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;10;10,5;1;24,57;32,25;37,63;41,37;43,87;45,58;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;11;10,5;0;7,67;7,88;8,69;8,9;8,74;8,37;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;1;2;11;10,5;1;25,21;30,76;36,09;40,73;44,99;47,18;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;0;0;10,5;0;28,37;28,85;29,01;;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;0;0;10,5;1;0;8,8;18,12;;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;7;10,5;0;29,17;32,82;;;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;7;10,5;1;6,77;6,72;;;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;8;10,5;0;28,63;26,54;25,47;24,67;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;8;10,5;1;8,74;13,65;17,01;20,52;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;9;10,5;0;29,17;30,46;31,1;31,1;30,89;30,51;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;9;10,5;1;13,91;18,07;22,23;26,92;29,32;29,75;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;10;10,5;0;28,79;28,26;27,83;27,24;26,54;24,5;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;10;10,5;1;15,83;22,98;29,75;32,84;35,13;36,73;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;11;10,5;0;29,22;29,44;30,24;30,35;30,24;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;2;2;11;10,5;1;17,54;23,46;30,55;34,54;37,4;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;0;0;10,5;0;47,67;49,28;48,96;49,81;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;0;0;10,5;1;0,19;3,81;15,97;23,64;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;8;10,5;0;49,39;52,66;55,18;57,11;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;8;10,5;1;10,98;18,28;22,92;25,69;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;9;10,5;0;48,69;47,99;46,92;45,1;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;9;10,5;1;15,78;22,07;27,13;33,85;;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;10;10,5;0;49,76;50,03;51,1;52,55;54,05;55,61;56,57;57,21;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;10;10,5;1;22,28;26,28;30,6;35,34;39,39;42,97;44,14;44,35;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;11;10,5;0;49,55;49,97;50,4;50,67;50,67;;;;;;;;;;
Boigneville-11042012-P04-P05-P06;2;3;2;11;10,5;1;24,09;28,04;34,28;37,05;39,82;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;0;0;10,5;0;7,39;6,9;6,9;6,63;;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;0;0;10,5;1;0,27;1,84;10,36;15,89;;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;7;10,5;0;6,63;4,07;2,39;0;;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;7;10,5;1;5,91;9,87;12,26;14,65;;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;8;10,5;0;7,23;9,62;11,68;13,37;13,96;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;8;10,5;1;10,58;15,73;18,55;21,48;23,11;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;9;10,5;0;6,63;5,6;3,8;3,1;2,28;1,63;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;9;10,5;1;11,61;15,73;22,62;26,47;29,24;29,67;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;10;10,5;0;6,85;7,39;7,5;7,55;7,61;7,17;7,01;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;10;10,5;1;15,57;21,48;25,44;28,75;31,73;33,63;34,96;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;11;10,5;0;6,57;6,25;5,87;5,81;;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;1;2;11;10,5;1;16,33;21,97;26,85;29,78;;;;;;;;;;;
Boigneville-11042012-P07-P08-P09;1;2;0;0;10,5;0;28,55;29,14;29,41;28,76;28,65;28,6;;;;;;;;;
