Image;ID_Plant;ID_Axis;Organ;ID_Metamer;HS;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15
Boigneville-09032012-P01-P02-P03;1;1;0;0;7,4;0;0,41;0,59;0,98;1,23;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;1;1;0;0;7,4;1;0;1,19;2,88;7,1;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;1;1;1;7;7,4;0;1,32;1,38;1,96;2,35;2,72;3,02;5,69;;;;;;;;
Boigneville-09032012-P01-P02-P03;1;1;1;7;7,4;1;5,82;7,56;8,24;8,27;7,47;4,75;0,58;;;;;;;;
Boigneville-09032012-P01-P02-P03;1;1;1;8;7,4;0;1,24;0,63;0,22;0,13;0;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;1;1;1;8;7,4;1;7,24;15,6;14,8;13,46;12,34;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;2;1;0;0;7,4;0;23,89;23,89;23,84;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;2;1;0;0;7,4;1;0,78;8,66;8,9;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;2;1;1;7;7,4;0;23,77;22,76;;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;2;1;1;7;7,4;1;8,66;9,81;;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;2;1;1;8;7,4;0;23,88;23,17;;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;2;1;1;8;7,4;1;9,05;17,13;;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;3;1;0;0;7,4;0;49,4;50,4;50,61;50,4;50,32;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;3;1;0;0;7,4;1;0,93;2,64;5,44;8,52;8,9;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;3;1;1;7;7,4;0;50,36;49,5;49,13;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;3;1;1;7;7,4;1;8,01;11,9;12,61;;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;3;1;1;8;7,4;0;50,31;50,15;50,04;49,81;;;;;;;;;;;
Boigneville-09032012-P01-P02-P03;3;1;1;8;7,4;1;9,02;12,59;14,92;15,79;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;4;1;0;0;7,4;0;0,18;0,61;1,17;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;4;1;0;0;7,4;1;0,21;2,48;8,64;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;4;1;1;7;7,4;0;0,94;1,93;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;4;1;1;7;7,4;1;7,36;12,42;;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;4;1;1;8;7,4;0;1,16;0,91;0;;;;;;;;;;;;
Boigneville-09032012-P04-P05-P06;4;1;1;8;7,4;1;8,85;15,25;18,34;;;;;;;;;;;;
