index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,6.58,0.35,2.03,0.46,0.00,0.00
2,9.00,0.35,2.17,0.46,0.00,0.00
3,8.88,0.42,2.23,0.46,0.00,0.00
4,7.50,0.47,1.97,0.46,0.00,0.00
5,7.66,0.56,2.47,0.46,0.00,0.00
6,8.60,0.63,2.38,0.46,0.00,0.00
7,10.60,0.77,3.76,0.46,0.00,0.00
8,12.93,0.96,6.50,0.46,0.60,0.46
9,15.53,1.27,7.43,0.46,2.01,0.46
10,17.46,1.60,9.07,0.46,3.61,0.46
11,19.08,1.86,10.51,0.46,5.46,0.46
12,15.67,2.10,13.19,0.46,8.06,0.46
