id_axis,a_cohort,TT_col_0,TT_col_N_phytomer_potential,n0,n1,n2
MS,0.0090,-3.17626,1435,5.537,3.41,5.13
T0,NA,NA,1435,NA,NA,NA
T1,NA,NA,1435,NA,NA,NA
T2,NA,NA,1435,NA,NA,NA
T3,NA,NA,1435,NA,NA,NA
T4,NA,NA,1435,NA,NA,NA
