index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,8.17,0.55,2.85,0.50,0.00,0.00
2,8.17,0.55,2.85,0.50,0.00,0.00
3,8.17,0.55,2.85,0.50,0.00,0.00
4,8.17,0.55,3.37,0.50,0.00,0.00
5,9.08,0.55,4.22,0.50,0.00,0.00
6,12.3,0.55,5.39,0.50,0.00,0.00
7,13.5,0.70,6.53,0.50,0.00,0.00
8,17.2,0.95,7.64,0.50,0.83,0.45
9,19.1,1.19,11.78,0.50,2.52,0.45
10,23.9,1.39,11.56,0.50,4.94,0.45
11,25,1.55,13.12,0.50,11.17,0.45
12,16.7,1.64,13.96,0.50,15.25,0.45
