Date	var	Trt	Bloc	N	Axis	Nflig	nff	fvert_F2	fvert_F3	fvert_F4	fvert_F5	fvert_F6	fvert_F7	fvert_F8	fvert_F9	fvert_F10	fvert_F11	fvert_F12	fvert_F13
11/04/2012	Tremie	T1+T2	1	1	MB	10	12	0	0	0	0	0	5	80	95	99			
11/04/2012	Tremie	T1+T2	1	2	MB	11	13	0	0	0	0	0	0	70	100	100	100		
11/04/2012	Tremie	T1+T2	1	3	MB	11	13	0	0	0	0	0	0	80	95	100	100		
11/04/2012	Tremie	T1+T2	1	4	MB	11	13	0	0	0	0	0	20	60	95	100	100		
11/04/2012	Tremie	T1+T2	1	5	MB	11	13	0	0	0	0	0	0	80	98	100	100		
11/04/2012	Tremie	T1+T2	1	6	MB	10	13	0	0	0	0	0	5	NA	NA	95			
11/04/2012	Tremie	T1+T2	1	7	MB	10	13	0	0	0	0	0	0	NA	97	100			
11/04/2012	Tremie	T1+T2	1	8	MB	11	13	0	0	0	0	0	0	NA	100	100	100		
11/04/2012	Tremie	T1+T2	1	9	MB	11	13	0	0	0	0	0	NA	70	95	100	100		
11/04/2012	Tremie	T1+T2	1	10	MB	11	13	0	0	0	0	0	0	90	99	100	100		
11/04/2012	Tremie	T1+T2	2	11	MB	11	13	0	0	0	0	0	0	80	100	100	100		
11/04/2012	Tremie	T1+T2	2	12	MB	11	13	0	0	0	0	0	0	90	95	100	100		
11/04/2012	Tremie	T1+T2	2	13	MB	11	13	0	0	0	0	0	NA	80	95	100	100		
11/04/2012	Tremie	T1+T2	2	14	MB	10	12	0	0	0	0	0	70	95	100	100			
11/04/2012	Tremie	T1+T2	2	15	MB	11	13	0	0	0	0	0	NA	70	98	100	100		
11/04/2012	Tremie	T1+T2	2	16	MB	10	13	0	0	0	0	0	10	90	100	100			
11/04/2012	Tremie	T1+T2	2	17	MB	10	13	0	0	0	0	0	0	90	100	100			
11/04/2012	Tremie	T1+T2	2	18	MB	11	13	0	0	0	0	0	0	80	100	100	100		
11/04/2012	Tremie	T1+T2	2	19	MB	10	13	0	0	0	0	0	10	90	100	100			
11/04/2012	Tremie	T1+T2	2	20	MB	11	13	0	0	0	0	0	0	90	98	100	100		
11/04/2012	Tremie	T1+T2	3	21	MB	11	13	0	0	0	0	0	5	60	95	100	100		
11/04/2012	Tremie	T1+T2	3	22	MB	10	13	0	0	0	0	0	10	90	100	100			
11/04/2012	Tremie	T1+T2	3	23	MB	11	13	0	0	0	0	0	50	80	100	100	100		
11/04/2012	Tremie	T1+T2	3	24	MB	11	13	0	0	0	0	0	0	70	98	100	100		
11/04/2012	Tremie	T1+T2	3	25	MB	11	13	0	0	0	0	0	15	80	100	100	100		
11/04/2012	Tremie	T1+T2	3	26	MB	9	13	0	0	0	0	0	10	80	100				
11/04/2012	Tremie	T1+T2	3	27	MB	11	13	0	0	0	0	0	10	90	100	100	100		
11/04/2012	Tremie	T1+T2	3	28	MB	10	12	0	0	0	0	0	5	90	95	100			
11/04/2012	Tremie	T1+T2	3	29	MB	11	13	0	0	0	0	0	0	70	98	100	100		
11/04/2012	Tremie	T1+T2	3	30	MB	11	13	0	0	0	0	0	NA	80	98	100	100		
26/04/2012	Tremie	T1+T2	1	1	MB	11	12	0	0	0	0	0	0	80	95	85	100		
26/04/2012	Tremie	T1+T2	1	2	MB	12	13	0	0	0	0	0	0	10	100	100	100	100	
26/04/2012	Tremie	T1+T2	1	3	MB	12	13	0	0	0	0	0	0	0	95	95	100	100	
26/04/2012	Tremie	T1+T2	1	4	MB	12	13	0	0	0	0	0	0	0	98	100	100	100	
26/04/2012	Tremie	T1+T2	1	5	MB	12	13	0	0	0	0	0	0	60	100	100	100	100	
26/04/2012	Tremie	T1+T2	1	6	MB	11	13	0	0	0	0	0	0	NA	90	90	100		
26/04/2012	Tremie	T1+T2	1	7	MB	11	13	0	0	0	0	0	0	85	90	90	100		
26/04/2012	Tremie	T1+T2	1	8	MB	11	13	0	0	0	0	0	0	NA	100	90	95		
26/04/2012	Tremie	T1+T2	1	9	MB	11	13	0	0	0	0	0	0	50	90	98	100		
26/04/2012	Tremie	T1+T2	1	10	MB	12	13	0	0	0	0	0	0	30	98	100	100	100	
26/04/2012	Tremie	T1+T2	2	11	MB	12	13	0	0	0	0	0	0	80	95	95	100	100	
26/04/2012	Tremie	T1+T2	2	12	MB	12	13	0	0	0	0	0	0	80	100	80	100	100	
26/04/2012	Tremie	T1+T2	2	13	MB	12	13	0	0	0	0	0	0	0	90	90	100	100	
26/04/2012	Tremie	T1+T2	2	14	MB	11	12	0	0	0	0	0	2	98	80	98	100		
26/04/2012	Tremie	T1+T2	2	15	MB	12	13	0	0	0	0	0	0	0	80	70	95	100	
26/04/2012	Tremie	T1+T2	2	16	MB	12	13	0	0	0	0	0	0	80	100	100	100	100	
26/04/2012	Tremie	T1+T2	2	17	MB	11	13	0	0	0	0	0	0	50	100	100	100		
26/04/2012	Tremie	T1+T2	2	18	MB	12	13	0	0	0	0	0	0	20	100	100	100	100	
26/04/2012	Tremie	T1+T2	2	19	MB	11	13	0	0	0	0	0	0	80	100	100	100		
26/04/2012	Tremie	T1+T2	2	20	MB	12	13	0	0	0	0	0	0	60	100	98	100	100	
26/04/2012	Tremie	T1+T2	3	21	MB	12	13	0	0	0	0	0	0	70	80	90	100	100	
26/04/2012	Tremie	T1+T2	3	22	MB	11	13	0	0	0	0	0	0	80	90	100	100		
26/04/2012	Tremie	T1+T2	3	23	MB	12	13	0	0	0	0	0	0	50	100	90	100	100	
26/04/2012	Tremie	T1+T2	3	24	MB	12	13	0	0	0	0	0	0	0	95	95	100	100	
26/04/2012	Tremie	T1+T2	3	25	MB	12	13	0	0	0	0	0	0	90	95	95	100	100	
26/04/2012	Tremie	T1+T2	3	26	MB	11	13	0	0	0	0	0	0	70	100	100	100		
26/04/2012	Tremie	T1+T2	3	27	MB	12	13	0	0	0	0	0	0	97	100	95	100	100	
26/04/2012	Tremie	T1+T2	3	28	MB	11	12	0	0	0	0	0	0	70	85	95	100		
26/04/2012	Tremie	T1+T2	3	29	MB	12	13	0	0	0	0	0	0	0	98	98	100	100	
26/04/2012	Tremie	T1+T2	3	30	MB	12	13	0	0	0	0	0	0	30	100	98	100	100	
03/05/2012	Tremie	T1+T2	1	1	MB	12	12	0	0	0	0	0	0	60	95	85	100	100	
03/05/2012	Tremie	T1+T2	1	2	MB	13	13	0	0	0	0	0	0	0	90	90	95	100	100
03/05/2012	Tremie	T1+T2	1	3	MB	13	13	0	0	0	0	0	0	0	85	90	100	100	100
03/05/2012	Tremie	T1+T2	1	4	MB	13	13	0	0	0	0	0	0	NA	98	100	98	100	100
03/05/2012	Tremie	T1+T2	1	5	MB	13	13	0	0	0	0	0	0	0	90	95	100	100	100
03/05/2012	Tremie	T1+T2	1	6	MB	12	13	0	0	0	0	0	0	NA	80	80	97	100	
03/05/2012	Tremie	T1+T2	1	7	MB	12	13	0	0	0	0	0	0	0	95	95	100	100	
03/05/2012	Tremie	T1+T2	1	8	MB	12	13	0	0	0	0	0	0	NA	80	85	95	100	
03/05/2012	Tremie	T1+T2	1	9	MB	13	13	0	0	0	0	0	0	0	80	95	100	100	100
03/05/2012	Tremie	T1+T2	1	10	MB	13	13	0	0	0	0	0	0	0	97	90	97	100	100
03/05/2012	Tremie	T1+T2	2	11	MB	13	13	0	0	0	0	0	0	80	90	80	100	100	100
03/05/2012	Tremie	T1+T2	2	12	MB	13	13	0	0	0	0	0	0	30	97	80	95	100	100
03/05/2012	Tremie	T1+T2	2	13	MB	13	13	0	0	0	0	0	0	NA	70	97	90	100	100
03/05/2012	Tremie	T1+T2	2	14	MB	12	12	0	0	0	0	0	0	95	80	95	100	100	
03/05/2012	Tremie	T1+T2	2	15	MB	13	13	0	0	0	0	0	0	NA	80	85	90	100	100
03/05/2012	Tremie	T1+T2	2	16	MB	13	13	0	0	0	0	0	0	60	90	97	100	100	100
03/05/2012	Tremie	T1+T2	2	17	MB	12	13	0	0	0	0	0	0	0	98	97	100	100	
03/05/2012	Tremie	T1+T2	2	18	MB	13	13	0	0	0	0	0	0	0	90	95	100	100	100
03/05/2012	Tremie	T1+T2	2	19	MB	12	13	0	0	0	0	0	0	0	100	98	100	100	
03/05/2012	Tremie	T1+T2	2	20	MB	13	13	0	0	0	0	0	0	20	97	95	98	100	100
03/05/2012	Tremie	T1+T2	3	21	MB	13	13	0	0	0	0	0	0	0	75	85	97	100	100
03/05/2012	Tremie	T1+T2	3	22	MB	12	13	0	0	0	0	0	0	80	82	98	100	100	
03/05/2012	Tremie	T1+T2	3	23	MB	13	13	0	0	0	0	0	0	0	100	95	95	100	100
03/05/2012	Tremie	T1+T2	3	24	MB	13	13	0	0	0	0	0	0	0	75	80	98	100	100
03/05/2012	Tremie	T1+T2	3	25	MB	13	13	0	0	0	0	0	0	50	95	80	98	100	100
03/05/2012	Tremie	T1+T2	3	26	MB	12	13	0	0	0	0	0	0	50	98	90	100	100	
03/05/2012	Tremie	T1+T2	3	27	MB	13	13	0	0	0	0	0	0	50	97	85	95	100	100
03/05/2012	Tremie	T1+T2	3	28	MB	12	12	0	0	0	0	0	0	20	80	80	97	100	
03/05/2012	Tremie	T1+T2	3	29	MB	13	13	0	0	0	0	0	0	0	80	97	98	100	100
03/05/2012	Tremie	T1+T2	3	30	MB	13	13	0	0	0	0	0	0	0	97	97	90	100	100
09/05/2012	Tremie	T1+T2	1	1	MB	12	12	0	0	0	0	0	0	5	90	80	98	100	
09/05/2012	Tremie	T1+T2	1	2	MB	13	13	0	0	0	0	0	0	0	85	90	95	100	100
09/05/2012	Tremie	T1+T2	1	3	MB	13	13	0	0	0	0	0	0	0	20	60	100	100	100
09/05/2012	Tremie	T1+T2	1	4	MB	13	13	0	0	0	0	0	0	NA	95	98	98	100	100
09/05/2012	Tremie	T1+T2	1	5	MB	13	13	0	0	0	0	0	0	0	80	100	100	100	100
09/05/2012	Tremie	T1+T2	1	6	MB	13	13	0	0	0	0	0	0	NA	2	80	95	100	100
09/05/2012	Tremie	T1+T2	1	7	MB	13	13	0	0	0	0	0	0	0	90	95	100	100	100
09/05/2012	Tremie	T1+T2	1	8	MB	13	13	0	0	0	0	0	0	NA	15	80	95	100	100
09/05/2012	Tremie	T1+T2	1	9	MB	13	13	0	0	0	0	0	0	0	80	90	98	100	100
09/05/2012	Tremie	T1+T2	1	10	MB	13	13	0	0	0	0	0	0	0	90	90	95	100	100
09/05/2012	Tremie	T1+T2	2	11	MB	13	13	0	0	0	0	0	0	15	85	90	100	100	100
09/05/2012	Tremie	T1+T2	2	12	MB	13	13	0	0	0	0	0	0	0	90	75	95	100	100
09/05/2012	Tremie	T1+T2	2	13	MB	13	13	0	0	0	0	0	0	0	0	95	90	100	100
09/05/2012	Tremie	T1+T2	2	14	MB	12	12	0	0	0	0	0	0	80	75	95	100	100	
09/05/2012	Tremie	T1+T2	2	15	MB	13	13	0	0	0	0	0	0	NA	15	80	80	100	100
