variete	prelevement	Date_analyse	operateur	outil_analyse	Nom_fichier	Rep	plant	id_Axe	rank	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	MB	4	8,5598	0,4296	2,49608	0,440935	3	0	0,20789	0,21684	0,28648	0,32291	0,31197	0,2953	0,31614	0,32069	0,36265	0,36842	0,3327	0,34085	0,38829	0,42886	0,43645	0,40945	0,41786	0,402	0,34825	0,14782
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	MB	5	9,9802	0,47348	2,4875	0,60509	3	0	0,056364	0,49477	0,11312	0,079635	0,13673	0,28078	0,25514	0,21946	0,20248	0,20929	0,21227	0,19086	0,22163	0,31803	0,43314	0,43357	0,45437	0,46853	0,43423	0,33377
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	MB	6	13,9315	0,54573	5,0584	1,4001	2	0	0,11865	0,16025	0,21077	0,20838	0,21305	0,26069	0,40254	0,45001	0,41419	0,4099	0,44595	0,4225	0,36815	0,38001	0,43227	0,43523	0,5388	0,54061	0,53135	0,43131
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	MB	7	14,2511	0,80234	7,3933	6,992	2	0	0,11153	0,092931	0,065431	0,056434	0,030257	0,1217	0,60009	0,63879	0,67331	0,71587	0,74206	0,76719	0,79514	0,80793	0,78325	0,76233	0,72432	0,71326	0,67309	0,4765
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	Talle	NA	6,7844	0,19901	0,6405	0,10387	NA	0	0,036693	0,045911	0,038155	0,081922	0,058697	0,079151	0,057108	0,048821	0,038738	0,087504	0,1129	0,080732	0,088984	0,091861	0,12583	0,17392	0,19746	0,19119	0,1825	0,12605
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	Talle	NA	7,8273	0,38592	1,9999	0,73606	NA	0	0,052643	0,060265	0,063791	0,094111	0,10064	0,21982	0,28105	0,285	0,29327	0,30491	0,38109	0,38555	0,33025	0,30588	0,31161	0,36369	0,36119	0,36435	0,3703	0,22705
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	Talle	NA	10,7986	0,39141	2,5577	0,043656	NA	0	0,11947	0,13888	0,084058	0,10144	0,21015	0,20179	0,19289	0,22711	0,24793	0,2575	0,24692	0,28177	0,33978	0,32521	0,36332	0,38709	0,38628	0,31388	0,14241	0,092367
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	Talle	NA	14,1412	0,55901	3,7118	2,8293	NA	0	0,11702	0,061707	0,071918	0,090495	0,084159	0,12078	0,10164	0,066174	0,072796	0,079872	0,13636	0,41624	0,49976	0,55578	0,55359	0,49572	0,47256	0,51682	0,50393	0,28908
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	Talle	NA	11,0365	0,36733	3,2115	3,1705	NA	0	0,3746	0,31972	0,27066	0,26266	0,28858	0,30485	0,30643	0,31139	0,34121	0,34704	0,36302	0,36458	0,34746	0,33568	0,30578	0,22122	0,22048	0,17	0,15739	0,049507
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P01.tif	1	1	Talle	NA	7,3288	0,26588	0,90136	0,3286	NA	0	0,024479	0,075354	0,11553	0,12677	0,084296	0,072175	0,085584	0,10783	0,10221	0,079262	0,10003	0,084809	0,099183	0,101	0,13324	0,183	0,21867	0,26584	0,2614	0,21267
