DATE;TT;HS
2012-10-29;0;-0,35
2012-10-30;6,76;-0,29
2012-10-31;13,23;-0,23
2012-11-01;19,77;-0,17
2012-11-02;27,88;-0,09
2012-11-03;35,46;-0,02
2012-11-04;44,61;0,06
2012-11-05;52,76;0,14
2012-11-06;60,08;0,21
2012-11-07;66,36;0,26
2012-11-08;74,27;0,34
2012-11-09;79,22;0,38
2012-11-10;85,52;0,44
2012-11-11;95,9;0,54
2012-11-12;102,03;0,59
2012-11-13;107,73;0,65
2012-11-14;112,58;0,69
2012-11-15;115,84;0,72
2012-11-16;120,03;0,76
2012-11-17;124,08;0,8
2012-11-18;131,61;0,87
2012-11-19;139,84;0,94
2012-11-20;149,39;1,03
2012-11-21;156,86;1,1
2012-11-22;164,04;1,17
2012-11-23;169,27;1,22
2012-11-24;177,72;1,3
2012-11-25;187,08;1,38
2012-11-26;195,8;1,46
2012-11-27;204,68;1,55
2012-11-28;211,18;1,61
2012-11-29;217,23;1,66
2012-11-30;222;1,71
2012-12-01;223,38;1,72
2012-12-02;224,8;1,73
2012-12-03;226,81;1,75
2012-12-04;233,35;1,81
2012-12-05;237,72;1,85
2012-12-06;240,1;1,87
2012-12-07;241,15;1,88
2012-12-08;243,56;1,91
2012-12-09;245,17;1,92
2012-12-10;248,13;1,95
2012-12-11;252,01;1,98
2012-12-12;253,06;1,99
2012-12-13;253,11;1,99
2012-12-14;254,79;2,01
2012-12-15;262,85;2,08
2012-12-16;271,57;2,16
2012-12-17;279,72;2,24
2012-12-18;286,5;2,3
2012-12-19;293,3;2,37
2012-12-20;298,46;2,41
2012-12-21;305,88;2,48
2012-12-22;312,6;2,54
2012-12-23;322,05;2,63
2012-12-24;334,45;2,75
2012-12-25;344,45;2,84
2012-12-26;354,1;2,93
2012-12-27;362,76;3,01
2012-12-28;371,7;3,09
2012-12-29;380,46;3,17
2012-12-30;389,79;3,26
2012-12-31;397,3;3,33
2013-01-01;405,53;3,41
2013-01-02;411,93;3,46
2013-01-03;417,1;3,51
2013-01-04;425,51;3,59
2013-01-05;433,85;3,67
2013-01-06;441,67;3,74
2013-01-07;448,15;3,8
2013-01-08;453,91;3,85
2013-01-09;457,15;3,88
2013-01-10;460,27;3,91
2013-01-11;466,7;3,97
2013-01-12;471,23;4,01
2013-01-13;474,53;4,04
2013-01-14;477,42;4,07
2013-01-15;477,72;4,07
2013-01-16;478,88;4,08
2013-01-17;478,88;4,08
2013-01-18;478,88;4,08
2013-01-19;478,88;4,08
2013-01-20;478,88;4,08
2013-01-21;478,88;4,08
2013-01-22;479,26;4,09
2013-01-23;480,65;4,1
2013-01-24;482,02;4,11
2013-01-25;482,64;4,12
2013-01-26;482,64;4,12
2013-01-27;483,6;4,13
2013-01-28;487,98;4,17
2013-01-29;494,38;4,23
2013-01-30;504,73;4,32
2013-01-31;514,97;4,42
2013-02-01;522,93;4,49
2013-02-02;531,15;4,57
2013-02-03;534,23;4,6
2013-02-04;536,78;4,62
2013-02-05;545,16;4,7
2013-02-06;548,71;4,73
2013-02-07;552,65;4,77
2013-02-08;555,09;4,79
2013-02-09;557,03;4,81
2013-02-10;557,59;4,81
2013-02-11;559,13;4,83
2013-02-12;563,99;4,87
2013-02-13;565,8;4,89
2013-02-14;565,89;4,89
2013-02-15;568,68;4,92
2013-02-16;573,83;4,96
2013-02-17;577,7;5
2013-02-18;579,96;5,02
2013-02-19;582,28;5,04
2013-02-20;585,31;5,07
2013-02-21;587,68;5,09
2013-02-22;587,95;5,09
2013-02-23;587,95;5,09
2013-02-24;587,95;5,09
2013-02-25;587,96;5,09
2013-02-26;588,25;5,1
2013-02-27;589,4;5,11
2013-02-28;591,78;5,13
2013-03-01;593,7;5,15
2013-03-02;595,83;5,17
2013-03-03;597,45;5,18
2013-03-04;600,35;5,21
2013-03-05;607,36;5,27
2013-03-06;617,39;5,37
2013-03-07;628,19;5,47
2013-03-08;638,88;5,57
2013-03-09;649,5;5,66
2013-03-10;659,72;5,76
2013-03-11;665,2;5,81
2013-03-12;668,6;5,84
2013-03-13;668,81;5,84
2013-03-14;669,4;5,85
2013-03-15;670,72;5,86
2013-03-16;673,4;5,89
2013-03-17;677,74;5,93
2013-03-18;682,98;5,97
2013-03-19;687,09;6,01
