operator	date	file	prelevement	blockA	blockB	rep	plant	id_Axe	id	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	1	MB	P1-MB-F8	8	NaN	14,8644	0,98229	11,7502	11,5518	1	0	0,083161	0,28394	0,41119	0,49614	0,59162	0,70965	0,82694	0,89839	0,95666	0,96688	0,98396	0,94114	0,97099	0,92808	0,93937	0,93771	0,91393	0,89301	0,82474	0,60404
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	1	MB	P1-MB-F9	9	NaN	16,3747	1,2584	16,0139	15,8906	1	0	0,087311	0,28595	0,53695	0,67304	0,75386	0,83132	0,89419	1,0442	1,1646	1,2212	1,2649	1,2558	1,2351	1,232	1,2094	1,1855	1,12	1,098	0,99895	0,77245
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	1	MB	P1-MB-F10	10	NaN	19,9636	1,4214	21,8526	21,8507	1	0	0,26606	0,45545	0,63438	0,7739	0,86112	0,94897	1,0711	1,1353	1,2248	1,2719	1,3458	1,385	1,3968	1,4292	1,4134	1,3363	1,2551	1,3409	1,2387	1,0482
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	2	MB	P2-MB-F8	8	NaN	12,1395	1,0639	10,9211	10,7957	3	0	0,28793	0,53844	0,64349	0,76415	0,85865	0,92618	1,0085	1,0352	1,0508	1,0664	1,0576	1,0222	1,0358	1,0063	0,99306	0,96089	0,91282	0,87939	0,81426	0,66228
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	2	MB	P2-MB-F9	9	NaN	17,0609	1,1685	16,0607	15,9875	1	0	0,26285	0,4518	0,59892	0,72633	0,81431	0,81885	0,968	1,0427	1,1239	1,1653	1,1721	1,155	1,1453	1,0964	1,1171	1,1328	1,0899	1,0534	0,98256	0,70396
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	3	MB	P3-MB-F9	9	NaN	16,2568	1,1956	15,7765	15,7528	1	0	0,074999	0,31677	0,51427	0,66579	0,8024	0,91679	1,0043	1,1122	1,1343	1,1924	1,196	1,1995	1,1746	1,1801	1,1562	1,1389	1,0942	1,0674	0,97488	0,794
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	3	MB	P3-MB-F10	10	NaN	21,7538	1,3434	23,0635	23,0539	1	0	0,20694	0,46203	0,67027	0,76479	0,84536	0,95846	1,067	1,1636	1,2298	1,2962	1,3343	1,3457	1,3152	1,2902	1,2885	1,2564	1,2331	1,1776	1,1153	0,68043
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	4	MB	P4-MB-F8	8	NaN	10,2158	0,92964	7,9606	7,9348	1	0	0,21557	0,42814	0,577	0,65634	0,66301	0,75303	0,84276	0,89318	0,90885	0,92545	0,92163	0,92629	0,93194	0,91295	0,88097	0,8668	0,83866	0,80673	0,74466	0,62999
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	4	MB	P4-MB-F9	9	NaN	14,8689	1,0907	13,2143	13,2133	1	0	0,066393	0,31885	0,49235	0,60883	0,71705	0,78863	0,8419	0,93975	1,0172	1,066	1,0762	1,0609	1,0651	1,082	1,0933	1,0707	1,052	1,0138	0,93011	0,71291
ABICHOU	09-Aug-2012 13:23:33	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_001.tif	02/04/2012	1	NaN	NaN	4	MB	P4-MB-F10	10	NaN	20,5783	1,3206	21,2072	21,2048	1	0	0,12593	0,39019	0,5686	0,70507	0,81362	0,92153	1,0529	1,1002	1,1857	1,2444	1,2874	1,3101	1,3071	1,3096	1,2506	1,215	1,1886	1,175	1,0709	0,82056
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	5	MB	P5-MB-F8	8	NaN	15,8537	1,3322	15,3386	13,3275	2	0	0,08055	0,24496	0,31354	0,48763	0,61147	0,7165	0,85538	1,0011	1,1395	1,2467	1,3203	1,3452	1,3003	1,2531	1,2555	1,2304	1,1927	1,1648	1,0779	0,72689
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	5	MB	P5-MB-F9	9	NaN	17,6154	1,5629	20,7491	20,6113	1	0	0,073268	0,34538	0,59657	0,80494	0,83781	0,87545	1,0323	1,2119	1,3743	1,4748	1,5347	1,5836	1,5215	1,4936	1,4254	1,4234	1,382	1,3507	1,2604	0,91667
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	5	MB	P5-MB-F10	10	NaN	21,3091	1,6093	26,8155	26,7964	1	0	0,16174	0,49568	0,75313	0,85188	0,99472	1,1698	1,2347	1,2828	1,2919	1,4052	1,4524	1,5362	1,6193	1,5709	1,5323	1,5851	1,5922	1,5508	1,395	1,1154
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	7	MB	P7-MB-F9	9	NaN	16,6546	1,16	14,971	14,5207	1	0	0,09007	0,32196	0,44315	0,56503	0,64641	0,76624	0,91061	0,989	1,0565	1,1353	1,1526	1,1624	1,135	1,1196	1,1216	1,0898	1,0489	0,99337	0,95678	0,68035
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	7	MB	P7-MB-F10	10	NaN	20,6045	1,3743	22,6682	22,4653	1	0	0,12665	0,38316	0,5898	0,71873	0,86426	1,0588	1,158	1,2053	1,2523	1,3436	1,3542	1,3599	1,3784	1,3504	1,3494	1,327	1,2964	1,2263	1,1576	0,8415
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	8	MB	P8-MB-F8	8	NaN	11,8487	1,0996	10,0131	9,4664	1	0	0,13255	0,33339	0,4782	0,58232	0,69065	0,76696	0,85437	1,021	1,1043	1,0861	1,0973	1,0818	1,0669	0,99959	0,98329	0,96249	0,86664	0,79297	0,75217	0,65014
