Date	var	Trt	Rep	N	Axis	Nflig	Nfvis	H_last_col	nff	Lg_F1	Lg_F2	Lg_F3	Lg_F4	Lg_F5	Lg_F6	Lg_F7	Lg_F8	Lg_F9	Lg_F10	Lg_F11	Lg_F12	f_senF1	fsen_F2	fsen_F3	fsen_F4	fsen_F5	fsen_F6	fsen_F7	fsen_F8	fsen_F9	fsen_F10	fsen_F11	fsen_F12	f_vertF1	fvert_F2	fvert_F3	fvert_F4	fvert_F5	fvert_F6	fvert_F7	fvert_F8	fvert_F9	fvert_F10	fvert_F11	fvert_F12
02/04/2013	Tremie	T1+T2	NA	1	MB	NA	NA	NA	NA													100	100	100	90	0	0	10	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	2	MB	NA	NA	NA	NA													100	100	100	100	10	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	3	MB	NA	NA	NA	NA													100	100	100	55	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	4	MB	NA	NA	NA	NA													100	100	100	NA	0	10	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	5	MB	NA	NA	NA	NA													100	100	100	5	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	6	MB	NA	NA	NA	NA													100	100	100	80	0	10	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	7	MB	NA	NA	NA	NA													100	100	100	30	0	0	5	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	8	MB	NA	NA	NA	NA													100	100	100	20	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	9	MB	NA	NA	NA	NA													100	100	100	85	25	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	10	MB	NA	NA	NA	NA													100	100	100	90	50	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	11	MB	NA	NA	NA	NA													100	100	100	95	0	10	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	12	MB	NA	NA	NA	NA													100	100	100	40	0	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	13	MB	NA	NA	NA	NA													100	100	100	100	0	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	14	MB	NA	NA	NA	NA													100	100	100	75	5	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	15	MB	NA	NA	NA	NA													100	100	100	55	5	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	16	MB	NA	NA	NA	NA													100	100	100	100	10	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	17	MB	NA	NA	NA	NA													100	100	100	100	0	0	10	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	18	MB	NA	NA	NA	NA													100	100	100	100	25	0	10	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	19	MB	NA	NA	NA	NA													100	100	100	60	10	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	20	MB	NA	NA	NA	NA													100	100	100	100	30	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	21	MB	NA	NA	NA	NA													100	100	100	95	25	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	22	MB	NA	NA	NA	NA													100	100	100	60	5	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	23	MB	NA	NA	NA	NA													100	100	100	90	5	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	24	MB	NA	NA	NA	NA													100	100	100	60	10	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	25	MB	NA	NA	NA	NA													100	100	100	50	25	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	26	MB	NA	NA	NA	NA													100	100	100	20	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	27	MB	NA	NA	NA	NA													100	100	100	80	10	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	28	MB	NA	NA	NA	NA													100	100	100	50	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	29	MB	NA	NA	NA	NA													100	100	100	100	25	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	30	MB	NA	NA	NA	NA													100	100	100	95	10	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	31	MB	NA	NA	NA	NA													100	100	100	95	20	0	0	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	32	MB	NA	NA	NA	NA													100	100	100	100	5	0	10	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	33	MB	NA	NA	NA	NA													100	100	100	100	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	34	MB	NA	NA	NA	NA													100	100	100	25	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	35	MB	NA	NA	NA	NA													100	100	100	75	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	36	MB	NA	NA	NA	NA													100	100	100	100	50	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	37	MB	NA	NA	NA	NA													100	100	100	75	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	38	MB	NA	NA	NA	NA													100	100	100	20	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	39	MB	NA	NA	NA	NA													100	100	100	100	10	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	40	MB	NA	NA	NA	NA													100	100	100	85	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	41	MB	NA	NA	NA	NA													100	100	100	90	0	0	NA	0	0	0	0	0												
02/04/2013	Tremie	T1+T2	NA	42	MB	NA	NA	NA	NA													100	100	100	60	5	0	NA	0	0	0	0	0												
