Image	Date	Essai	Parcelle	Plante	Tige	Feuille	Surface	pcent_green	id_Feuille	stat	NFL
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	1	5,85998828	88,27755147	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	0	12,612878	99,21483376	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	MB	-1	5,55063406	38,22572209	6	2	9
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-2	21,70495659	99,68566779	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-3	3,07338095	99,77958541	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	MB	-4	10,28175363	86,52014997	7	2	9
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-5	1,37548112	99,0619137	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-6	1,50128732	33,10055866	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-7	3,64241207	93,23384847	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-8	3,15386466	34,04929938	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	MB	-9	19,4257676	98,3485553	8	1	9
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-10	9,72014185	98,41201361	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-11	1,56144849	96,53961368	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-12	9,05949801	99,17926258	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	MB	-13	24,95946621	99,6988672	9	1	9
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-14	7,59869448	93,52818815	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-15	16,1902902	99,4670253	NA	NA	NA
Placette1_P1(rep)	22/04/2013	Echap	1	1	Talle	-16	10,41497917	99,38209468	NA	NA	NA
Placette1_P10(2)(A)	22-avr-13	Echap	1	10	Talle	1	1,83306085	62,19973603	NA	NA	NA
Placette1_P10(2)(A)	22-avr-13	Echap	1	10	Talle	0	6,04143953	96,61211523	NA	NA	NA
