id_axis,a_cohort,TT_col_0,TT_col_N_phytomer_potential,n0,n1,n2
MS,0.0085,62.85304,1357,4.647,2.52,4.64
T0,NA,NA,1357,NA,NA,NA
T1,NA,NA,1357,NA,NA,NA
T2,NA,NA,1357,NA,NA,NA
T3,NA,NA,1357,NA,NA,NA
T4,NA,NA,1357,NA,NA,NA
