Image;date;pcent_veg;PAI;variety
20130417_Ref_B1_1.jpg;17/04/2013;81,88;1,84;Tremie13
20130417_Ref_B1_2.jpg;17/04/2013;84,48;2;Tremie13
20130417_Ref_B1_3.jpg;17/04/2013;83,03;1,91;Tremie13
20130417_Ref_B1_4.jpg;17/04/2013;73,46;1,43;Tremie13
20130417_Ref_B2_1.jpg;17/04/2013;80,59;1,76;Tremie13
20130417_Ref_B2_2.jpg;17/04/2013;85,41;2,07;Tremie13
20130417_Ref_B2_3.jpg;17/04/2013;81,54;1,82;Tremie13
20130417_Ref_B2_4.jpg;17/04/2013;75,71;1,52;Tremie13
20130417_Ref_B3_1.jpg;17/04/2013;73,34;1,42;Tremie13
20130417_Ref_B3_2.jpg;17/04/2013;83,87;1,96;Tremie13
20130417_Ref_B3_3.jpg;17/04/2013;80,02;1,73;Tremie13
20130417_Ref_B3_4.jpg;17/04/2013;78,37;1,65;Tremie13
20130417_TNT_B1_1.jpg;17/04/2013;77,67;1,61;Tremie13
20130417_TNT_B1_2.jpg;17/04/2013;78,94;1,67;Tremie13
20130417_TNT_B1_3.jpg;17/04/2013;74,85;1,48;Tremie13
20130417_TNT_B2_1.jpg;17/04/2013;75,65;1,52;Tremie13
20130417_TNT_B2_2.jpg;17/04/2013;80,44;1,75;Tremie13
20130417_TNT_B2_3.jpg;17/04/2013;79,49;1,7;Tremie13
20130417_TNT_B2_4.jpg;17/04/2013;85,43;2,07;Tremie13
20130417_TNT_B3_1.jpg;17/04/2013;80,63;1,76;Tremie13
20130417_TNT_B3_2.jpg;17/04/2013;81,68;1,82;Tremie13
20130417_TNT_B3_3.jpg;17/04/2013;79,31;1,69;Tremie13
20130417_TNT_B3_4.jpg;17/04/2013;78,15;1,64;Tremie13
20130426_Ref_B1_1.jpg;26/04/2013;88,8;2,35;Tremie13
20130426_Ref_B1_2.jpg;26/04/2013;86,48;2,15;Tremie13
20130426_Ref_B1_3.jpg;26/04/2013;89,39;2,41;Tremie13
20130426_Ref_B1_4.jpg;26/04/2013;89,28;2,4;Tremie13
20130426_Ref_B2_1.jpg;26/04/2013;86,17;2,13;Tremie13
20130426_Ref_B2_2.jpg;26/04/2013;90,69;2,55;Tremie13
20130426_Ref_B2_3.jpg;26/04/2013;88;2,28;Tremie13
20130426_Ref_B2_4.jpg;26/04/2013;92,32;2,76;Tremie13
20130426_Ref_B2_5.jpg;26/04/2013;91,78;2,69;Tremie13
20130426_Ref_B2_6.jpg;26/04/2013;89,41;2,41;Tremie13
20130426_Ref_B3_1.jpg;26/04/2013;94,23;3,07;Tremie13
20130426_Ref_B3_2.jpg;26/04/2013;93,9;3,01;Tremie13
20130426_Ref_B3_3.jpg;26/04/2013;95,07;3,24;Tremie13
20130426_Ref_B3_4.jpg;26/04/2013;95,43;3,32;Tremie13
20130426_Ref_B3_5.jpg;26/04/2013;94,42;3,1;Tremie13
20130426_TNT_B1_1.jpg;26/04/2013;87,65;2,25;Tremie13
20130426_TNT_B1_2.jpg;26/04/2013;89,1;2,38;Tremie13
20130426_TNT_B1_3.jpg;26/04/2013;87,76;2,26;Tremie13
20130426_TNT_B1_4.jpg;26/04/2013;88,19;2,3;Tremie13
20130426_TNT_B1_5.jpg;26/04/2013;86,67;2,17;Tremie13
20130426_TNT_B2_1.jpg;26/04/2013;93,35;2,91;Tremie13
20130426_TNT_B2_2.jpg;26/04/2013;92,48;2,78;Tremie13
20130426_TNT_B2_3.jpg;26/04/2013;93,71;2,97;Tremie13
20130426_TNT_B2_4.jpg;26/04/2013;93,19;2,89;Tremie13
20130426_TNT_B2_5.jpg;26/04/2013;91,84;2,69;Tremie13
20130426_TNT_B3_1.jpg;26/04/2013;94,55;3,13;Tremie13
20130426_TNT_B3_2.jpg;26/04/2013;95,34;3,3;Tremie13
20130426_TNT_B3_3.jpg;26/04/2013;95,11;3,25;Tremie13
20130426_TNT_B3_4.jpg;26/04/2013;94,99;3,22;Tremie13
20130529_Ref_B1_1.jpg;29/05/2013;91,74;2,68;Tremie13
20130529_Ref_B1_2.jpg;29/05/2013;92,47;2,78;Tremie13
20130529_Ref_B1_3.jpg;29/05/2013;90,28;2,51;Tremie13
20130529_Ref_B1_4.jpg;29/05/2013;92,79;2,83;Tremie13
20130529_Ref_B1_5.jpg;29/05/2013;91,47;2,65;Tremie13
20130529_Ref_B2_1.jpg;29/05/2013;92,55;2,79;Tremie13
20130529_Ref_B2_2.jpg;29/05/2013;92,55;2,79;Tremie13
20130529_Ref_B2_3.jpg;29/05/2013;93,78;2,99;Tremie13
20130529_Ref_B2_4.jpg;29/05/2013;93,58;2,95;Tremie13
20130529_Ref_B3_1.jpg;29/05/2013;94,51;3,12;Tremie13
20130529_Ref_B3_2.jpg;29/05/2013;92,89;2,84;Tremie13
20130529_Ref_B3_3.jpg;29/05/2013;92,51;2,79;Tremie13
20130529_Ref_B3_4.jpg;29/05/2013;94,29;3,08;Tremie13
20130529_TNT_B1_1.jpg;29/05/2013;91,29;2,62;Tremie13
20130529_TNT_B1_2.jpg;29/05/2013;93,8;2,99;Tremie13
20130529_TNT_B1_3.jpg;29/05/2013;91,41;2,64;Tremie13
20130529_TNT_B1_4.jpg;29/05/2013;92,31;2,76;Tremie13
20130529_TNT_B2_1.jpg;29/05/2013;93,7;2,97;Tremie13
20130529_TNT_B2_2.jpg;29/05/2013;90,74;2,56;Tremie13
20130529_TNT_B2_3.jpg;29/05/2013;91,85;2,7;Tremie13
20130529_TNT_B2_4.jpg;29/05/2013;91,26;2,62;Tremie13
20130529_TNT_B3_1.jpg;29/05/2013;91,62;2,67;Tremie13
20130529_TNT_B3_2.jpg;29/05/2013;92,72;2,82;Tremie13
20130529_TNT_B3_3.jpg;29/05/2013;92,04;2,72;Tremie13
20130529_TNT_B3_4.jpg;29/05/2013;91,53;2,65;Tremie13
20130613_Ref_B1_1.jpg;13/06/2013;85,22;2,06;Tremie13
20130613_Ref_B1_2.jpg;13/06/2013;82,38;1,87;Tremie13
20130613_Ref_B1_3.jpg;13/06/2013;83,9;1,96;Tremie13
20130613_Ref_B1_4.jpg;13/06/2013;81,85;1,84;Tremie13
20130613_Ref_B2_1.jpg;13/06/2013;83,81;1,96;Tremie13
20130613_Ref_B2_2.jpg;13/06/2013;87,93;2,27;Tremie13
20130613_Ref_B2_3.jpg;13/06/2013;86,29;2,14;Tremie13
20130613_Ref_B2_4.jpg;13/06/2013;86,76;2,17;Tremie13
20130613_Ref_B3_1.jpg;13/06/2013;83,51;1,94;Tremie13
20130613_Ref_B3_2.jpg;13/06/2013;85,06;2,04;Tremie13
20130613_Ref_B3_3.jpg;13/06/2013;85,39;2,07;Tremie13
20130613_Ref_B3_4.jpg;13/06/2013;84,79;2,02;Tremie13
20130613_TNT_B1_1.jpg;13/06/2013;82,65;1,88;Tremie13
20130613_TNT_B1_2.jpg;13/06/2013;79,01;1,68;Tremie13
20130613_TNT_B1_3.jpg;13/06/2013;82,02;1,84;Tremie13
20130613_TNT_B1_4.jpg;13/06/2013;81,91;1,84;Tremie13
20130613_TNT_B1_5.jpg;13/06/2013;81,79;1,83;Tremie13
20130613_TNT_B2_1.jpg;13/06/2013;81,19;1,8;Tremie13
20130613_TNT_B2_2.jpg;13/06/2013;80,1;1,74;Tremie13
20130613_TNT_B2_3.jpg;13/06/2013;80,11;1,74;Tremie13
20130613_TNT_B2_4.jpg;13/06/2013;82,05;1,85;Tremie13
20130613_TNT_B3_1.jpg;13/06/2013;85,11;2,05;Tremie13
20130613_TNT_B3_2.jpg;13/06/2013;85,34;2,06;Tremie13
20130613_TNT_B3_3.jpg;13/06/2013;85,1;2,05;Tremie13
20130613_TNT_B3_4.jpg;13/06/2013;85,02;2,04;Tremie13
