image;date;variety;pcent_veg;PAI
20110418_mercia_B1_R1_img.tif;18/04/2011;Mercia;94,46;3,11
20110418_mercia_B1_R2_img.tif;18/04/2011;Mercia;94,82;3,18
20110418_mercia_B1_R3_img.tif;18/04/2011;Mercia;93,42;2,93
20110418_mercia_B2_R1_img.tif;18/04/2011;Mercia;95,74;3,39
20110418_mercia_B2_R2_img.tif;18/04/2011;Mercia;96,43;3,58
20110418_mercia_B2_R3_img.tif;18/04/2011;Mercia;95,68;3,38
20110418_mercia_B3_R1_img.tif;18/04/2011;Mercia;95,72;3,39
20110418_mercia_B3_R2_img.tif;18/04/2011;Mercia;95;3,22
20110418_mercia_B3_R3_img.tif;18/04/2011;Mercia;95,07;3,24
20110427_Mercia_R2_img.tif;27/04/2011;Mercia;97,45;3,94
20110427_Mercia_R3_img.tif;27/04/2011;Mercia;97,84;4,12
20110601_Mercia_B3_R1_img.tif;01/06/2011;Mercia;97,14;3,82
20110601_Mercia_B3_R2_img.tif;01/06/2011;Mercia;98,11;4,27
20110418_rht3_B1_R1_img.tif;18/04/2011;Rht3;97,68;4,05
20110418_rht3_B1_R2_img.tif;18/04/2011;Rht3;94,69;3,16
20110418_rht3_B1_R3_img.tif;18/04/2011;Rht3;94,69;3,16
20110418_rht3_B2_R2_img.tif;18/04/2011;Rht3;97,18;3,84
20110418_rht3_B2_R3_img.tif;18/04/2011;Rht3;95,24;3,27
20110418_rht3_B2_R4_img.tif;18/04/2011;Rht3;95,65;3,37
20110418_rht3_B3_R1_img.tif;18/04/2011;Rht3;96,14;3,5
20110418_rht3_B3_R2_img.tif;18/04/2011;Rht3;96,63;3,65
20110418_rht3_B3_R3_img.tif;18/04/2011;Rht3;93,83;3
20110418_rht3_B3_R4_img.tif;18/04/2011;Rht3;94,02;3,03
20110427_Rht3_R1_img.tif;27/04/2011;Rht3;97,45;3,94
20110427_Rht3_R2_img.tif;27/04/2011;Rht3;97,65;4,03
20110427_Rht3_R3_img.tif;27/04/2011;Rht3;97,33;3,9
20110601_Rht3_B1_R1_img.tif;01/06/2011;Rht3;95,43;3,32
20110601_Rht3_B1_R2_img.tif;01/06/2011;Rht3;96,18;3,51
20110601_Rht3_B2_R1_img.tif;01/06/2011;Rht3;96,21;3,52
20110601_Rht3_B2_R2_img.tif;01/06/2011;Rht3;94,84;3,19
20110601_Rht3_B3_R1_img.tif;01/06/2011;Rht3;96,76;3,69
