operateur	MethodeAnalyse	Date_analyse	fichier	Variete	prelev	prelevement	rep	plant	id_Axe	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:04	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	MB	9	13	20.7	0.8	11.2	9.5	2	0	0.11839	0.27224	0.19643	0.24754	0.52183	0.59463	0.53845	0.51514	0.53747	0.56621	0.59433	0.61173	0.64355	0.70133	0.74885	0.74795	0.75092	0.73496	0.67577	0.25731
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	MB	10	13	20.5	1.2	16.3	15.6	2	0	0.1426	0.186	0.39613	0.51857	0.57866	0.61347	0.69306	0.70241	0.8068	0.8862	0.97581	1.0409	1.1521	1.2221	1.2192	1.1177	0.98731	0.88624	0.80071	0.75526
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	MB	11	13	23.9	1.6	19.3	18	1	0	2.0747	0.1802	0.37057	0.54188	0.71825	0.78459	0.92537	1.0589	1.1683	1.2034	1.2174	1.2331	1.2844	1.2629	1.2483	1.1297	0.98146	0.91063	0.85868	0.90073
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	MB	12	13	17.4	1.6	19	19	1	0	0.075653	0.31062	0.47519	0.56923	0.83541	1.0545	1.2296	1.2463	1.201	1.2388	1.3429	1.3653	1.5201	1.5534	1.5102	1.3556	1.3114	1.2412	1.1365	0.88578
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	MB	13	13	12	1.4	10.8	10.8	1	0	0.010846	0.083814	0.23326	0.3533	0.44787	0.55755	0.67112	0.78771	0.91342	1.0268	1.0244	1.0298	1.0752	1.1592	1.24	1.3453	1.4588	1.4141	1.1123	0.79571
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	Talle	NA	NA	14.8	0.6	5.8	2	2	0	0.09847	0.2329	0.27559	0.27382	0.30106	0.30191	0.34157	0.42825	0.50767	0.57937	0.50144	0.38375	0.55733	0.5066	0.52516	0.53155	0.47294	0.40395	0.25177	0.18198
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	Talle	NA	NA	20.4	1.4	20.9	19.9	2	0	0.15464	0.33712	0.49108	0.59641	0.67572	0.80348	0.99545	1.2037	1.2653	1.3202	1.3544	1.3724	1.3526	1.352	1.3179	1.2779	1.2328	1.1472	1.1293	0.778
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	Talle	NA	NA	22.3	1.1	17.7	15.2	2	0	0.16373	0.33252	0.46064	0.49797	0.55433	0.7246	0.88679	0.9851	1.0982	1.0426	1.0126	1.0065	1.0251	0.99427	0.9083	0.93855	1.0026	0.92707	0.83306	0.5046
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	Talle	NA	NA	21	1.5	23.8	23	2	0	0.21209	0.47512	0.6019	0.65254	0.73134	1.0132	1.1905	1.3315	1.3778	1.4358	1.4931	1.5437	1.5179	1.4039	1.3058	1.3172	1.4312	1.3636	1.1664	0.91163
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	Talle	NA	NA	17.7	0.8	10	7.1	2	0	0.15432	0.24065	0.27907	0.40427	0.33133	0.42824	0.61411	0.66833	0.67359	0.66586	0.7832	0.81215	0.72737	0.69097	0.70132	0.56001	0.67059	0.68303	0.63098	0.47217
