dose;an;variete;feuille;stade;colorant;application
40;2011;mercia;1;2N;6.024702787;6
80;2011;mercia;1;2N;5.292820695;12
150;2011;mercia;1;2N;5.880337325;22.5
200;2011;mercia;1;2N;3.687216083;
40;2011;mercia;1;DFE;2.672409844;6
80;2011;mercia;1;DFE;3.447337651;12
150;2011;mercia;1;DFE;3.190246343;22.5
200;2011;mercia;1;DFE;3.608413019;
40;2011;rht3;1;2N;11.79116965;6
80;2011;rht3;1;2N;9.331612539;12
150;2011;rht3;1;2N;10.82986307;22.5
200;2011;rht3;1;2N;11.04192951;
40;2011;rht3;1;DFE;3.532494371;6
80;2011;rht3;1;DFE;3.309003226;12
150;2011;rht3;1;DFE;3.160750393;22.5
200;2011;rht3;1;DFE;3.265639273;
40;2011;mercia;2;2N;6.61470728;6
80;2011;mercia;2;2N;6.687201974;12
150;2011;mercia;2;2N;6.365966845;22.5
200;2011;mercia;2;2N;6.002375699;
40;2011;mercia;2;DFE;2.98805828;6
80;2011;mercia;2;DFE;3.886480212;12
150;2011;mercia;2;DFE;4.043256628;22.5
200;2011;mercia;2;DFE;2.994644322;
40;2011;rht3;2;2N;15.02314918;6
80;2011;rht3;2;2N;15.33817866;12
150;2011;rht3;2;2N;21.00543384;22.5
200;2011;rht3;2;2N;19.85899627;
40;2011;rht3;2;DFE;7.654400552;6
80;2011;rht3;2;DFE;6.991468109;12
150;2011;rht3;2;DFE;7.979354394;22.5
200;2011;rht3;2;DFE;9.283215753;
40;2011;mercia;3;2N;11.66194879;6
80;2011;mercia;3;2N;7.147921784;12
150;2011;mercia;3;2N;6.663281121;22.5
200;2011;mercia;3;2N;7.40909875;
40;2011;mercia;3;DFE;2.594057539;6
80;2011;mercia;3;DFE;2.81818795;12
150;2011;mercia;3;DFE;3.225814136;22.5
200;2011;mercia;3;DFE;2.506709071;
40;2011;rht3;3;2N;19.32618642;6
80;2011;rht3;3;2N;15.25424317;12
150;2011;rht3;3;2N;20.57455592;22.5
200;2011;rht3;3;2N;18.90010466;
40;2011;rht3;3;DFE;6.900463649;6
80;2011;rht3;3;DFE;6.174495138;12
150;2011;rht3;3;DFE;5.898724101;22.5
200;2011;rht3;3;DFE;5.840258634;
40;2011;mercia;4;2N;0;6
80;2011;mercia;4;2N;0;12
150;2011;mercia;4;2N;0;22.5
200;2011;mercia;4;2N;0;
40;2011;mercia;4;DFE;6.007921704;6
80;2011;mercia;4;DFE;4.205545193;12
150;2011;mercia;4;DFE;3.198815592;22.5
200;2011;mercia;4;DFE;3.240340055;
40;2011;rht3;4;2N;0;6
80;2011;rht3;4;2N;0;12
150;2011;rht3;4;2N;0;22.5
200;2011;rht3;4;2N;0;
40;2011;rht3;4;DFE;13.29536615;6
80;2011;rht3;4;DFE;6.130649596;12
150;2011;rht3;4;DFE;9.027676027;22.5
200;2011;rht3;4;DFE;8.659120016;
40;2011;mercia;5;2N;6.075339713;6
80;2011;mercia;5;2N;4.781986113;12
150;2011;mercia;5;2N;4.727396323;22.5
200;2011;mercia;5;2N;4.274672633;
40;2011;mercia;5;DFE;3.565611842;6
80;2011;mercia;5;DFE;3.589387751;12
150;2011;mercia;5;DFE;3.414533175;22.5
200;2011;mercia;5;DFE;3.087526617;
40;2011;rht3;5;2N;11.53512631;6
80;2011;rht3;5;2N;9.981008593;12
150;2011;rht3;5;2N;13.10246321;22.5
200;2011;rht3;5;2N;12.45025761;
40;2011;rht3;5;DFE;7.845681182;6
80;2011;rht3;5;DFE;5.651404017;12
150;2011;rht3;5;DFE;6.516626229;22.5
200;2011;rht3;5;DFE;6.762058419;
