	area	axe	date	green_area	id	length	metamer	ntop	organ	penetrated_doses_Epoxiconazole	plant	senesced_area	surfacic_doses_Epoxiconazole	n_max	ntop_cur
36	5.00266541591	T1	2011-04-19 10:00:00	5.00266541591	223	7.75306224456	7	6.0	blade	0.0	plant1	0.0	1.77912924819e-05	8	2
37	5.38388303057	T1	2011-04-19 10:00:00	5.38388303057	232	3.69429532508	8	5.0	blade	0.0	plant1	0.0	9.11437296465e-06	8	1
38	6.18347574234	T1	2011-04-19 10:00:00	6.18347574234	233	7.86119526407	8	5.0	blade	0.0	plant1	0.0	1.458332104e-07	8	1
39	1.38214092564	T2	2011-04-19 10:00:00	0.0	292	2.58729591603	2	11.0	blade	0.0	plant1	1.38214092564	0.0	8	7
40	1.3663091923	T2	2011-04-19 10:00:00	0.0	293	2.58729591603	2	11.0	blade	0.0	plant1	1.3663091923	0.0	8	7
41	0.724588761149	T2	2011-04-19 10:00:00	0.0	294	2.58729591603	2	11.0	blade	0.0	plant1	0.724588761149	0.0	8	7
42	2.24649374705	T2	2011-04-19 10:00:00	0.0	302	3.19097127398	3	10.0	blade	0.0	plant1	2.24649374705	1.55308576308e-05	8	6
43	2.22363333767	T2	2011-04-19 10:00:00	0.0	303	3.19097127398	3	10.0	blade	0.0	plant1	2.22363333767	3.57284221205e-06	8	6
44	1.11127588833	T2	2011-04-19 10:00:00	0.0	304	3.19097127398	3	10.0	blade	0.0	plant1	1.11127588833	2.77077157185e-06	8	6
45	3.75899052488	T2	2011-04-19 10:00:00	3.75899052488	312	4.31446402164	4	9.0	blade	0.0	plant1	0.0	0.0001087890804	8	5
46	3.73259431311	T2	2011-04-19 10:00:00	2.05709774987	313	4.31446402164	4	9.0	blade	0.0	plant1	1.67549656323	3.53637243129e-05	8	5
47	1.82322840394	T2	2011-04-19 10:00:00	0.0	314	4.31446402164	4	9.0	blade	0.0	plant1	1.82322840394	7.62690177828e-05	8	5
48	5.91533109269	T2	2011-04-19 10:00:00	5.91533109269	322	5.74508391269	5	8.0	blade	0.0	plant1	0.0	1.53116916275e-06	8	4
49	5.81282382917	T2	2011-04-19 10:00:00	5.81282382917	323	5.74508391269	5	8.0	blade	0.0	plant1	0.0	3.71865632315e-05	8	4
50	2.75280799516	T2	2011-04-19 10:00:00	2.75280799516	324	5.74508391269	5	8.0	blade	0.0	plant1	0.0	9.7706221906e-06	8	4
51	1.16486327434	T2	2011-04-19 10:00:00	1.16486327434	331	0.91814967207	6	7.0	blade		plant1	0.0		8	3
52	7.61005634266	T2	2011-04-19 10:00:00	7.61005634266	332	6.21025679133	6	7.0	blade	0.0	plant1	0.0	4.25822908612e-05	8	3
53	8.3340866358	T2	2011-04-19 10:00:00	8.3340866358	333	7.1284064634	6	7.0	blade	0.0	plant1	0.0	1.90307820798e-05	8	3
54	3.93559012691	T2	2011-04-19 10:00:00	3.93559012691	334	7.1284064634	6	7.0	blade	0.0	plant1	0.0	2.37702355473e-05	8	3
55	10.8647894423	T2	2011-04-19 10:00:00	10.8647894423	342	7.95324916852	7	6.0	blade	0.0	plant1	0.0	3.09887304059e-05	8	2
56	10.6407675588	T2	2011-04-19 10:00:00	10.6407675588	343	7.9667353261	7	6.0	blade	0.0	plant1	0.0	9.6976704586e-06	8	2
57	5.14053802696	T2	2011-04-19 10:00:00	5.14053802696	344	7.9667353261	7	6.0	blade	0.0	plant1	0.0	1.91037068082e-05	8	2
58	2.76768912598	T2	2011-04-19 10:00:00	2.76768912598	354	4.71118168322	8	5.0	blade	0.0	plant1	0.0	3.20824559635e-06	8	1
59	1.43051839503	T3	2011-04-19 10:00:00	0.0	403	3.06875732997	1	11.0	blade	0.0	plant1	1.43051839503	0.0	7	7
60	1.41413252197	T3	2011-04-19 10:00:00	0.0	404	3.06875732997	1	11.0	blade	0.0	plant1	1.41413252197	3.4269991908e-06	7	7
61	0.74995069781	T3	2011-04-19 10:00:00	0.0	405	3.06875732997	1	11.0	blade	0.0	plant1	0.74995069781	1.4582706495e-07	7	7
62	1.86205130524	T3	2011-04-19 10:00:00	0.0	413	3.42180437437	2	10.0	blade	0.0	plant1	1.86205130524	0.0	7	6
63	1.8392673924	T3	2011-04-19 10:00:00	0.0	414	3.42180437437	2	10.0	blade	0.0	plant1	1.8392673924	5.03112952805e-06	7	6
64	0.981722344492	T3	2011-04-19 10:00:00	0.0	415	3.42180437437	2	10.0	blade	0.0	plant1	0.981722344492	3.4999082346e-06	7	6
65	3.39701729637	T3	2011-04-19 10:00:00	3.39701729637	423	4.6006655466	3	9.0	blade	0.0	plant1	0.0	0.000111778657103	7	5
66	2.52930599271	T3	2011-04-19 10:00:00	2.52930599271	424	4.6006655466	3	9.0	blade	0.0	plant1	0.0	0.000161725256269	7	5
67	1.80590795153	T3	2011-04-19 10:00:00	0.0	425	4.6006655466	3	9.0	blade	0.0	plant1	1.80590795153	7.90398147084e-05	7	5
68	5.57032030873	T3	2011-04-19 10:00:00	5.57032030873	433	6.00868481823	4	8.0	blade	0.0	plant1	0.0	0.0	7	4
69	5.42266175168	T3	2011-04-19 10:00:00	5.42266175168	434	6.00868481823	4	8.0	blade	0.0	plant1	0.0	0.000121549168143	7	4
70	2.55368358369	T3	2011-04-19 10:00:00	2.55368358369	435	6.00868481823	4	8.0	blade	0.0	plant1	0.0	2.09995291439e-05	7	4
71	0.565624543998	T3	2011-04-19 10:00:00	0.565624543998	442	0.445827421147	5	7.0	blade		plant1	0.0		7	3
72	7.76436613471	T3	2011-04-19 10:00:00	7.76436613471	443	6.85400378292	5	7.0	blade	0.0	plant1	0.0	3.11347259215e-05	7	3
73	7.97421927392	T3	2011-04-19 10:00:00	7.97421927392	444	7.29983120407	5	7.0	blade	0.0	plant1	0.0	1.59683640779e-05	7	3
74	3.76565063644	T3	2011-04-19 10:00:00	3.76565063644	445	7.29983120407	5	7.0	blade	0.0	plant1	0.0	2.31869978903e-05	7	3
75	9.39451301948	T3	2011-04-19 10:00:00	9.39451301948	453	6.99507539877	6	6.0	blade	0.0	plant1	0.0	9.18734731695e-06	7	2
76	10.2883531467	T3	2011-04-19 10:00:00	10.2883531467	454	8.00006447343	6	6.0	blade	0.0	plant1	0.0	0.000139340502813	7	2
77	4.92601199785	T3	2011-04-19 10:00:00	4.92601199785	455	8.00006447343	6	6.0	blade	0.0	plant1	0.0	6.42380659484e-05	7	2
78	1.7586702062	T3	2011-04-19 10:00:00	1.7586702062	465	3.62762226863	7	5.0	blade	0.0	plant1	0.0	0.0	7	1
79	1.29107489722	MS	2011-04-19 10:00:00	0.0	545	2.44666666667	4	12.0	blade	0.0	plant2	1.29107489722	0.0	11	8
80	1.2826766276	MS	2011-04-19 10:00:00	0.0	546	2.44666666667	4	12.0	blade	0.0	plant2	1.2826766276	0.0	11	8
81	0.681389147438	MS	2011-04-19 10:00:00	0.0	547	2.44666666667	4	12.0	blade	0.0	plant2	0.681389147438	0.0	11	8
82	1.5063276955	MS	2011-04-19 10:00:00	0.0	555	2.7	5	11.0	blade	0.0	plant2	1.5063276955	0.0	11	7
83	1.4890734648	MS	2011-04-19 10:00:00	0.0	556	2.7	5	11.0	blade	0.0	plant2	1.4890734648	0.0	11	7
84	0.789693799323	MS	2011-04-19 10:00:00	0.0	557	2.7	5	11.0	blade	0.0	plant2	0.789693799323	0.0	11	7
85	2.14435189681	MS	2011-04-19 10:00:00	0.0	565	3.08958333333	6	10.0	blade	0.0	plant2	2.14435189681	0.0	11	6
86	2.11811377621	MS	2011-04-19 10:00:00	0.0	566	3.08958333333	6	10.0	blade	0.0	plant2	2.11811377621	0.0	11	6
87	1.13055862942	MS	2011-04-19 10:00:00	0.0	567	3.08958333333	6	10.0	blade	0.0	plant2	1.13055862942	0.0	11	6
88	2.71480713188	MS	2011-04-19 10:00:00	2.71480713188	575	3.79298245667	7	9.0	blade	0.0	plant2	0.0	1.6041310305e-06	11	5
89	2.70692829486	MS	2011-04-19 10:00:00	2.70692829486	576	3.79298245667	7	9.0	blade	0.0	plant2	0.0	3.5728261556e-06	11	5
90	1.44241181135	MS	2011-04-19 10:00:00	1.0609777728	577	3.79298245667	7	9.0	blade	0.0	plant2	0.381434038549	2.1364111574e-05	11	5
91	5.04067770026	MS	2011-04-19 10:00:00	5.04067770026	585	5.15263157999	8	8.0	blade	0.0	plant2	0.0	1.458187238e-07	11	4
92	4.92736099991	MS	2011-04-19 10:00:00	4.92736099991	586	5.15263157999	8	8.0	blade	0.0	plant2	0.0	7.36444406795e-06	11	4
93	2.28699019715	MS	2011-04-19 10:00:00	2.28699019715	587	5.15263157999	8	8.0	blade	0.0	plant2	0.0	3.02597114723e-05	11	4
94	8.60338492429	MS	2011-04-19 10:00:00	8.60338492429	595	6.99298245667	9	7.0	blade	0.0	plant2	0.0	9.40601932835e-05	11	3
95	8.40863811673	MS	2011-04-19 10:00:00	8.40863811673	596	6.99298245667	9	7.0	blade	0.0	plant2	0.0	0.000160777470954	11	3
96	4.0834365844	MS	2011-04-19 10:00:00	4.0834365844	597	6.99298245667	9	7.0	blade	0.0	plant2	0.0	0.000129642749649	11	3
97	11.6761889166	MS	2011-04-19 10:00:00	11.6761889166	605	8.02982456	10	6.0	blade	0.0	plant2	0.0	5.03841697389e-05	11	2
98	11.4410606587	MS	2011-04-19 10:00:00	11.4410606587	606	8.02982456	10	6.0	blade	0.0	plant2	0.0	0.000140944561153	11	2
99	5.38889434936	MS	2011-04-19 10:00:00	5.38889434936	607	8.02982456	10	6.0	blade	0.0	plant2	0.0	3.65304346504e-05	11	2
100	6.28784931711	MS	2011-04-19 10:00:00	6.28784931711	617	7.58245614	11	5.0	blade	0.0	plant2	0.0	5.3227660136e-06	11	1
101	1.35312683425	T1	2011-04-19 10:00:00	0.0	676	2.53298304621	2	11.0	blade	0.0	plant2	1.35312683425	5.031115442e-06	8	7
102	1.33762744282	T1	2011-04-19 10:00:00	0.0	677	2.53298304621	2	11.0	blade	0.0	plant2	1.33762744282	8.6039701893e-06	8	7
103	0.709378094748	T1	2011-04-19 10:00:00	0.0	678	2.53298304621	2	11.0	blade	0.0	plant2	0.709378094748	1.09372329815e-06	8	7
104	1.86998937136	T1	2011-04-19 10:00:00	0.0	686	2.66344403426	3	10.0	blade	0.0	plant2	1.86998937136	0.0	8	6
105	1.85639169648	T1	2011-04-19 10:00:00	0.0	687	2.66344403426	3	10.0	blade	0.0	plant2	1.85639169648	0.0	8	6
106	0.921737065016	T1	2011-04-19 10:00:00	0.0	688	2.66344403426	3	10.0	blade	0.0	plant2	0.921737065016	0.0	8	6
107	3.02872031631	T1	2011-04-19 10:00:00	3.02872031631	696	3.48993039047	4	9.0	blade	0.0	plant2	0.0	3.64571487e-07	8	5
108	2.9815769525	T1	2011-04-19 10:00:00	0.0	697	3.48993039047	4	9.0	blade	0.0	plant2	2.9815769525	4.01031794735e-06	8	5
109	1.60701257975	T1	2011-04-19 10:00:00	0.0	698	3.48993039047	4	9.0	blade	0.0	plant2	1.60701257975	1.29788308549e-05	8	5
110	5.02196323339	T1	2011-04-19 10:00:00	5.02196323339	706	4.88656363643	5	8.0	blade	0.0	plant2	0.0	0.0	8	4
111	4.92814307254	T1	2011-04-19 10:00:00	4.92814307254	707	4.88656363643	5	8.0	blade	0.0	plant2	0.0	1.57496634204e-05	8	4
112	2.31935782233	T1	2011-04-19 10:00:00	2.31935782233	708	4.88656363643	5	8.0	blade	0.0	plant2	0.0	1.72808483299e-05	8	4
113	7.79559648149	T1	2011-04-19 10:00:00	7.79559648149	716	6.49630037646	6	7.0	blade	0.0	plant2	0.0	2.69055991325e-05	8	3
114	7.63500413093	T1	2011-04-19 10:00:00	7.63500413093	717	6.49630037646	6	7.0	blade	0.0	plant2	0.0	0.000151006840973	8	3
115	3.54882287789	T1	2011-04-19 10:00:00	3.54882287789	718	6.49630037646	6	7.0	blade	0.0	plant2	0.0	0.000104268342996	8	3
116	10.5804599122	T1	2011-04-19 10:00:00	10.5804599122	726	7.75306224456	7	6.0	blade	0.0	plant2	0.0	4.19260889865e-05	8	2
117	10.368754178	T1	2011-04-19 10:00:00	10.368754178	727	7.75306224456	7	6.0	blade	0.0	plant2	0.0	5.59987010438e-05	8	2
118	4.96450760925	T1	2011-04-19 10:00:00	4.96450760925	728	7.75306224456	7	6.0	blade	0.0	plant2	0.0	5.08946016461e-05	8	2
