"Date","label","Rep","N","Axis","nff","HS","SSI","GL","SSIap","GLap"
"31/05/2012","Tremie12",1,6,"MS",13,13,10.67,2.33,NA,NA
"03/04/2012","Tremie12",1,7,"MS",13,NA,6.7,NA,6.7,NA
"03/05/2012","Tremie12",1,7,"MS",13,NA,8.1,NA,NA,NA
"09/05/2012","Tremie12",1,7,"MS",13,13,8.15,4.85,NA,NA
"11/04/2012","Tremie12",1,7,"MS",13,NA,NA,NA,NA,NA
"12/06/2012","Tremie12",1,7,"MS",13,13,11.52,1.48,NA,NA
"16/05/2012","Tremie12",1,7,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",1,7,"MS",13,13,9.15,3.85,NA,NA
"26/04/2012","Tremie12",1,7,"MS",13,NA,7.35,NA,NA,NA
"31/05/2012","Tremie12",1,7,"MS",13,13,10.24,2.76,NA,NA
"03/04/2012","Tremie12",1,8,"MS",13,NA,NA,NA,NA,NA
"03/05/2012","Tremie12",1,8,"MS",13,NA,NA,NA,NA,NA
"09/05/2012","Tremie12",1,8,"MS",13,13,NA,NA,NA,NA
"11/04/2012","Tremie12",1,8,"MS",13,NA,NA,NA,NA,NA
"12/06/2012","Tremie12",1,8,"MS",13,13,11.95,1.05,NA,NA
"16/05/2012","Tremie12",1,8,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",1,8,"MS",13,13,10.14,2.86,NA,NA
"26/04/2012","Tremie12",1,8,"MS",13,NA,NA,NA,NA,NA
"31/05/2012","Tremie12",1,8,"MS",13,13,11.22,1.78,NA,NA
"03/04/2012","Tremie12",1,9,"MS",13,NA,7,NA,7.4,NA
"03/05/2012","Tremie12",1,9,"MS",13,13,8.25,4.75,NA,NA
"09/05/2012","Tremie12",1,9,"MS",13,13,8.32,4.68,NA,NA
"11/04/2012","Tremie12",1,9,"MS",13,NA,NA,NA,NA,NA
"12/06/2012","Tremie12",1,9,"MS",13,13,11.07,1.93,NA,NA
"16/05/2012","Tremie12",1,9,"MS",13,13,8.93,4.07,NA,NA
"25/05/2012","Tremie12",1,9,"MS",13,13,9.33,3.67,NA,NA
"26/04/2012","Tremie12",1,9,"MS",13,NA,7.62,NA,NA,NA
"31/05/2012","Tremie12",1,9,"MS",13,13,10.35,2.65,NA,NA
"03/04/2012","Tremie12",1,10,"MS",13,NA,7,NA,7,NA
"03/05/2012","Tremie12",1,10,"MS",13,13,8.16,4.84,NA,NA
"09/05/2012","Tremie12",1,10,"MS",13,13,8.25,4.75,NA,NA
"11/04/2012","Tremie12",1,10,"MS",13,NA,7.11,NA,NA,NA
"12/06/2012","Tremie12",1,10,"MS",13,13,11.87,1.13,NA,NA
"16/05/2012","Tremie12",1,10,"MS",13,13,8.38,4.62,NA,NA
"25/05/2012","Tremie12",1,10,"MS",13,13,9.52,3.48,NA,NA
"26/04/2012","Tremie12",1,10,"MS",13,NA,7.72,NA,NA,NA
"31/05/2012","Tremie12",1,10,"MS",13,13,10.53,2.47,NA,NA
"03/04/2012","Tremie12",2,11,"MS",13,NA,6.8,NA,6.9,NA
"03/05/2012","Tremie12",2,11,"MS",13,13,7.5,5.5,NA,NA
