"inerv","label","Source","plant","rank","ranktop","relative_ranktop","Nflig","HS","age","lmax","wmax","A","Agr","mass","stat","phiP"
1,"Soissons","field_040210",1,1,12,5,3,3.81284280899208,3.81284280899208,6.4869,0.3265,1.74,1.0989,0.00613,2,1.63703819809475
2,"Soissons","field_040210",1,3,10,3,3,3.81284280899208,1.81284280899208,11.4576,0.4023,3.1214,2.9315,0.01437,2,1.63703819809475
3,"Soissons","field_040210",1,2,11,4,3,3.81284280899208,2.81284280899208,9.2219,0.33976,2.0809,1.7015,NA,2,1.63703819809475
4,"Soissons","field_040210",1,4,9,2,3,3.81284280899208,0.812842808992076,7.2778,0.38285,1.9629,1.8457,NA,3,1.63703819809475
5,"Soissons","field_040210",10,2,11,4,4,4.38398212643554,3.38398212643554,9.9111,0.4244,3.5107,3.0966,NA,1,1.61218495213011
6,"Soissons","field_040210",10,1,12,5,4,4.38398212643554,4.38398212643554,7.0271,0.37565,1.5466,0.70817,0.00547,2,1.61218495213011
7,"Soissons","field_040210",10,4,9,2,4,4.38398212643554,1.38398212643554,11.1434,0.5199,4.2208,3.8287,NA,1,1.61218495213011
8,"Soissons","field_040210",10,3,10,3,4,4.38398212643554,2.38398212643554,13.9832,0.47934,4.9705,4.5951,0.0204,1,1.61218495213011
9,"Soissons","field_040210",10,5,8,1,4,4.38398212643554,0.383982126435543,3.8435,0.15309,0.45728,0.45419,NA,3,1.61218495213011
10,"Soissons","field_040210",11,2,11,4,4,4.54973458115203,3.54973458115203,7.1636,0.31306,1.7856,1.5607,NA,2,1.5684514013212
11,"Soissons","field_040210",11,4,9,2,4,4.54973458115203,1.54973458115203,8.1132,0.46335,2.9269,2.6998,NA,1,1.5684514013212
12,"Soissons","field_040210",11,5,8,1,4,4.54973458115203,0.549734581152034,3.92,0.26181,0.70423,0.6952,NA,3,1.5684514013212
13,"Soissons","field_040210",11,3,10,3,4,4.54973458115203,2.54973458115203,9.2112,0.38094,2.6145,2.5215,0.01075,1,1.5684514013212
14,"Soissons","field_040210",12,1,12,5,4,4.55753505798675,4.55753505798675,6.0434,0.37462,1.9814,1.4851,0.00795,3,1.47952304916129
15,"Soissons","field_040210",12,5,8,1,4,4.55753505798675,0.557535057986751,4.2869,0.3832,1.1452,1.1318,NA,3,1.47952304916129
16,"Soissons","field_040210",12,3,10,3,4,4.55753505798675,2.55753505798675,9.2615,0.51142,2.9874,2.2484,0.01278,2,1.47952304916129
17,"Soissons","field_040210",12,2,11,4,4,4.55753505798675,3.55753505798675,7.803,0.44058,2.492,1.4547,NA,2,1.47952304916129
18,"Soissons","field_040210",12,4,9,2,4,4.55753505798675,1.55753505798675,8.6744,0.54363,3.6528,3.3645,NA,1,1.47952304916129
19,"Soissons","field_040210",13,1,11,5,4,4.36850123428707,4.36850123428707,6.5863,0.36624,2.0871,1.4191,0.00764,2,1.48877270986004
20,"Soissons","field_040210",13,2,10,4,4,4.36850123428707,3.36850123428707,7.691,0.38,2.3953,1.9421,NA,2,1.48877270986004
21,"Soissons","field_040210",13,5,7,1,4,4.36850123428707,0.368501234287068,3.1846,0.28575,0.60968,0.60839,NA,3,1.48877270986004
22,"Soissons","field_040210",13,3,9,3,4,4.36850123428707,2.36850123428707,11.0344,0.45955,3.7015,3.4815,0.0169,1,1.48877270986004
23,"Soissons","field_040210",13,4,8,2,4,4.36850123428707,1.36850123428707,9.3912,0.52554,3.7157,3.4747,NA,1,1.48877270986004
24,"Soissons","field_040210",14,3,10,3,4,4.46763183944848,2.46763183944848,9.1502,0.45873,3.0452,2.812,0.0125,1,1.76054575610276
25,"Soissons","field_040210",14,5,8,1,4,4.46763183944848,0.467631839448479,3.126,0.33809,0.65355,0.65226,NA,3,1.76054575610276
26,"Soissons","field_040210",14,1,12,5,4,4.46763183944848,4.46763183944848,4.8261,0.35485,1.2598,0.61512,0.0051,3,1.76054575610276
27,"Soissons","field_040210",14,2,11,4,4,4.46763183944848,3.46763183944848,7.741,0.38316,2.2348,1.4409,NA,2,1.76054575610276
28,"Soissons","field_040210",14,4,9,2,4,4.46763183944848,1.46763183944848,6.3763,0.49221,2.5381,2.3279,NA,3,1.76054575610276
29,"Soissons","field_040210",15,2,11,4,3,4.29620866353497,3.29620866353497,10.5158,0.3906,2.9685,2.1617,NA,2,1.68099657387237
30,"Soissons","field_040210",15,1,12,5,3,4.29620866353497,4.29620866353497,5.2457,0.37495,1.3833,0.31254,0.00705,3,1.68099657387237
31,"Soissons","field_040210",15,4,9,2,3,4.29620866353497,1.29620866353497,8.9901,0.48147,3.3991,3.1924,NA,1,1.68099657387237
32,"Soissons","field_040210",15,5,8,1,3,4.29620866353497,0.296208663534971,2.6038,0.19579,0.34867,0.34824,NA,3,1.68099657387237
33,"Soissons","field_040210",15,3,10,3,3,4.29620866353497,2.29620866353497,12.3747,0.43456,4.0725,3.9156,0.01642,1,1.68099657387237
34,"Soissons","field_040210",16,3,10,2,3,3.68439213803453,1.68439213803453,12.042,0.42078,3.7141,3.5875,0.01476,1,1.2686119459078
