"inerv","label","Source","plant","rank","ranktop","age","lmax","wmax","A","Agr","mass","stat","phiP"
38,"Tremie12","sampled_plants_090512",3,10,4,4.75555576574321,22.9,1.1,17.5,15.7,NA,2,1.58743370052777
429,"Tremie12","sampled_plants_090512",22,10,4,5.34692451729029,21.4,1.2,19.1,17.1,NA,2,1.57850855823988
436,"Tremie12","sampled_plants_110412",22,10,3.63333333333333,1.44909419552814,26.4006,1.6843,29.6446,29.3184,NA,2,1.58066301809612
440,"Tremie12","sampled_plants_120612",22,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.58330369839487
447,"Tremie13","sampled_plants_290413",22,10,2.28888888888889,0.745514325392827,NA,NA,NA,NA,NA,NA,1.53365146673566
451,"Tremie12","sampled_plants_090512",23,10,4,4.39031950693201,20.7,1.3,20.9,20.4,NA,1,1.52548540571443
457,"Tremie12","sampled_plants_110412",23,10,3.63333333333333,2.42844646947558,23.2368,1.532,27.1607,26.5566,NA,1,1.29645011644965
461,"Tremie12","sampled_plants_120612",23,10,4,9.79762413867656,NA,NA,NA,NA,NA,NA,1.63555804787843
44,"Tremie12","sampled_plants_110412",3,10,3.63333333333333,1.92528962733626,22.4893,1.4679,24.9439,24.9352,NA,1,1.46898705022356
474,"Tremie12","sampled_plants_110412",24,10,3.63333333333333,1.65752058069987,26.2802,1.6141,32.4538,31.9568,NA,1,1.50343645207293
476,"Tremie12","sampled_plants_120612",24,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.58938514758344
483,"Tremie13","sampled_plants_290413",24,10,2.28888888888889,0.808044211586406,NA,NA,NA,NA,NA,NA,1.57670762158188
488,"Tremie12","sampled_plants_110412",25,10,3.63333333333333,3.39137969783748,18.4042,1.1906,18.0483,17.962,NA,1,1.58191054565715
491,"Tremie12","sampled_plants_120612",25,10,4,10.1976241386766,NA,NA,NA,NA,NA,NA,1.57744343353246
499,"Tremie13","sampled_plants_290413",25,10,2.28888888888889,0.675786331110727,NA,NA,NA,NA,NA,NA,1.5710439466256
504,"Tremie12","sampled_plants_110412",26,10,3.63333333333333,2.11507575278038,25.3063,1.5395,29.5962,29.0759,NA,1,1.52812422063863
49,"Tremie12","sampled_plants_120612",3,10,4,9.59762413867656,NA,NA,NA,NA,NA,NA,1.50325574089696
508,"Tremie12","sampled_plants_120612",26,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.58145677781687
515,"Tremie13","sampled_plants_290413",26,10,2.28888888888889,0.793293219305259,NA,NA,NA,NA,NA,NA,1.53448413730176
518,"Tremie12","sampled_plants_110412",27,10,3.63333333333333,1.51318301183354,20.5604,1.3191,19.8524,19.8423,NA,1,1.56970855127732
523,"Tremie12","sampled_plants_120612",27,10,4,10.0976241386766,NA,NA,NA,NA,NA,NA,1.61638788531614
534,"Tremie12","sampled_plants_110412",28,10,3.63333333333333,1.15594876926037,26.1718,1.6922,34.5078,34.4457,NA,2,1.53291888292655
537,"Tremie12","sampled_plants_120612",28,10,4,10.5976241386766,NA,NA,NA,NA,NA,NA,1.5707963267949
544,"Tremie13","sampled_plants_290413",28,10,2.28888888888889,0.761583224657869,NA,NA,NA,NA,NA,NA,1.55720025685548
547,"Tremie12","sampled_plants_110412",29,10,3.63333333333333,1.37930463384476,25.2249,1.6935,32.3475,32.2113,NA,2,1.52016199549913
551,"Tremie12","sampled_plants_120612",29,10,4,10.2976241386766,NA,NA,NA,NA,NA,NA,1.58222658260964
558,"Tremie13","sampled_plants_290413",29,10,2.28888888888889,0.81205932462975,NA,NA,NA,NA,NA,NA,1.53633427920166
561,"Tremie12","sampled_plants_110412",30,10,3.63333333333333,2.07279660354477,23.0384,1.4282,23.4967,23.464,NA,1,1.52436729431939
564,"Tremie12","sampled_plants_120612",30,10,4,10.3976241386766,NA,NA,NA,NA,NA,NA,1.54475761646207
571,"Tremie13","sampled_plants_290413",30,10,2.28888888888889,0.71389281671901,NA,NA,NA,NA,NA,NA,1.58239604653374
