Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
12/06/2012;Tremie;12.06.2012_p01;1;1;0;0;0;11,42;11,1;10,16;8,42;;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;0;0;1;0,62;17,2;41,83;64,37;;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;7;0;11,52;12,11;12,27;13,1;13,85;14,6;14,96;15,07;15,07;14,68;14,17;14,21;14,13;13,85;13,45;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;7;1;6;6;4,79;4,55;4,23;3,38;2,78;2,45;2,13;1,89;1,65;1,29;0,93;0,6;0,4;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;8;0;10,93;10,21;9,74;9,38;8,91;8,71;8,63;8,67;8,59;8,55;8,2;7,84;7,21;6,9;6,9;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;8;1;10,34;10,34;10,3;9,62;9,05;8,09;7,24;6,28;5,55;4,47;3,58;2,58;2,05;2,05;1,73;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;9;0;11,52;12,9;14,25;14,92;15,51;15,71;15,75;15,87;15,87;15,87;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;9;1;17,1;17,99;17,59;16,86;15,73;14,57;13,12;10,54;7,89;7,2;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;10;0;10,75;8,38;4,66;1,74;0;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;10;1;22,8;29,48;35,59;37,28;39,86;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;11;0;10,43;11,38;12,33;10,75;6,8;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;11;1;42,27;45,82;54,03;56,12;59,02;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;12;0;8,22;5,14;3,79;2,13;;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p01;1;1;2;12;1;63,52;70,28;73,18;77,2;;;;;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;0;0;0;5,03;5,35;6,15;5,83;5,67;5,83;6,31;6,62;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;0;0;1;0;30,86;33,91;37,61;48,21;64,93;67,34;70,55;;;;;;;;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;2;8;0;4,95;4,52;4;3,72;3,52;3,52;3,52;3,52;3,52;3,52;3,52;3,52;3,64;3,68;3,68;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;2;8;1;7,05;8,06;8,42;8,42;8,1;7,9;7,73;7,53;7,33;7,13;6,93;6,89;6,85;6,77;6,45;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;2;9;0;5,29;6,01;6,56;7,6;8,63;9,55;10,23;9,87;9,47;9,23;8,95;9,71;9,51;;;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;2;9;1;12,72;14,2;14,04;13,2;11,71;9,82;8,3;6,37;4,56;2,87;1,99;1,39;1,06;;;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;2;10;0;4,77;4,26;3,66;4,85;5,21;4,81;4,46;3,78;3,54;2,94;2,67;3,14;3,14;2,9;2,82;;;
12/06/2012;Tremie;12.06.2012_p02;2;1;2;10;1;16,01;19,63;24,29;24,57;22,96;21,68;21,4;20,87;20,35;19,87;19,23;18,66;18,34;18,34;18,46;;;
