Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;0;0;0;7,8;7,41;7,6;7,8;7,8;7,7;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;0;0;1;0,4;5,66;12,31;18,37;23,34;27,11;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;8;0;7,11;6,12;5,22;5,92;5,92;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;8;1;12,81;17,38;22,54;26,12;28,8;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;9;0;8,09;9,83;11,22;12,46;13,65;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;9;1;18,45;24,7;30,01;34,04;36,22;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;10;0;7,64;5,76;4,07;1,74;0;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;10;1;23,61;31,36;37,61;42,78;44,17;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;11;0;7,94;8,73;9,08;8,88;8,54;8,49;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;11;1;26,79;34,63;40,54;44,86;47,89;48,29;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;12;0;7,74;7,79;8,19;;;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;1;1;2;12;1;27,48;30,41;35,28;;;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;0;0;0;28,25;29,14;28,55;28,55;;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;0;0;1;0,5;3,48;15,89;25,72;;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;8;0;28,99;30,63;;;;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;8;1;10;14,67;;;;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;9;0;28,2;27,75;27,5;27,75;27,85;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;9;1;15,76;21,43;26,34;30,76;33,34;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;10;0;28,75;29,94;29,69;29,94;30,48;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;10;1;20,68;28,38;34,19;38,06;41,19;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;11;0;28,35;28,2;27,85;26,91;26,66;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;2;2;2;11;1;25,25;35,43;41,43;46,95;47,54;;;;;;;;;;;;;
11/04/2012;Tremie;Boigneville-11042012-P01-P02-P03;3;3;0;0;0;47,9;48,5;48,7;48,8;;;;;;;;;;;;;;
