Date	var	Rep	N	axe	Nflig	Nfvis	fertile	Daxe_mm	Hcol	sheath_length_F8	sheath_length_F9	sheath_length_F10	sheath_length_F11	sheath_length_F12	sheath_length_F13	internode_length_F1	internode_length_F2	internode_length_F3	internode_length_F4	internode_length_F5	internode_length_F6	internode_length_F7	internode_length_F8	internode_length_F9	internode_length_F10	internode_length_F11	internode_length_F12	internode_length_F13	lped	Wped_mm
12/07/2012	Tremie	1	1	MB	12	0	oui	5	62,5	10,2	12,5	13,5	14,2	16,5									2	3,8	7,2	14,4	18,5		27,2	3,06
12/07/2012	Tremie	1	1	Tx			oui	4,7	71,3							1,1	2	6,5	13,2	13,8	20								21,2	1,9
12/07/2012	Tremie	1	1	Tx			oui	4,7	70							2	5	11,4	15	19,2									24,5	2,5
12/07/2012	Tremie	1	1	Tx			oui	3,9	54,1							4,5	5,8	11,7	16,6										22	2,3
12/07/2012	Tremie	1	2	MB	12	0	oui	4,66	59,5	11	12,5	12	15	17									0	1	6,5	16,5	19		27,5	2,65
12/07/2012	Tremie	1	2	Tx			oui	4,44	56,2							2,3	7,5	12	17,3										29	2,44
12/07/2012	Tremie	1	2	T1-s			oui	2,04	50							2	5,5	11	18,7										25,5	1,8
12/07/2012	Tremie	1	2	Tx			oui	3,3	60,5							4,1	11,5	13,3	19										25	1,9
12/07/2012	Tremie	1	3	MB	12	0	oui	5,06	64,5	11,2	12,3	13	14,5	16,4									2,2	4,8	8,2	14,9	18,8		25	2,59
12/07/2012	Tremie	1	3	Tx			oui	4,15	70,3							2,5	7,4	13	14,4	19									24,3	2,3
12/07/2012	Tremie	1	3	Tx			oui	5,15	74							3,5	6,5	13,1	15,5	20,5									12,2	2,11
12/07/2012	Tremie	1	3	Tx			oui	3,9	60,5							3	9	14	19,8										13	1,7
12/07/2012	Tremie	1	4	MB	13	0	oui	5,3	79		13,3	12	13,4	14,2	15,5								1	4,1	8,2	13,5	16,7	20,7	23	1,7
12/07/2012	Tremie	1	4	Tx			oui	4,5	71,5							1	3,8	6,2	12	15	19,4								26,2	2,2
12/07/2012	Tremie	1	4	T-s			oui	4,8	64							2,5	4,5	8,7	16,1	17,2									25,5	2,6
12/07/2012	Tremie	1	4	T-s			oui	4,28	68							3	6	13,3	14	19									22,5	1,9
12/07/2012	Tremie	1	4	Tx			oui	4,44	67,5							2,2	9	77,8	14	18,6									24,2	1,9
12/07/2012	Tremie	1	4	T-s			oui	4,4	66,7							2,5	5,7	10,5	15,3	18,7									20	2,18
12/07/2012	Tremie	1	5	MB	13	0	oui	4,73	67,6	8,3	10,5	11,3	12,8	13,3	14								0	1,8	4,2	13	14,2	20	24	2,3
12/07/2012	Tremie	1	5	Tx			oui	2,9	58,6							5,5	10,3	13	19,2										23	1,7
12/07/2012	Tremie	1	5	Tx			oui																							
12/07/2012	Tremie	1	5	Tx			oui																							
12/07/2012	Tremie	1	5	Tx			oui																							
12/07/2012	Tremie	1	6	MB	13	0	oui	4,88	65,6		12	12	13,8	15,3	16,5								0	2	3,2	10,3	14,7	19	23	2,3
12/07/2012	Tremie	1	6	Tx			oui	1,8	51,4							0,6	2	10,5	11,8	16,6									19,5	1
12/07/2012	Tremie	1	6	Tx			oui	4,6	71							2,5	5,8	14,2	14,5	19,2									24	2,04
12/07/2012	Tremie	1	6	Tx			oui	4,78	64,5							1,5	3,2	10,7	14,5	18,3									25,5	2,63
12/07/2012	Tremie	1	6	Tx			oui	2,8	64,5							2	8,5	10,3	13	18,8									21	1,4
12/07/2012	Tremie	1	6	Tx			oui	2,7	58,5							0,6	2,1	10,5	12,7	19									23,3	1,8
12/07/2012	Tremie	1	6	Tx			oui	3,5	54,5							1,6	9	11,5	18,6										22,8	2,06
12/07/2012	Tremie	1	7	MB	13	0	oui	4,7	70		12,5	10,7	13,5	14	15,7									3,6	4,9	12,2	15,1	18,6	23	2,55
12/07/2012	Tremie	1	7	Tx			oui	3,3	59							2,5	11,8	13	17,3										28	2,07
12/07/2012	Tremie	1	7	Tx			oui	4,9	64,7							2	3,5	9,8	14	18,8									25,2	2,5
12/07/2012	Tremie	1	7	Tx			oui	4,95	73,2							3	6,6	11,7	15,4	20									24,5	2,7
12/07/2012	Tremie	1	7	Tx			oui	3,17	66,5							1,8	6,2	13,8	14,2	18,3									23	1,9
12/07/2012	Tremie	1	8	MB	12	0	oui	5,4	64	10,7	12,8	14,5	13,7	13,2									2	4,8	11	14,4	18,3		25,6	2,48
12/07/2012	Tremie	1	8	Tx			oui	4,02	62,7							4,6	13,4	13,8	17,8										23,6	2,14
12/07/2012	Tremie	1	9	MB	13	0	oui	3,98	72,7	8,5	9,8	11	11,2	11,6	12								0	3	9,5	13,2	15	19,7	22,2	2,15
12/07/2012	Tremie	1	10	MB	13	0	oui	4,5	75,5	9	12	12,3	12,1	12,5	13,1								1	3,3	8,8	13	15,5	20,8	23,6	2,3
12/07/2012	Tremie	1	10	Tx			oui	4,2	69,5							1,2	2,8	7	12,2	15	19,2								20,5	2,2
12/07/2012	Tremie	2	11	MB	13	0	oui	5,6	68	8,5	11,8	12,7	13,8	13,2	14,4								1,7	3,8	5	9,3	15	19,2	20	2,4
12/07/2012	Tremie	2	11	Tx			oui	4,9	61,7							2,2	4,7	9,3	12,4	18,8									24,3	2,6
12/07/2012	Tremie	2	11	Tx			oui	5,33	72,3							2,5	6,5	13	15,5	18,8									21,5	2,25
12/07/2012	Tremie	2	11	Tx			oui	5,62	66,3							1,5	4,7	11,8	15,2	18									22,5	2,45
