"inerv","phiS","s","x","y","xprot","yprot","xrot","yrot","xr","yr","hins","side"
1,0,0,-785,-2288,-24.3995581317201,2418.79591151527,-24.3995581317201,2418.79591151527,0,0,2440.63436465891,-1
1,0,44.6374973994077,-796.153929424253,-2331.22147651898,-28.3244801276043,2463.26051723047,-28.3244801276043,2463.26051723047,3.92492199588418,44.4646057152017,2440.63436465891,-1
1,0,89.2749947988153,-807.307858848507,-2374.44295303796,-32.2494021234885,2507.72512294567,-32.2494021234885,2507.72512294567,7.84984399176837,88.9292114304035,2440.63436465891,-1
1,0,133.912492198223,-808.029405457396,-2418.85318716157,-46.4045277548085,2549.82526478372,-46.4045277548085,2549.82526478372,22.0049696230883,131.02935326845,2440.63436465891,-1
1,0,178.549989597631,-806.885230306178,-2463.47601805905,-62.389217529887,2591.50254716725,-62.389217529887,2591.50254716725,37.9896593981669,172.706635651981,2440.63436465891,-1
1,0,223.187486997038,-806,-2508.10216821676,-78.1309462205577,2633.26945857356,-78.1309462205577,2633.26945857356,53.7313880888375,214.473547058291,2440.63436465891,-1
1,0,267.824984396446,-806,-2552.73966561617,-93.0420867791992,2675.34277626212,-93.0420867791992,2675.34277626212,68.642528647479,256.546864746852,2440.63436465891,-1
1,0,312.462481795854,-806.219771550918,-2597.37337497662,-107.744815065559,2717.48593812434,-107.744815065559,2717.48593812434,83.3452569338393,298.690026609075,2440.63436465891,-1
1,0,357.099979195261,-807.758081299094,-2641.98435767372,-121.197156117392,2760.04813607402,-121.197156117392,2760.04813607402,96.7975979856722,341.25222455875,2440.63436465891,-1
1,0,401.737476594669,-809.91623270122,-2686.55150521138,-134.050618903095,2802.77607484404,-134.050618903095,2802.77607484404,109.651060771374,383.980163328775,2440.63436465891,-1
1,0,446.374973994077,-814.671604730395,-2730.93497748369,-144.394700500918,2846.19849013822,-144.394700500918,2846.19849013822,119.995142369197,427.402578622949,2440.63436465891,-1
1,0,491.012471393484,-818,-2775.39467679995,-156.109250477806,2889.21607255753,-156.109250477806,2889.21607255753,131.709692346085,470.420161042262,2440.63436465891,-1
1,0,535.649968792892,-818,-2820.03217419936,-171.020391036447,2931.28939024609,-171.020391036447,2931.28939024609,146.620832904727,512.493478730823,2440.63436465891,-1
1,0,580.2874661923,-811.643547027409,-2863.83669864722,-191.644586837507,2970.45421380059,-191.644586837507,2970.45421380059,167.245028705786,551.658302285325,2440.63436465891,-1
1,0,624.924963591707,-800.142131133098,-2906.96700825088,-216.892974388073,3007.26487937701,-216.892974388073,3007.26487937701,192.493416256352,588.468967861739,2440.63436465891,-1
1,0,669.562460991115,-793.01066305158,-2950.77607591681,-238.249182585843,3046.17509163766,-238.249182585843,3046.17509163766,213.849624454123,627.379180122392,2440.63436465891,-1
1,0,714.199958390523,-790.611076795657,-2995.33353922606,-255.39533095431,3087.37139179776,-255.39533095431,3087.37139179776,230.99577282259,668.575480282492,2440.63436465891,-1
1,0,758.83745578993,-783.272717427349,-3039.36369543591,-277.020400219337,3126.42088031381,-277.020400219337,3126.42088031381,252.620842087617,707.62496879854,2440.63436465891,-1
1,0,803.474953189338,-777.232040625622,-3083.56357343097,-297.479027176415,3166.06383144048,-297.479027176415,3166.06383144048,273.079469044695,747.267919925215,2440.63436465891,-1
1,0,848.112450588746,-773,-3128,-316.311933167657,3206.53391701004,-316.311933167657,3206.53391701004,291.912375035937,787.738005494771,2440.63436465891,-1
2,0,0,-584,-1610,12.6324561984583,1712.59931713474,12.6324561984583,1712.59931713474,0,0,1728.06177089656,1
2,0,56.6072888533196,-610.184607554712,-1660.18716447986,20.5478965565786,1768.65046302187,20.5478965565786,1768.65046302187,7.91544035812034,56.0511458871289,1728.06177089656,1
2,0,113.214577706639,-642.654747638458,-1706.18569716615,35.7870110318467,1822.85327103363,35.7870110318467,1822.85327103363,23.1545548333885,110.253953898883,1728.06177089656,1
2,0,169.821866559959,-672.935712796567,-1753.19999620944,48.6233902890858,1877.28220206303,48.6233902890858,1877.28220206303,35.9909340906276,164.682884928284,1728.06177089656,1
2,0,226.429155413279,-693.634302262217,-1805.88731484928,50.5327786142027,1933.85727950484,50.5327786142027,1933.85727950484,37.9003224157444,221.257962370097,1728.06177089656,1
2,0,283.036444266598,-722.400586970003,-1854.41423335401,61.43619750827,1989.20595981317,61.43619750827,1989.20595981317,48.8037413098117,276.60664267843,1728.06177089656,1
2,0,339.643733119918,-755.642042225126,-1900.04671358347,77.5245990199406,2043.32140064267,77.5245990199406,2043.32140064267,64.8921428214823,330.722083507923,1728.06177089656,1
2,0,396.251021973237,-793.510322020761,-1942.12258002307,99.162124952711,2095.6301247987,99.162124952711,2095.6301247987,86.5296687542527,383.030807663955,1728.06177089656,1
2,0,452.858310826557,-830.590017828616,-1984.89370485419,119.824115903021,2148.33074235193,119.824115903021,2148.33074235193,107.191659704563,435.731425217181,1728.06177089656,1
2,0,509.465599679877,-873.048185843799,-2020.33358130666,148.004616278252,2195.91792836638,148.004616278252,2195.91792836638,135.372160079793,483.318611231632,1728.06177089656,1
2,0,566.072888533196,-927.005932783522,-2033,194.631573444327,2225.88129738188,194.631573444327,2225.88129738188,181.999117245869,513.281980247134,1728.06177089656,1
2,0,622.680177386516,-960.121995412275,-2000.9470145278,236.552588382291,2206.7319896063,236.552588382291,2206.7319896063,223.920132183833,494.132672471557,1728.06177089656,1
