Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer_top;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
29/04/2013;Tremie;P1040964;4;1;0;0;0;6,08;5,75;5,75;5,86;5,97;5,97;6,19;6,4;6,51;6,51;6,51;6,4;6,51;6,51;6,51;6,29;;
29/04/2013;Tremie;P1040964;4;1;0;0;1;0,44;1,21;2,2;3,85;6,05;7,91;10,44;12,31;14,18;16,49;18,68;20,44;21,98;23,3;24,62;26,6;;
29/04/2013;Tremie;P1040964;4;1;2;1;0;6,4;6,29;5,86;5,64;5,32;4,99;4,67;4,67;4,45;4,56;;;;;;;;
29/04/2013;Tremie;P1040964;4;1;2;1;1;26,71;29,13;31,1;32,53;34,07;35,5;36,38;37,26;37,81;38,8;;;;;;;;
29/04/2013;Tremie;P1040964;4;1;2;2;0;6,4;6,4;6,73;6,73;6,95;6,84;6,95;7,05;7,27;7,27;7,27;7,05;6,73;6,51;6,19;5,86;;
29/04/2013;Tremie;P1040964;4;1;2;2;1;25,94;28,14;30,34;31,76;32,97;34,07;35,28;36,82;38,36;39,79;41,11;42,98;44,07;45,72;47,15;49,02;;
29/04/2013;Tremie;P1040964;4;1;2;3;0;6,51;6,08;5,43;4,56;3,8;3,47;3,15;2,93;2,71;2,17;1,84;1,41;;;;;;
29/04/2013;Tremie;P1040964;4;1;2;3;1;21,21;23,3;25,61;27,59;30,01;31,43;32,97;34,18;35,83;37,7;39,35;40,45;;;;;;
29/04/2013;Tremie;P1040964;4;1;2;4;0;6,51;6,95;7,6;8,25;9,12;10,09;10,74;11,5;11,94;12,37;12,81;;;;;;;
29/04/2013;Tremie;P1040964;4;1;2;4;1;13,41;14,84;15,94;17,37;18,25;20,11;21,32;22,53;23,41;23,96;23,96;;;;;;;
29/04/2013;Tremie;P1040964;4;1;2;5;0;5,97;5,32;4,67;4,02;3,15;2,71;2,17;1,63;0,98;0,54;0,22;0;0,22;0;0;;;
29/04/2013;Tremie;P1040964;4;1;2;5;1;7,47;8,35;8,79;9,01;9,34;9,23;8,68;8,46;7,25;6,26;5,28;4,4;3,96;3,08;2,53;;;
29/04/2013;Tremie;P1040964;4;1;2;6;0;5,75;6,19;6,62;6,84;7,38;8,46;9,33;9,55;;;;;;;;;;
29/04/2013;Tremie;P1040964;4;1;2;6;1;4,07;4,73;4,62;4,62;4,29;4,29;4,84;5,06;;;;;;;;;;
29/04/2013;Tremie;P1040964;5;2;0;0;0;30,17;30,17;30,5;30,39;30,28;30,28;30,28;30,17;29,95;29,84;30,06;29,84;29,84;29,84;29,84;29,84;29,74;
29/04/2013;Tremie;P1040964;5;2;0;0;1;0,66;2,2;3,74;5,28;6,7;8,13;10,33;12,31;13,85;15,61;17,15;18,57;20,66;21,98;24,4;25,61;27,37;
29/04/2013;Tremie;P1040964;5;2;2;1;0;29,84;29,84;29,84;29,84;29,84;29,95;30,06;30,06;30,17;30,17;;;;;;;;
29/04/2013;Tremie;P1040964;5;2;2;1;1;26,27;27,37;28,14;29,02;30,12;31,1;32,42;32,97;33,85;34,73;;;;;;;;
29/04/2013;Tremie;P1040964;5;2;2;2;0;29,95;29,74;29,52;29,52;29,3;29,3;29,41;29,41;29,63;29,74;29,74;30,06;29,95;30,06;30,06;;;
29/04/2013;Tremie;P1040964;5;2;2;2;1;25,72;27,37;30,01;32,31;34,51;36,6;38,25;39,79;41,22;43,19;44,51;45,83;47,15;47,81;48,14;;;
29/04/2013;Tremie;P1040964;5;2;2;3;0;29,84;30,17;30,39;30,71;31,04;31,58;31,8;32,12;32,56;32,88;33,1;33,32;33,86;;;;;
29/04/2013;Tremie;P1040964;5;2;2;3;1;22,42;23,41;25,39;26,05;27,92;29,46;30,88;32,97;34,73;36,6;38,03;39,68;41,22;;;;;
29/04/2013;Tremie;P1040964;5;2;2;4;0;30,17;29,84;29,52;28,76;28;27,46;26,91;26,59;26,37;25,83;25,39;24,63;24,2;;;;;
29/04/2013;Tremie;P1040964;5;2;2;4;1;15,17;15,94;17,15;18,57;20,22;21,98;23,63;25,06;26,27;27,04;27,7;28,69;29,35;;;;;
29/04/2013;Tremie;P1040964;5;2;2;5;0;30,28;30,93;31,47;32,12;32,77;33,32;34,19;34,84;35,49;36,46;37,77;38,42;39,39;;;;;
29/04/2013;Tremie;P1040964;5;2;2;5;1;7,25;8,46;9,67;10,66;11,65;12,09;13,3;14,62;15,28;15,83;16,05;16,05;16,16;;;;;
29/04/2013;Tremie;P1040964;5;2;2;6;0;30,28;29,95;29,3;28,32;;;;;;;;;;;;;;
29/04/2013;Tremie;P1040964;5;2;2;6;1;5,17;6,59;7,8;9,23;;;;;;;;;;;;;;
29/04/2013;Tremie;P1040964;6;3;0;0;0;55,24;55,02;55,02;55,02;54,91;54,91;54,91;55,02;54,91;55,13;55,24;55,13;55,02;55,13;;;;
29/04/2013;Tremie;P1040964;6;3;0;0;1;0;1,1;2,31;4,18;5,83;7,36;8,9;10,11;12,86;14,84;17,26;20,77;22,64;23,74;;;;
29/04/2013;Tremie;P1040964;6;3;2;1;0;55,13;55,13;55,13;54,8;54,7;54,7;54,37;;;;;;;;;;;
29/04/2013;Tremie;P1040964;6;3;2;1;1;22,97;24,07;26,16;28,69;30,34;31,43;32,31;;;;;;;;;;;
29/04/2013;Tremie;P1040964;6;3;2;2;0;55,13;55,35;55,35;55,46;55,67;55,78;55,78;55,78;55,78;55,78;55,67;55,78;55,67;55,67;;;;
29/04/2013;Tremie;P1040964;6;3;2;2;1;22,75;24,07;25,83;27,81;29,79;31,98;33,52;35,5;36,71;38,47;41,11;42,65;44,07;44,84;;;;
29/04/2013;Tremie;P1040964;6;3;2;3;0;55,35;55,02;54,7;54,26;53,83;53,29;52,74;52,31;51,87;51,44;51,11;50,57;50,46;50,03;;;;
29/04/2013;Tremie;P1040964;6;3;2;3;1;18,57;19,23;20,66;21,76;22,75;24,29;25,61;26,93;28,58;30,56;32,2;33,52;34,4;35,28;;;;
29/04/2013;Tremie;P1040964;6;3;2;4;0;55,02;55,24;55,67;56,22;56,76;57,3;58,06;58,49;58,93;59,36;59,8;60,23;60,45;60,66;60,77;61,1;61,1;61,32
29/04/2013;Tremie;P1040964;6;3;2;4;1;11,65;12,42;13,41;13,96;14,73;15,5;16,27;17,04;17,48;18,03;18,68;19,23;19,67;20,22;20,99;21,65;22,31;22,64
29/04/2013;Tremie;P1040964;6;3;2;5;0;54,59;54,04;53,29;52,42;51,77;51,11;50,79;50,25;49,92;48,73;47,64;46,67;46,45;;;;;
29/04/2013;Tremie;P1040964;6;3;2;5;1;6,15;6,7;7,47;8,35;9,12;10;10,33;10,33;10,22;10;9,67;9,34;9,34;;;;;
29/04/2013;Tremie;P1040966;7;1;0;0;0;5,58;5,47;5,25;5,02;4,91;4,91;4,8;4,8;5,14;5,14;5,25;5,25;;;;;;
29/04/2013;Tremie;P1040966;7;1;0;0;1;0,57;3,75;6,7;8,41;10,91;12,84;15,23;17,61;20,11;23,07;24,89;28,07;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;1;0;5,14;5,02;4,58;4,02;3,57;2,79;2,23;1,9;1,12;0,78;;;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;1;1;25,34;27,5;31,37;34,89;38,53;42,16;45,12;46,48;47,73;48,64;;;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;2;0;5,02;5,58;5,69;6,14;6,36;6,7;7,26;7,37;7,59;7,59;8,37;;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;2;1;22,84;24,89;26,71;28,41;30,23;32,27;35,23;37,16;39,78;41,14;42,62;;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;3;0;4,91;4,24;3,24;2,46;1,23;0,89;0;;;;;;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;3;1;15,8;17,39;19,43;21,25;24,09;26,25;28,87;;;;;;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;4;0;5,14;5,47;5,69;6,14;7,03;7,82;8,49;9,04;9,49;9,71;10,16;;;;;;;
29/04/2013;Tremie;P1040966;7;1;2;4;1;8,3;10;10,91;11,82;11,71;11,14;10,11;9,43;8,52;7,5;5,8;;;;;;;
29/04/2013;Tremie;P1040966;8;2;0;0;0;31,93;31,82;31,49;31,49;31,49;31,71;31,37;31,37;31,37;31,26;31,26;31,37;31,26;;;;;
29/04/2013;Tremie;P1040966;8;2;0;0;1;0;1,7;4,32;6,93;8,75;11,48;14,77;17,16;19,89;21,71;23,52;25,46;26,71;;;;;
29/04/2013;Tremie;P1040966;8;2;2;1;0;31,26;31,15;31,15;31,04;30,82;30,7;30,7;;;;;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;1;1;26,25;28,07;29,77;31,14;32,73;34,21;35,12;;;;;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;2;0;31,15;31,15;31,15;31,6;31,49;31,6;31,82;31,37;31,71;31,82;;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;2;1;25,46;27,62;30,23;33,3;36,02;38,64;41,59;44,09;46,48;48,18;;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;3;0;31,26;30,48;29,81;29,14;28,92;28,58;28,47;27,8;26,35;;;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;3;1;21,59;24,55;27,39;30,57;33,18;35,68;37,39;38,64;40,34;;;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;4;0;31,6;32,04;32,94;33,38;34,05;34,5;34,84;35,17;35,17;35,17;34,84;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;4;1;13,98;16,02;18,52;20,8;22,5;23,87;25;25,91;27,39;28,3;28,87;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;5;0;31,49;30,48;29,59;28,92;29,7;30,59;30,26;;;;;;;;;;;
29/04/2013;Tremie;P1040966;8;2;2;5;1;7,39;8,98;10,11;11,93;13,75;16,02;17,39;;;;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;0;0;0;55,94;54,93;54,49;54,15;54,37;54,26;54,6;54,49;54,71;;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;0;0;1;0;2,5;4,55;6,59;9,43;14,55;18,3;20,23;21,48;;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;1;0;54,6;55,04;55,94;56,38;57,17;57,84;58,06;58,39;58,51;58,73;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;1;1;21,59;23,87;25,91;28,07;30,68;33,07;35,12;36,93;38,98;40,8;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;2;0;54,6;54,6;54,37;54,26;53,93;53,93;53,93;54,04;54,26;;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;2;1;20,23;22,5;25,34;28,18;30,57;33,64;35,34;37,28;40;;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;3;0;54,49;55,27;56,5;57,72;59,18;60,74;61,86;63,87;64,98;65,99;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;3;1;12,39;13,75;14,55;15,68;17,05;18,18;19,09;19,77;19,55;19,43;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;4;0;54,04;53,59;52,37;51,36;49,24;47,79;46,34;44,88;;;;;;;;;;
29/04/2013;Tremie;P1040966;9;3;2;4;1;6,48;7,5;8,98;10;10,57;10,8;10,57;10,57;;;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;0;0;0;5,04;5,49;5,49;5,6;5,93;5,82;5,93;6,04;6,04;;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;0;0;1;0,56;3,73;5,76;8,81;13,32;16,6;18,74;21;23,37;;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;2;1;0;6,04;6,49;6,72;6,72;6,83;6,83;6,49;;;;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;2;1;1;23,14;25,63;28,56;30,14;32,06;33,08;33,76;;;;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;2;2;0;6,27;5,93;5,71;5,37;5,37;5,37;5,37;5,15;5,04;4,48;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;2;2;1;22,47;24,61;26,64;29,35;32,06;34,66;37,26;39,97;42;42,79;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;2;3;0;5,82;6,27;6,94;7,72;8,4;9,29;9,74;10,52;11,19;11,98;12,87;;;;;;;
29/04/2013;Tremie;P1040969;10;1;2;3;1;17,5;18,97;20,43;22,47;24,61;26,53;27,89;29,58;30,71;31,95;32,51;;;;;;;
