"Source","N","id_Axe","prelevement","rep","rank","stat","lmax","wmax","A_bl","A_bl_green","variety","nff","Nflig","Nfvis","stem_half_area"
"sampled_plants_020412",1,"MB","02/04/2012",1,9,1,16.3747,1.2584,16.0139,15.8906,"Tremie12",NA,10,1,NA
"sampled_plants_020412",1,"MB","02/04/2012",1,10,1,19.9636,1.4214,21.8526,21.8507,"Tremie12",NA,10,1,NA
"sampled_plants_020412",1,"MB","02/04/2012",1,8,1,14.8644,0.98229,11.7502,11.5518,"Tremie12",NA,10,1,NA
"sampled_plants_020412",2,"MB","02/04/2012",1,9,1,17.0609,1.1685,16.0607,15.9875,"Tremie12",NA,9,1,NA
"sampled_plants_020412",2,"MB","02/04/2012",1,8,3,12.1395,1.0639,10.9211,10.7957,"Tremie12",NA,9,1,NA
"sampled_plants_020412",3,"MB","02/04/2012",1,10,1,21.7538,1.3434,23.0635,23.0539,"Tremie12",NA,10,1,NA
"sampled_plants_020412",3,"MB","02/04/2012",1,9,1,16.2568,1.1956,15.7765,15.7528,"Tremie12",NA,10,1,NA
"sampled_plants_020412",4,"MB","02/04/2012",1,9,1,14.8689,1.0907,13.2143,13.2133,"Tremie12",NA,10,1,NA
"sampled_plants_020412",4,"MB","02/04/2012",1,10,1,20.5783,1.3206,21.2072,21.2048,"Tremie12",NA,10,1,NA
"sampled_plants_020412",4,"MB","02/04/2012",1,8,1,10.2158,0.92964,7.9606,7.9348,"Tremie12",NA,10,1,NA
"sampled_plants_020412",5,"MB","02/04/2012",1,8,2,15.8537,1.3322,15.3386,13.3275,"Tremie12",NA,10,1,NA
"sampled_plants_020412",5,"MB","02/04/2012",1,9,1,17.6154,1.5629,20.7491,20.6113,"Tremie12",NA,10,1,NA
"sampled_plants_020412",5,"MB","02/04/2012",1,10,1,21.3091,1.6093,26.8155,26.7964,"Tremie12",NA,10,1,NA
"sampled_plants_020412",7,"MB","02/04/2012",1,10,1,20.6045,1.3743,22.6682,22.4653,"Tremie12",NA,10,1,NA
"sampled_plants_020412",7,"MB","02/04/2012",1,9,1,16.6546,1.16,14.971,14.5207,"Tremie12",NA,10,1,NA
"sampled_plants_020412",8,"MB","02/04/2012",1,10,1,19.7896,1.3601,20.7085,20.6722,"Tremie12",NA,10,1,NA
"sampled_plants_020412",8,"MB","02/04/2012",1,8,1,11.8487,1.0996,10.0131,9.4664,"Tremie12",NA,10,1,NA
"sampled_plants_020412",8,"MB","02/04/2012",1,9,1,14.8979,1.3021,15.1443,15.138,"Tremie12",NA,10,1,NA
"sampled_plants_020412",9,"MB","02/04/2012",1,8,1,12.9306,1.0666,10.8099,10.656,"Tremie12",NA,10,1,NA
"sampled_plants_020412",9,"MB","02/04/2012",1,10,1,18.9679,1.3507,19.9803,19.9773,"Tremie12",NA,10,1,NA
"sampled_plants_020412",9,"MB","02/04/2012",1,9,1,13.764,1.2725,14.3656,14.3562,"Tremie12",NA,10,1,NA
"sampled_plants_020412",10,"MB","02/04/2012",1,10,1,23.7202,1.3242,25.6669,25.6602,"Tremie12",NA,10,1,NA
"sampled_plants_020412",10,"MB","02/04/2012",1,8,3,9.9151,1.1766,9.663,9.5018,"Tremie12",NA,10,1,NA
"sampled_plants_020412",10,"MB","02/04/2012",1,9,1,19.4685,1.3655,20.9882,20.9736,"Tremie12",NA,10,1,NA
"sampled_plants_020412",11,"MB","02/04/2012",2,10,1,22.0845,1.3562,23.7676,23.764,"Tremie12",NA,10,1,NA
"sampled_plants_020412",11,"MB","02/04/2012",2,9,1,17.8571,1.188,17.9235,17.9215,"Tremie12",NA,10,1,NA
"sampled_plants_020412",12,"MB","02/04/2012",2,9,3,15.8425,1.292,17.3005,16.9712,"Tremie12",NA,10,1,NA
"sampled_plants_020412",12,"MB","02/04/2012",2,8,3,9.8888,1.0755,8.8403,6.5541,"Tremie12",NA,10,1,NA
"sampled_plants_020412",12,"MB","02/04/2012",2,10,1,20.9701,1.4511,23.8198,23.7772,"Tremie12",NA,10,1,NA
"sampled_plants_020412",13,"MB","02/04/2012",2,8,2,15.7783,0.7911,9.7869,8.5555,"Tremie12",NA,10,1,NA
"sampled_plants_020412",13,"MB","02/04/2012",2,10,1,21.5479,1.4339,23.393,23.387,"Tremie12",NA,10,1,NA
"sampled_plants_020412",13,"MB","02/04/2012",2,9,1,18.3678,1.1712,16.4491,16.0552,"Tremie12",NA,10,1,NA
"sampled_plants_020412",14,"MB","02/04/2012",2,9,1,13.1278,1.1912,12.3024,12.254,"Tremie12",NA,10,1,NA
"sampled_plants_020412",14,"MB","02/04/2012",2,10,1,19.1202,1.2773,20.5038,20.4764,"Tremie12",NA,10,1,NA
"sampled_plants_020412",14,"MB","02/04/2012",2,8,3,11.9121,0.85222,7.6829,4.4697,"Tremie12",NA,10,1,NA
"sampled_plants_020412",15,"MB","02/04/2012",2,9,1,13.824,0.92374,10.0958,9.7651,"Tremie12",NA,10,1,NA
"sampled_plants_020412",15,"MB","02/04/2012",2,10,1,18.702,0.98339,15.1341,15.1312,"Tremie12",NA,10,1,NA
"sampled_plants_020412",16,"MB","02/04/2012",2,9,1,18.8132,1.2163,18.1782,18.1107,"Tremie12",NA,10,1,NA
"sampled_plants_020412",16,"MB","02/04/2012",2,10,1,24.1098,1.388,25.8564,25.8342,"Tremie12",NA,10,1,NA
"sampled_plants_020412",16,"MB","02/04/2012",2,8,1,15.8284,0.87513,10.8448,10.4507,"Tremie12",NA,10,1,NA
"sampled_plants_020412",17,"MB","02/04/2012",2,9,1,18.5,1.0844,15.8474,15.8291,"Tremie12",NA,10,1,NA
"sampled_plants_020412",17,"MB","02/04/2012",2,10,1,22.3799,1.396,24.6641,24.5379,"Tremie12",NA,10,1,NA
"sampled_plants_020412",18,"MB","02/04/2012",2,9,1,16.8052,1.4241,19.2364,19.1569,"Tremie12",NA,9,1,NA
"sampled_plants_020412",18,"MB","02/04/2012",2,8,1,13.0824,1.2484,12.6443,12.5518,"Tremie12",NA,9,1,NA
"sampled_plants_020412",19,"MB","02/04/2012",2,10,1,22.4343,1.1765,21.3923,21.3741,"Tremie12",NA,10,1,NA
"sampled_plants_020412",19,"MB","02/04/2012",2,9,1,17.8417,1.0495,15.0133,14.9656,"Tremie12",NA,10,1,NA
"sampled_plants_020412",20,"MB","02/04/2012",2,9,1,17.1993,1.3509,18.1182,18.0344,"Tremie12",NA,10,1,NA
"sampled_plants_020412",20,"MB","02/04/2012",2,10,3,18.6424,1.2884,18.6752,18.5966,"Tremie12",NA,10,1,NA
"sampled_plants_020412",20,"MB","02/04/2012",2,10,1,21.173,1.4301,24.2926,24.2847,"Tremie12",NA,10,1,NA
"sampled_plants_020412",20,"MB","02/04/2012",2,9,1,16.1898,1.0893,14.0919,13.936,"Tremie12",NA,10,1,NA
"sampled_plants_020412",24,"MB","02/04/2012",3,8,2,16.4386,1.2887,16.4501,14.8125,"Tremie12",NA,9,1,NA
"sampled_plants_020412",24,"MB","02/04/2012",3,9,1,19.2068,1.4597,22.5675,22.4927,"Tremie12",NA,9,1,NA
"sampled_plants_020412",25,"MB","02/04/2012",3,10,1,21.5912,1.4897,25.3617,25.3199,"Tremie12",NA,10,1,NA
"sampled_plants_020412",25,"MB","02/04/2012",3,9,3,11.0382,1.457,14.6466,14.4356,"Tremie12",NA,10,1,NA
"sampled_plants_020412",25,"MB","02/04/2012",3,9,1,18.8245,1.1237,16.0236,15.5499,"Tremie12",NA,10,1,NA
"sampled_plants_020412",25,"MB","02/04/2012",3,8,1,15.4328,0.89769,11.3927,11.2534,"Tremie12",NA,10,1,NA
"sampled_plants_020412",26,"MB","02/04/2012",3,9,1,16.0303,1.0307,12.9112,12.6299,"Tremie12",NA,10,1,NA
"sampled_plants_020412",26,"MB","02/04/2012",3,10,1,21.7224,1.5055,25.6506,25.633,"Tremie12",NA,10,1,NA
"sampled_plants_020412",26,"MB","02/04/2012",3,10,1,21.3634,1.3226,21.9653,21.9244,"Tremie12",NA,10,1,NA
"sampled_plants_020412",26,"MB","02/04/2012",3,8,2,13.9517,0.75333,8.2686,6.6363,"Tremie12",NA,10,1,NA
"sampled_plants_020412",26,"MB","02/04/2012",3,9,1,18.2278,1.3519,19.6894,19.3306,"Tremie12",NA,10,1,NA
"sampled_plants_020412",27,"MB","02/04/2012",3,9,1,20.0346,1.3106,21.2647,21.1747,"Tremie12",NA,9,1,NA
"sampled_plants_020412",27,"MB","02/04/2012",3,8,1,16.6996,1.1641,14.9058,14.6521,"Tremie12",NA,9,1,NA
"sampled_plants_020412",27,"MB","02/04/2012",3,8,1,16.11,1.1567,13.8702,13.7384,"Tremie12",NA,9,1,NA
"sampled_plants_020412",27,"MB","02/04/2012",3,9,1,18.8192,1.1061,16.5325,16.5152,"Tremie12",NA,9,1,NA
"sampled_plants_020412",28,"MB","02/04/2012",3,10,1,21.5941,1.5219,25.7086,25.6425,"Tremie12",NA,10,1,NA
"sampled_plants_020412",28,"MB","02/04/2012",3,9,1,16.8658,1.2427,16.7081,16.5497,"Tremie12",NA,10,1,NA
"sampled_plants_020412",28,"MB","02/04/2012",3,8,2,14.2028,1.0659,10.9312,7.7858,"Tremie12",NA,10,1,NA
"sampled_plants_020412",29,"MB","02/04/2012",3,8,1,16.0361,1.0815,14.0747,14.0012,"Tremie12",NA,9,1,NA
