Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;1;7;1;8,99;11,61;12,23;12,71;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;1;8;0;2,65;2,06;1,62;0,86;0;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;1;8;1;9,59;18,73;19,97;20,04;20,14;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;0;0;0;26,53;26,43;26,91;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;0;0;1;1,8;3,87;9,31;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;7;0;26,71;25,48;24,99;24,57;24,54;25,22;25,93;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;7;1;8,1;13,34;13,7;13,38;12,99;11,92;10,76;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;8;0;26,9;27,32;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;8;1;9,4;18,62;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;0;0;0;52,12;51,91;51,73;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;0;0;1;1,65;4,44;6,55;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;1;7;0;51,77;53,24;53,75;53,71;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;1;7;1;6,65;15,12;17,75;19,61;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;0;0;0;1,94;2,14;1,66;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;0;0;1;0;3,95;9,14;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;1;7;0;1,86;4,08;4,02;3,06;2,95;2,36;2,02;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;1;7;1;8,81;14,79;15,07;14,59;13,46;11,91;10,47;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;1;8;0;1,74;0;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;1;8;1;9,29;17,24;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;11;1;0;0;0;2,92;3,13;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;11;1;0;0;1;0;7,26;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;11;1;1;6;0;3,3;7;10,43;12,29;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;11;1;1;6;1;5,29;8,51;10,39;10,25;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;11;1;1;7;0;3,11;2,58;2,38;0;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;11;1;1;7;1;7,45;13,87;15,01;17,43;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;12;1;0;0;0;26,81;26,81;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;12;1;0;0;1;0,35;7,4;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;12;1;1;7;0;27,07;27,72;27,82;28,64;32,75;37,51;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;12;1;1;7;1;6,74;8,17;9,28;10,39;13,58;14,53;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;12;1;1;8;0;26,91;26,81;27,56;27,82;28,12;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;12;1;1;8;1;7,62;12,83;12,64;9,9;9,38;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;13;1;0;0;0;52,39;52,39;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;13;1;0;0;1;0,57;7,29;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;13;1;1;7;0;52,56;52,6;55,09;58,36;59,31;59,63;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;13;1;1;7;1;6,92;7,52;10,64;13,13;14,68;16,57;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;13;1;1;8;0;52,31;52,24;53,4;54,78;57,8;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P11-P12-P13;13;1;1;8;1;7,37;12,96;14,75;14,57;13,03;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;14;1;0;0;0;0;0,04;0,04;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;14;1;0;0;1;0;5,78;6,84;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;14;1;1;7;0;0,15;1,07;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;14;1;1;7;1;7,1;16,67;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;15;1;0;0;0;24,06;24,29;24,19;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;15;1;0;0;1;0,07;3,67;6,08;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;15;1;1;7;0;24,11;22,37;22,04;21,89;19,89;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;15;1;1;7;1;5,89;8,66;9,03;11,18;15,03;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;15;1;1;8;0;24,25;23;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;15;1;1;8;1;6,11;15,28;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;16;1;0;0;0;49,56;49,56;50,18;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;16;1;0;0;1;0,08;4,91;8,93;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;16;1;1;7;0;50,12;50,27;44,64;42,36;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P14-P15-P16;16;1;1;7;1;9,02;11,65;14,08;15,71;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;17;1;0;0;0;5,85;5,9;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;17;1;0;0;1;0;7,85;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;17;1;1;7;0;5,83;4,74;3,78;3,13;1,43;0;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;17;1;1;7;1;7,87;12,1;14,72;15,85;17,42;18,47;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;18;1;0;0;0;29,54;30,11;30,11;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;18;1;0;0;1;0,24;4,76;6,25;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;18;1;1;7;0;30,01;29,18;28,91;28,69;27,67;27,06;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;18;1;1;7;1;5,54;9,44;11,14;11,71;13,23;15,16;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;18;1;1;8;0;30,12;29,65;29,53;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;18;1;1;8;1;6,33;10,18;11,7;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;19;1;0;0;0;55,32;55,3;;;;;;;;;;;;;;;;
