Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;0;0;0;7,49;8,04;6,93;5,42;6,25;7,35;8,73;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;0;0;1;0;3,94;7,87;20,09;33,26;46,7;56,34;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;8;0;7,01;5,94;5,45;4,26;3,11;1,97;1,68;0,78;0;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;8;1;6,76;7,04;6,72;4,91;3,94;3,49;2,52;2;1,27;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;9;0;5,94;3,03;2,21;0,41;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;9;1;14,27;23,07;26,3;29,24;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;10;0;6,07;9,24;10,57;10,78;11,59;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;10;1;19,33;30,38;35,86;39,53;40,93;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;11;0;5,96;4,28;1,49;0,76;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;11;1;32,76;40,26;47,77;51,73;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;12;0;7,07;7,31;7,23;6,58;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;12;1;46,36;58,71;63,55;65,41;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;13;0;8,79;9,81;9,73;9,49;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P01;1;1;2;13;1;55,56;63,07;66,22;67,47;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;0;0;0;6,55;4,15;4,99;5,95;6,67;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;0;0;1;0;19,57;32,53;47,15;57,63;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;10;0;4,85;5,77;5,77;6,28;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;10;1;19,87;27,85;34,68;37,97;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;11;0;4,52;4,43;3,77;1,88;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;11;1;33,07;43,23;49,98;54,05;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;12;0;5,56;6,44;6,63;8,24;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;12;1;46,36;57,05;57,8;66,66;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;13;0;6,74;7,61;;;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P02;2;1;2;13;1;56,45;68,59;;;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;0;0;0;7,77;7,94;5,75;5,41;5,41;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;0;0;1;0;4;29,3;44,29;57,27;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;10;0;6,51;7,82;8,54;10,82;11,87;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;10;1;17,46;25,58;29,49;31,65;32,61;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;11;0;5,32;4,52;2,71;1,02;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;11;1;28,55;41,89;47,5;50,63;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;12;0;5,12;3,78;2,93;1,46;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;12;1;43,43;55,69;59,93;61,38;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;13;0;5,63;6,35;;;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P03-;3;1;2;13;1;55,56;70,48;;;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;0;0;0;6,41;5,85;5,28;7,3;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;0;0;1;0;13,13;26,04;53,38;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;10;0;5,96;8,94;10,42;12,42;13,69;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;10;1;17,74;27,02;30,59;32,25;32,75;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;11;0;5,03;3,24;2,48;2,56;2,48;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;11;1;26,26;35,38;41,51;45,16;47,23;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;12;0;6,68;10,26;12,27;13,93;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;12;1;39,09;49,59;56,59;59,28;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;13;0;7,43;7,93;7,93;6,84;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P04;4;1;2;13;1;52,05;58,28;63,17;66,18;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P05;5;1;0;0;0;6,87;5,3;7,65;8,57;8,83;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P05;5;1;0;0;1;1,28;5,52;24,79;40,46;55,75;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P05;5;1;2;9;0;3,75;1,65;0,85;0,6;0,24;0;1,29;3,1;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P05;5;1;2;9;1;11,75;10,68;9,57;7,6;4,87;2,61;1,23;0;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P05;5;1;2;10;0;7,44;16,94;19,49;;;;;;;;;;;;;;;
09/05/2012;Tremie;Boigneville-09052012-P05;5;1;2;10;1;16,64;27,32;29,28;;;;;;;;;;;;;;;
