Date	var	N	axe	Nflig	Nfvert	fertile	Daxe_mm	Hcol	sheath_length_F7	sheath_length_F8	sheath_length_F9	sheath_length_F10	sheath_length_F11	sheath_length_F12	sheath_length_F13	internode_length_F7	internode_length_F8	internode_length_F9	internode_length_F10	internode_length_F11	internode_length_F12	internode_length_F13	peduncle_length	visible_peduncle_length
12/06/2012	Tremie	1	MB	12	1,1	X	3,9	63			10,1	13	15	17,3			1,5	2	7,5	15,4	19		28	10,6
12/06/2012	Tremie	1	talle		1,4	X	2,8	62,5																
12/06/2012	Tremie	2	MB	13	1,8	X	3,9	69,5			12,5	11	13	13,4	14,8		1	2	3	13,5	15	20	20,3	5,5
12/06/2012	Tremie	2	talle		1,7	X	3,7	53																
12/06/2012	Tremie	2	talle	NA	1,8	X	3,4	58			13	12	11,7	12,7	13,8			2,5	5,7	15	15,6	20	24	10,2
12/06/2012	Tremie	3	MB	13	2,1	X	4,4	73																
12/06/2012	Tremie	3	talle		1,5	X	4,3	68																
12/06/2012	Tremie	3	talle		0	O																		
12/06/2012	Tremie	4	MB	12	2	X	4	68,5			11,5	12	12,3	14,5			1,3	5	13,1	15,3	19,2		25,5	11
12/06/2012	Tremie	4	talle		1,6	X	4,4	63																
12/06/2012	Tremie	5	MB	12	1,2	X	4,8	65,5		11,5	10	13	14,2	16,5			1,8	2	11	13,7	19,5			
12/06/2012	Tremie	5	talle		2,1	X	3,7	69,3																
12/06/2012	Tremie	6	MB	12	2	X	4,5	67			11,2	12,6	13	14			4	4,1	11	15,5	19		25,5	11,2
12/06/2012	Tremie	6	talle		1,3	X	5	64,5																
12/06/2012	Tremie	6	talle		1,8	X	4,2	67																
12/06/2012	Tremie	7	MB	13	2	X	4,4	67,5			9	12,3	13,4	14,5	15,6			1	5	11,5	13,5	20,5	24	8,5
12/06/2012	Tremie	8	MB	13	2	X	4,7	72,7			13	12,5	13,5	14,5	15,5			2,5	6,3	12,3	15,8	20	22,2	6,7
12/06/2012	Tremie	8	talle		2	X	3,4	66																
12/06/2012	Tremie	9	MB	12	2	X	4,6	68		9,9	10,5	12	13,5	15,5			1	3,8	12	13,3	21		24	8,5
12/06/2012	Tremie	9	talle		1,7	X	4,5	60,5																
12/06/2012	Tremie	10	MB	13	1,8	X	4,18	69			11	11,3	12	13	15		2	2,5	6	11	14,5	19	22,5	8
12/06/2012	Tremie	10	talle		2	X	4,3	64																
12/06/2012	Tremie	11	MB	12	2	X	4,3	69,7			11,7	12,5	13,7	16,2			1,3	4,5	13,5	14,8	19,6		24	8
12/06/2012	Tremie	11	talle		1,3	X	4,9	60																
12/06/2012	Tremie	11	talle		0	O	0	0																
12/06/2012	Tremie	12	MB	13	2,4	X	4,6	75,2		10,5	11,3	11,9	12,2	13,5	14		1,8	3,5	11,2	11,5	14,8	20,7	20,5	6,5
12/06/2012	Tremie	12	talle		2,6	X	3,7	71																
12/06/2012	Tremie	13	MB	13	2	X	4,5	66		8,5	8,9	11,1	12,2	13,5	14,5		0	1,5	5,7	11,4	13,9	20	21,8	7
12/06/2012	Tremie	13	talle		1,8	X	3,6	61																
12/06/2012	Tremie	13	talle		1,8	X	1,2	59,5																
12/06/2012	Tremie	14	MB	13	1,3	X	4,8	67,5		8,3	11,5	11	13	13,8	15,5		1	2	2,5	12,2	15,5	19,3	22	6,6
12/06/2012	Tremie	14	talle		1,3	X	4,6	63,5																
12/06/2012	Tremie	15	MB	13	1,2	X	4,9	67,5		9,2	12,5	10,5	13,2	13,8	14,3		1	2,2	3,5	12	14,7	19,5	22,5	8
12/06/2012	Tremie	15	talle		2	X	4,8	69																
12/06/2012	Tremie	15	talle		1,8	X	3,3	66																
12/06/2012	Tremie	16	MB	13	1,8	X	5,24	66		9,5	12,5	10,5	13,2	13,8	14,3		1,2	2,8	3,2	10	15	19,5	27,5	13
12/06/2012	Tremie	16	talle			O																		
12/06/2012	Tremie	17	MB	13	1,8	X	4,9	67			10,7	11,1	12	12,8	14,2			2	4,3	11,1	15	20,3	22	8
12/06/2012	Tremie	17	talle		1,1	X	4,8	67																
12/06/2012	Tremie	18	MB	13	1,8	X	5,4	68			12,8	10,3	13	14,5	16		0,9	2,3	3	11,7	14,8	19,3	21,5	6
12/06/2012	Tremie	18	talle		1,6	X	5	65																
12/06/2012	Tremie	19	MB	13	1,2	X	4,7	68			12,5	11	11,8	13	15,2			2	3,5	11,7	14,8	20	24	9
12/06/2012	Tremie	19	talle		1,6	X	3,9	68																
12/06/2012	Tremie	20	MB	13	1,7	X	4,3	67			12,2	10,5	12,8	13	14,8		0,8	2	3,5	11,7	14,8	20	25	10
12/06/2012	Tremie	21	MB	13	1,8	X	4,4	65,3			10	11,2	12	13,7	15,7			1,1	3	10,9	14	21	24	8,3
12/06/2012	Tremie	22	MB	13	1,8	X	5,1	70		8,5	13	11,5	13,7	14,7	17			1,8	3,3	12,2	14,8	20,6	24	6,3
12/06/2012	Tremie	22	talle		2	X	5,3	66																
12/06/2012	Tremie	22	talle		1,6	X	3,8	67																
12/06/2012	Tremie	22	talle		1,8	X	3,1	49,5																
12/06/2012	Tremie	23	MB	13	1,9	X	4,8	70			12,8	11,5	13,7	13,8	14,7			2	5,8	12,5	15,2	19,8	21	6,5
12/06/2012	Tremie	23	talle		2	X	4,4	72																
12/06/2012	Tremie	23	talle		2,2	X	4	65																
12/06/2012	Tremie	24	MB	12	1,8	X	4,9	67		10,8	10	13	14,7	17			2	2,5	11	14,2	20		23,5	6,5
12/06/2012	Tremie	25	MB	13	1,5	X	5,16	66			11,5	10	13	13,8	16			2,2	3,5	10,5	15,2	19,5	25,5	9,5
12/06/2012	Tremie	25	talle		1,3	X	4,26	61																
12/06/2012	Tremie	26	MB	13	1,8	X	4,6	69			10,9	12,2	13,3	14,6	15,7			1,8	5,5	12	13,9	20	20,4	5,5
12/06/2012	Tremie	26	talle		1,3	X	3,7	61																
12/06/2012	Tremie	26	talle		1	X	4,6	66																
12/06/2012	Tremie	27	MB	13	1,6	X	5,9	69		9	11,3	11,9	13,7	14,7	16,3		1	2	6,2	11,1	13,8	19,8	21,5	5
