date;variety;image;point;x;y;slice;color;id;serie;ntop_lig
27/04/2011;Rht3;rht_axe1.jpg;0;3376;800;1;0;688;0;-999
27/04/2011;Rht3;rht_axe1.jpg;1;3276;844;1;1;689;0;-999
27/04/2011;Rht3;rht_axe1.jpg;2;3176;900;1;2;690;0;-999
27/04/2011;Rht3;rht_axe1.jpg;3;3088;944;1;3;691;0;-999
27/04/2011;Rht3;rht_axe1.jpg;4;3008;992;1;4;692;0;-999
27/04/2011;Rht3;rht_axe1.jpg;5;2908;1048;1;5;693;0;-999
27/04/2011;Rht3;rht_axe1.jpg;6;2836;1104;1;6;694;0;-999
27/04/2011;Rht3;rht_axe1.jpg;7;2748;1148;1;7;695;0;-999
27/04/2011;Rht3;rht_axe1.jpg;8;2636;1224;1;8;696;0;-999
27/04/2011;Rht3;rht_axe1.jpg;9;2496;1312;1;9;697;0;-999
27/04/2011;Rht3;rht_axe1.jpg;10;2352;1408;1;10;698;0;-999
27/04/2011;Rht3;rht_axe1.jpg;11;2268;1472;1;11;699;0;-999
27/04/2011;Rht3;rht_axe1.jpg;12;2188;1528;1;12;700;0;-999
27/04/2011;Rht3;rht_axe1.jpg;13;2096;1596;1;13;701;0;-999
27/04/2011;Rht3;rht_axe1.jpg;14;1972;1680;1;14;702;0;-999
27/04/2011;Rht3;rht_axe1.jpg;15;1920;1712;1;15;703;0;-999
27/04/2011;Rht3;rht_axe1.jpg;16;1900;1720;1;16;704;1;0
27/04/2011;Rht3;rht_axe1.jpg;17;1838;1766;1;17;705;1;0
27/04/2011;Rht3;rht_axe1.jpg;18;1796;1800;1;18;706;1;0
27/04/2011;Rht3;rht_axe1.jpg;19;1742;1838;1;19;707;1;0
27/04/2011;Rht3;rht_axe1.jpg;20;1680;1878;1;20;708;1;0
27/04/2011;Rht3;rht_axe1.jpg;21;1612;1930;1;21;709;1;0
27/04/2011;Rht3;rht_axe1.jpg;22;1568;1968;1;22;710;1;0
27/04/2011;Rht3;rht_axe1.jpg;23;1516;2008;1;23;711;1;0
27/04/2011;Rht3;rht_axe1.jpg;24;1484;2046;1;24;712;1;0
27/04/2011;Rht3;rht_axe1.jpg;25;1436;2080;1;25;713;1;0
27/04/2011;Rht3;rht_axe1.jpg;26;1904;1728;1;26;714;2;1
27/04/2011;Rht3;rht_axe1.jpg;27;1834;1794;1;27;715;2;1
27/04/2011;Rht3;rht_axe1.jpg;28;1760;1846;1;28;716;2;1
27/04/2011;Rht3;rht_axe1.jpg;29;1698;1898;1;29;717;2;1
27/04/2011;Rht3;rht_axe1.jpg;30;1612;1972;1;30;718;2;1
27/04/2011;Rht3;rht_axe1.jpg;31;1544;2040;1;31;719;2;1
27/04/2011;Rht3;rht_axe1.jpg;32;1456;2124;1;32;720;2;1
