Date	var	placette	N	Hcol_F5	Hcol_F6	Hcol_F7	Hcol_F8	Hcol_F9	Hcol_F10	Hcol_F11	Hcol_F12	H_node	Daxe_mm
03/05/2013	Tremie	1	1		6,4	13	21,3	28,9	28,9				5
03/05/2013	Tremie	1	2		6,5	11,9	20,7	24,5	24,5				5
03/05/2013	Tremie	1	3		5,8	11,2	19,4	24	24,2				5
03/05/2013	Tremie	1	4		3,5	7,8	14,3	23,5	25	25			4
03/05/2013	Tremie	1	5		6,7	13	20,1	26,2	26,2				4
03/05/2013	Tremie	1	6		5,3	10,2	17,5	23,8	23,8				4
03/05/2013	Tremie	1	7		4	9	15	21,5	21,5				4
03/05/2013	Tremie	1	8		6,7	13,2	20,719	25,5	25,5				5
03/05/2013	Tremie	1	9		5	10,7	19	27,3	27,3				5
03/05/2013	Tremie	1	10		5,8	9,5	17,5	18	18				3
03/05/2013	Tremie	1	11		4,1	7,7	14,8	23,2	24,5	24,5			5
03/05/2013	Tremie	1	12		6,6	13	19,6	24,6	24,6				4
03/05/2013	Tremie	1	13		5,2	9,4	16,2	21,8	22				5
03/05/2013	Tremie	1	14		5,9	10,9	18	25	25				4
03/05/2013	Tremie	1	15		6,9	14,4	24	27	27				5
03/05/2013	Tremie	2	16		6,4	12,2	17	25	25				4
03/05/2013	Tremie	2	17		5	8,3	15,7	25	25				3
03/05/2013	Tremie	2	18		7,5	13,5	20,6	27,5	27,5				4
03/05/2013	Tremie	2	19		6,3	10	16,2	25	25				5
03/05/2013	Tremie	2	20			8	15,3	24,5	27,6	27,6			5
03/05/2013	Tremie	2	21		6,4	12,4	19,4	26,8	26,8				4
03/05/2013	Tremie	2	22		5,8	11,7	19,4	24	24				4
03/05/2013	Tremie	2	23		4,2	9,7	16,4	17,8	17,8				4
03/05/2013	Tremie	2	24		4,5	9,1	14,4	22,1	22,1				4
03/05/2013	Tremie	2	25		4,7	7,6	14,1	23,3	25,7	25,7			5
03/05/2013	Tremie	2	26		4,7	8,4	13,3	21,8	24,4	24,4			4
03/05/2013	Tremie	2	27		2,7	7,1	14,6	22,2	22,2				3
03/05/2013	Tremie	2	28		5,1	7,7	14,4	23	23,5	23,5			4
03/05/2013	Tremie	2	29		5,6	10,7	17,8	23,7	23,7				4
03/05/2013	Tremie	2	30		4,6	7,8	13,4	22,5	23,7	24,7			4
03/05/2013	Tremie	3	31		4,6	9,9	17,5	25,9	25,9				5
03/05/2013	Tremie	3	32		4,7	9,6	15,3	20,8	20,8				4
03/05/2013	Tremie	3	33		5	9	14,8	24,3	26,1	26,1			5
03/05/2013	Tremie	3	34		7	13,6	21,4	26,4	25,4				4
03/05/2013	Tremie	3	35		6,4	13,2	22,4	25,2	25,2				4
03/05/2013	Tremie	3	36		6,5	12,2	20	25	25				4
03/05/2013	Tremie	3	37		6,4	12,9	21,5	26,2	26,2				4
03/05/2013	Tremie	3	38		7,1	14,2	21,2	25,2	25,2				4
03/05/2013	Tremie	3	39		5	10,1	18,3	22,3	22,3				4
03/05/2013	Tremie	3	40		7,8	14,2	23,4	23,9	23,9				4
03/05/2013	Tremie	3	41		7	14,4	22,5	29,3	29,3				4
03/05/2013	Tremie	3	42		7,5	14,4	22,5	28,2	28,2				4
03/05/2013	Tremie	3	43		4,6	9,9	16,4	20,1	20,1				4
03/05/2013	Tremie	3	44		5,1	10,1	15,5	22,5	22,5				4
03/05/2013	Tremie	3	45			7,9	16,5	24,1	24,1				4
