Date	var	Trt	Rep	N	axe	Nflig	Nfvis	sheath_length_F1	sheath_length_F2	sheath_length_F3	sheath_length_F4	sheath_length_F5	sheath_length_F6	sheath_length_F7	sheath_length_F8	sheath_length_F9	sheath_length_F10	sheath_length_F11	sheath_length_F12	fsen_F1	fsen_F2	fsen_F3	fsen_F4	fsen_F5	fsen_F6	fsen_F7	fsen_F8	fsen_F9	fsen_F10	fsen_F11	fsen_F12
09/03/2012	Tremie	T1+T2	1	1	MB	7	1				3,7	5,5	3	7,5						100	100	100	80	90	75	5	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	2	MB	6	1			3,2	3,6	5	8							100	100	100	100	100	0	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	3	MB	7	1			2,5	3,6	5,4	7,2	7,5						100	100	100	100	100	95	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	4	MB	7	1					3,5	4,3	7,1						100	100	100	100	95	100	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	5	MB	7	1				3,2	4,5	5,7	7,5						100	100	100	100	95	100	65	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	6	MB	7	1			3,5	4,2	5,4	7,5	7,8						100	100	100	100	95	20	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	7	MB	8	1			3,5	3,7	4,8	6,7	7,8	8,2					100	100	100	100	100	40	0	5	0	0	0	0
09/03/2012	Tremie	T1+T2	1	8	MB	7	1				3	4,2	6	6,5						100	100	100	100	100	100	40	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	9	MB	7	1			3,5	4	4,6	7,2	7,5						100	100	100	100	95	100	40	0	0	0	0	0
09/03/2012	Tremie	T1+T2	1	10	MB	7	1			3,6	3,6	4,7	NA	7						100	100	100	100	95	NA	30	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	11	MB	7	1					2,7	3,5	3,9						100	100	100	100	100	80	40	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	12	MB	8	1					3,7	4,5	5,5	6,3					100	100	100	100	NA	NA	80	80	0	0	0	0
09/03/2012	Tremie	T1+T2	2	13	MB	7	2			3,2	3,7	4,6	6,5	6						100	100	100	100	100	100	40	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	14	MB	6	1			3,2	4	4,2	6,7							100	100	100	20	100	2	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	15	MB	7	1			2,3	3	3,5	5	5,5						100	100	100	100	100	100	70	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	16	MB	6	1			3	4	4,7	8							100	100	100	90	40	0	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	17	MB	7	1				3,4	4,5	5,1	7,7						100	100	100	100	80	10	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	18	MB	6	1			2,5	3,5	4,8	5,5							100	100	100	80	40	40	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	19	MB	6	1			3	3,5	4,5	5							100	100	100	70	80	10	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	2	20	MB	7	1			3,2	3,5	4,3	5	8						100	100	100	100	70	30	5	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	21	MB	7	1				3,2	3,9	5,1	6,7						100	100	100	95	80	20	5	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	22	MB	7	1			2,5	4,2	5,3	5,5	6						100	100	100	100	60	40	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	23	MB	7	1			2,1	3	4	4,7	6						100	100	100	95	70	10	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	24	MB	7	1			3	2,5	3,1	3,9		5,4					100	100	100	100	100	70	NA	30	0	0	0	0
09/03/2012	Tremie	T1+T2	3	25	MB	7	1			2	2,2	3	4,2	5,3						100	100	100	100	95	90	10	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	26	MB	7	1			2,1	2,6	3,7	4,2	4,3						100	100	100	100	95	100	60	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	27	MB	7	1				2,1	3	3,7	6,2						100	100	100	100	90	20	0	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	28	MB	7	1			2,7	3,2	4,3	5,6	7,3						100	100	100	100	95	100	40	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	29	MB	7	1					4,1	5	7,5						100	100	100	100	80	80	5	0	0	0	0	0
09/03/2012	Tremie	T1+T2	3	30	MB	8	1			2,3		3,2	4	4,7	7,5					100	100	100	NA	100	80	30	5	0	0	0	0
