Date;TT
29/10/2012;0
30/10/2012;6,76
31/10/2012;13,23
01/11/2012;19,77
02/11/2012;27,88
03/11/2012;35,46
04/11/2012;44,61
05/11/2012;52,76
06/11/2012;60,08
07/11/2012;66,36
08/11/2012;74,27
09/11/2012;79,22
10/11/2012;85,52
11/11/2012;95,9
12/11/2012;102,03
13/11/2012;107,73
14/11/2012;112,58
15/11/2012;115,84
16/11/2012;120,03
17/11/2012;124,08
18/11/2012;131,61
19/11/2012;139,84
20/11/2012;149,39
21/11/2012;156,86
22/11/2012;164,04
23/11/2012;169,27
24/11/2012;177,72
25/11/2012;187,08
26/11/2012;195,8
27/11/2012;204,68
28/11/2012;211,18
29/11/2012;217,23
30/11/2012;222
01/12/2012;223,38
02/12/2012;224,8
03/12/2012;226,81
04/12/2012;233,35
05/12/2012;237,72
06/12/2012;240,1
07/12/2012;241,15
08/12/2012;243,56
09/12/2012;245,17
10/12/2012;248,13
11/12/2012;252,01
12/12/2012;253,06
13/12/2012;253,11
14/12/2012;254,79
15/12/2012;262,85
16/12/2012;271,57
17/12/2012;279,72
18/12/2012;286,5
19/12/2012;293,3
20/12/2012;298,46
21/12/2012;305,88
22/12/2012;312,6
23/12/2012;322,05
24/12/2012;334,45
25/12/2012;344,45
26/12/2012;354,1
27/12/2012;362,76
28/12/2012;371,7
29/12/2012;380,46
30/12/2012;389,79
31/12/2012;397,3
01/01/2013;405,53
02/01/2013;411,93
03/01/2013;417,1
04/01/2013;425,51
05/01/2013;433,85
06/01/2013;441,67
07/01/2013;448,15
08/01/2013;453,91
09/01/2013;457,15
10/01/2013;460,27
11/01/2013;466,7
12/01/2013;471,23
13/01/2013;474,53
14/01/2013;477,42
15/01/2013;477,72
16/01/2013;478,88
17/01/2013;478,88
18/01/2013;478,88
19/01/2013;478,88
20/01/2013;478,88
21/01/2013;478,88
22/01/2013;479,26
23/01/2013;480,65
24/01/2013;482,02
25/01/2013;482,64
26/01/2013;482,64
27/01/2013;483,6
28/01/2013;487,98
29/01/2013;494,38
30/01/2013;504,73
31/01/2013;514,97
01/02/2013;522,93
02/02/2013;531,15
03/02/2013;534,23
04/02/2013;536,78
05/02/2013;545,16
06/02/2013;548,71
07/02/2013;552,65
08/02/2013;555,09
09/02/2013;557,03
10/02/2013;557,59
11/02/2013;559,13
12/02/2013;563,99
13/02/2013;565,8
14/02/2013;565,89
15/02/2013;568,68
16/02/2013;573,83
17/02/2013;577,7
18/02/2013;579,96
19/02/2013;582,28
20/02/2013;585,31
21/02/2013;587,68
22/02/2013;587,95
23/02/2013;587,95
24/02/2013;587,95
25/02/2013;587,96
26/02/2013;588,25
27/02/2013;589,4
28/02/2013;591,78
01/03/2013;593,7
02/03/2013;595,83
03/03/2013;597,45
04/03/2013;600,35
05/03/2013;607,36
06/03/2013;617,39
07/03/2013;628,19
08/03/2013;638,88
09/03/2013;649,5
10/03/2013;659,72
11/03/2013;665,2
12/03/2013;668,6
13/03/2013;668,81
14/03/2013;669,4
15/03/2013;670,72
16/03/2013;673,4
17/03/2013;677,74
18/03/2013;682,98
19/03/2013;687,09
20/03/2013;692,1
21/03/2013;697,8
22/03/2013;703,81
23/03/2013;712,67
24/03/2013;720,85
25/03/2013;726,47
26/03/2013;730,66
27/03/2013;733,68
28/03/2013;736,42
29/03/2013;738,56
30/03/2013;741,6
31/03/2013;743,69
01/04/2013;746,09
02/04/2013;750,2
03/04/2013;754,64
04/04/2013;759
05/04/2013;764,28
06/04/2013;769,68
07/04/2013;774,3
08/04/2013;780,3
09/04/2013;787,08
10/04/2013;795,59
11/04/2013;805,84
12/04/2013;817,03
13/04/2013;827,17
14/04/2013;838,35
15/04/2013;855,97
16/04/2013;870,49
17/04/2013;884,25
