Date;TT
15/10/2010;0
16/10/2010;9,16
17/10/2010;18,56
18/10/2010;24,3
19/10/2010;32,76
20/10/2010;42,4
21/10/2010;48,57
22/10/2010;52,37
23/10/2010;56,44
24/10/2010;63,15
25/10/2010;69,15
26/10/2010;74,5
27/10/2010;80,59
28/10/2010;89,34
29/10/2010;98,64
30/10/2010;110,66
31/10/2010;121,51
01/11/2010;133,07
02/11/2010;143,31
03/11/2010;153,05
04/11/2010;166,66
05/11/2010;180,85
06/11/2010;193,93
07/11/2010;204,51
08/11/2010;211,28
09/11/2010;216,83
10/11/2010;225,03
11/11/2010;230,8
12/11/2010;238,74
13/11/2010;251,64
14/11/2010;266,42
15/11/2010;278,07
16/11/2010;285,77
17/11/2010;290,89
18/11/2010;295,4
19/11/2010;301,92
20/11/2010;307,62
21/11/2010;314,23
22/11/2010;320,05
23/11/2010;323,96
24/11/2010;326,74
25/11/2010;330,68
26/11/2010;332,1
27/11/2010;332,38
28/11/2010;332,61
29/11/2010;332,8
30/11/2010;332,8
01/12/2010;332,8
02/12/2010;332,8
03/12/2010;332,8
04/12/2010;332,8
05/12/2010;333,46
06/12/2010;334,67
07/12/2010;335,65
08/12/2010;336,29
09/12/2010;336,54
10/12/2010;336,92
11/12/2010;338,07
12/12/2010;342,09
13/12/2010;345,97
14/12/2010;346,03
15/12/2010;346,07
16/12/2010;346,81
17/12/2010;348,43
18/12/2010;348,59
19/12/2010;348,78
20/12/2010;351,55
21/12/2010;352,59
22/12/2010;356,57
23/12/2010;358,18
24/12/2010;358,43
25/12/2010;358,43
26/12/2010;358,43
27/12/2010;358,43
28/12/2010;358,43
29/12/2010;359,45
30/12/2010;362,46
31/12/2010;365,12
01/01/2011;365,64
02/01/2011;365,97
03/01/2011;367,51
04/01/2011;367,85
05/01/2011;367,85
06/01/2011;369,93
07/01/2011;380,38
08/01/2011;391,33
09/01/2011;402
10/01/2011;406,61
11/01/2011;408,89
12/01/2011;415,36
13/01/2011;423,58
14/01/2011;435,35
15/01/2011;445,39
16/01/2011;453,51
17/01/2011;459,92
18/01/2011;466,33
19/01/2011;473,08
20/01/2011;475,19
21/01/2011;477,68
22/01/2011;477,72
23/01/2011;480,01
24/01/2011;483,32
25/01/2011;487,95
26/01/2011;492,28
27/01/2011;495,48
28/01/2011;497,96
29/01/2011;498,33
30/01/2011;498,43
31/01/2011;498,45
01/02/2011;498,45
02/02/2011;498,45
03/02/2011;499,14
04/02/2011;504,23
05/02/2011;511,75
06/02/2011;520,8
07/02/2011;526,7
08/02/2011;531,87
09/02/2011;539,2
10/02/2011;544,54
11/02/2011;552,85
12/02/2011;563,48
13/02/2011;569,95
14/02/2011;576,36
15/02/2011;582,51
16/02/2011;587,45
17/02/2011;592,71
18/02/2011;596,28
19/02/2011;598,33
20/02/2011;602,97
21/02/2011;608,95
22/02/2011;614,12
23/02/2011;617,7
