"name"	"date"	"an"	"feuille"	"moy_intercepteS"	"ecart_type_intercepteS"	"moy_intercepte"	"ecart_type_intercepte"	"surface_moy"
"Mercia"	"19/04/2011"	2011	"F1"	4,55	3,01	351,22	259,66	29,4
"Mercia"	"19/04/2011"	2011	"F2"	5,92	2,65	356,54	262,75	21,8
"Mercia"	"19/04/2011"	2011	"F3"	7,37	4,34	244,12	182,79	12,9
"Mercia"	"19/04/2011"	2011	"F4"	0	0	74,73	112,45	6,8
"Mercia"	"11/05/2011"	2011	"F1"	3,15	1,74	217,57	187,18	23,5
"Mercia"	"11/05/2011"	2011	"F2"	3,63	1,9	318,79	248,18	31,1
"Mercia"	"11/05/2011"	2011	"F3"	2,73	1,16	229,25	159,31	29,7
"Mercia"	"11/05/2011"	2011	"F4"	3,72	1,77	199,3	118,03	21,8
"Rht3"	"19/04/2011"	2011	"F1"	8,84	5,49	613,4	554,07	24,6
"Rht3"	"19/04/2011"	2011	"F2"	19,23	10,94	864,09	788,75	14,9
"Rht3"	"19/04/2011"	2011	"F3"	20,85	10,84	526,79	451,33	8,8
"Rht3"	"19/04/2011"	2011	"F4"	0	0	92,37	200,62	5,8
"Rht3"	"11/05/2011"	2011	"F1"	2,58	1,82	192,38	184,39	26,8
"Rht3"	"11/05/2011"	2011	"F2"	7,69	4,87	657,64	631,66	28,9
"Rht3"	"11/05/2011"	2011	"F3"	5,81	3,24	392,47	283,54	24,6
"Rht3"	"11/05/2011"	2011	"F4"	9,34	5,39	373,01	272,94	14,9
"Tremie"	"11/04/2012"	2012	"F1"	10,34	7,15	440,45	333,49	27,3
"Tremie"	"11/04/2012"	2012	"F2"	12,52	7,22	488,65	349,27	24,8
"Tremie"	"11/04/2012"	2012	"F3"	10,56	5,36	290,4	219,7	17
"Tremie"	"11/04/2012"	2012	"F4"	13,15	8,87	291,35	262,57	12,9
"Tremie"	"11/04/2012"	2012	"T"	"NA"	"NA"	222,3	133,85	"NA"
"Tremie"	"09/05/2012"	2012	"F1"	8,84	5,49	613,3984375	554,0682311	18,2
"Tremie"	"09/05/2012"	2012	"F2"	19,23	10,94	864,0904018	788,7464925	26,8
"Tremie"	"09/05/2012"	2012	"F3"	20,85	10,84	526,7912946	451,3325503	26,3
"Tremie"	"09/05/2012"	2012	"F4"	0	0	92,37165179	200,6197057	20,2
"Tremie"	"09/05/2012"	2012	"T"	"NA"	"NA"	349,5008861	227,6216528	"NA"
"Tremie"	"25/04/2013"	2013	"F1"	4,168926885	5,530824541	104,301625	93,23974103	26,7
"Tremie"	"25/04/2013"	2013	"F2"	5,160180404	3,339799374	215,6065	179,3233607	20
"Tremie"	"25/04/2013"	2013	"F3"	7,090590785	3,691873941	245,9072152	158,2980144	13,1
"Tremie"	"25/04/2013"	2013	"F4"	11,16303742	6,11635687	263,17275	165,1900035	8,1
"Tremie"	"25/04/2013"	2013	"T"	3,117290518	1,591481013	157,2267089	95,56014523	"NA"
"Tremie"	"17/05/2013"	2013	"F1"	10,7684983	8,728267806	311,7494481	237,7193162	19,3
"Tremie"	"17/05/2013"	2013	"F2"	15,99452577	7,80241521	824,5364238	557,162661	30,4
"Tremie"	"17/05/2013"	2013	"F3"	6,080144912	4,698141246	278,9679912	251,1744545	27,6
"Tremie"	"17/05/2013"	2013	"F4"	4,510183974	2,742219468	163,9624724	133,5411509	21
"Tremie"	"17/05/2013"	2013	"T"	3,117290518	1,591481013	124,8637773	69,8515008	"NA"
