TT,daydate,HS,tag_T1,tag_T2
0.0,2011-10-21,-2.52542683538,T1-173,T2-201
4.5625,2011-10-22,-2.47499803961,T1-172,T2-200
10.8583333333,2011-10-23,-2.40541090682,T1-171,T2-199
20.9833333333,2011-10-24,-2.29350042855,T1-170,T2-198
33.775,2011-10-25,-2.15211558563,T1-169,T2-197
45.2125,2011-10-26,-2.0256981935,T1-168,T2-196
55.8083333333,2011-10-27,-1.90858364772,T1-167,T2-195
67.9833333333,2011-10-28,-1.77401475162,T1-166,T2-194
82.3875,2011-10-29,-1.61480712882,T1-165,T2-193
96.1208333333,2011-10-30,-1.46301415089,T1-164,T2-192
107.766666667,2011-10-31,-1.33429407402,T1-163,T2-191
117.8375,2011-11-01,-1.22298229378,T1-162,T2-190
127.816666667,2011-11-02,-1.11268369482,T1-161,T2-189
141.116666667,2011-11-03,-0.965680301134,T1-160,T2-188
156.325,2011-11-04,-0.797584315252,T1-159,T2-187
169.683333333,2011-11-05,-0.649936169845,T1-158,T2-186
183.554166667,2011-11-06,-0.496623419971,T1-157,T2-185
196.475,2011-11-07,-0.353810912514,T1-156,T2-184
206.195833333,2011-11-08,-0.246367642636,T1-155,T2-183
215.9625,2011-11-09,-0.138417782107,T1-154,T2-182
227.654166667,2011-11-10,-0.00919111459819,T1-153,T2-181
237.075,2011-11-11,0.0949362892576,T1-152,T2-180
245.4875,2011-11-12,0.187918698984,T1-151,T2-179
256.5625,2011-11-13,0.310329419665,T1-150,T2-178
264.6625,2011-11-14,0.399857802284,T1-149,T2-177
270.883333333,2011-11-15,0.468615968562,T1-148,T2-176
275.466666667,2011-11-16,0.519275032809,T1-147,T2-175
278.420833333,2011-11-17,0.551927102389,T1-146,T2-174
288.295833333,2011-11-18,0.661074358977,T1-145,T2-173
296.683333333,2011-11-19,0.753780446535,T1-144,T2-172
303.620833333,2011-11-20,0.830459848316,T1-143,T2-171
309.7125,2011-11-21,0.897790350063,T1-142,T2-170
319.295833333,2011-11-22,1.00371384801,T1-141,T2-169
326.329166667,2011-11-23,1.08145248478,T1-140,T2-168
334.979166667,2011-11-24,1.17705995511,T1-139,T2-167
342.291666667,2011-11-25,1.25788418942,T1-138,T2-166
348.033333333,2011-11-26,1.3213461808,T1-137,T2-165
354.075,2011-11-27,1.38812403821,T1-136,T2-164
363.020833333,2011-11-28,1.48700132086,T1-135,T2-163
370.483333333,2011-11-29,1.56948348818,T1-134,T2-162
377.970833333,2011-11-30,1.65224197767,T1-133,T2-161
384.025,2011-12-01,1.71915799616,T1-132,T2-160
394.808333333,2011-12-02,1.83834495821,T1-131,T2-159
402.675,2011-12-03,1.92529433392,T1-130,T2-158
411.9375,2011-12-04,2.02767169738,T1-129,T2-157
423.125,2011-12-05,2.15132586782,T1-128,T2-156
429.220833333,2011-12-06,2.21870242326,T1-127,T2-155
435.445833333,2011-12-07,2.28750664323,T1-126,T2-154
443.85,2011-12-08,2.38039694557,T1-125,T2-153
452.0,2011-12-09,2.47047797253,T1-124,T2-152
460.195833333,2011-12-10,2.56106559013,T1-123,T2-151
464.5375,2011-12-11,2.60905354007,T1-122,T2-150
469.295833333,2011-12-12,2.66164685949,T1-121,T2-149
476.133333333,2011-12-13,2.73722097259,T1-120,T2-148
485.154166667,2011-12-14,2.83692722176,T1-119,T2-147
492.166666667,2011-12-15,2.91443559005,T1-118,T2-146
498.7625,2011-12-16,2.98733858886,T1-117,T2-145
505.9,2011-12-17,3.06622856799,T1-116,T2-144
508.9375,2011-12-18,3.09980171147,T1-115,T2-143
511.516666667,2011-12-19,3.12830894853,T1-114,T2-142
513.404166667,2011-12-20,3.14917127226,T1-113,T2-141
520.320833333,2011-12-21,3.22562040556,T1-112,T2-140
529.016666667,2011-12-22,3.32173446654,T1-111,T2-139
538.883333333,2011-12-23,3.43078961573,T1-110,T2-138
546.916666667,2011-12-24,3.51958113924,T1-109,T2-137
551.441666667,2011-12-25,3.56959545175,T1-108,T2-136
557.566666667,2011-12-26,3.63729438305,T1-107,T2-135
562.375,2011-12-27,3.69044034681,T1-106,T2-134
