"Date","label","Trt","Rep","N","Axis","Nflig","Nfvis","nff","HS","SSI","GL"
"27/04/2011","Mercia","T1+T2",1,11,"MB",11,1,12,11.6898909801828,8.2,3.48989098018281
"01/06/2011","Mercia","T1+T2",1,12,"MB",12,0,12,12,9.226,2.774
"09/06/2011","Mercia","T1+T2",1,12,"MB",12,0,12,12,10.55,1.45
"18/04/2011","Mercia","T1+T2",1,12,"MB",9,1,12,9.875,NA,NA
"19/01/2011","Mercia","T1+T2",1,12,"MB",3,2,12,4.17763973508069,0,4.17763973508069
"26/05/2011","Mercia","T1+T2",1,12,"MB",12,0,12,12,9.33,2.67
"27/04/2011","Mercia","T1+T2",1,12,"MB",NA,NA,12,NA,NA,NA
"01/06/2011","Mercia","T1+T2",2,13,"MB",11,0,11,11,8.206,2.794
"09/06/2011","Mercia","T1+T2",2,13,"MB",11,0,11,11,9.6,1.4
"18/04/2011","Mercia","T1+T2",2,13,"MB",9,1,11,9.37664783427495,NA,NA
"19/01/2011","Mercia","T1+T2",2,13,"MB",3,2,11,3.74555758917566,0,3.74555758917566
"26/05/2011","Mercia","T1+T2",2,13,"MB",11,0,11,11,8.34,2.66
"27/04/2011","Mercia","T1+T2",2,13,"MB",10,1,11,10.6797752808989,NA,NA
"01/06/2011","Mercia","T1+T2",2,14,"MB",12,0,12,12,9.226,2.774
"09/06/2011","Mercia","T1+T2",2,14,"MB",12,0,12,12,10.9,1.1
"18/04/2011","Mercia","T1+T2",2,14,"MB",9,1,12,9.84745762711864,NA,NA
"19/01/2011","Mercia","T1+T2",2,14,"MB",3,2,12,3.68531683775255,0.02,3.66531683775255
"26/05/2011","Mercia","T1+T2",2,14,"MB",12,0,12,12,9.09,2.91
"27/04/2011","Mercia","T1+T2",2,14,"MB",11,1,12,11.4351145038168,NA,NA
"01/06/2011","Mercia","T1+T2",2,15,"MB",12,0,12,12,10.213,1.787
"09/06/2011","Mercia","T1+T2",2,15,"MB",12,0,12,12,11.75,0.25
"18/04/2011","Mercia","T1+T2",2,15,"MB",9,1,12,9.63492063492063,NA,NA
"19/01/2011","Mercia","T1+T2",2,15,"MB",3,1,12,3.44501349554594,NA,NA
"26/05/2011","Mercia","T1+T2",2,15,"MB",12,0,12,12,9.6,2.4
"27/04/2011","Mercia","T1+T2",2,15,"MB",11,1,12,11.2263157894737,NA,NA
"01/06/2011","Mercia","T1+T2",2,16,"MB",12,0,12,12,9.143,2.857
"09/06/2011","Mercia","T1+T2",2,16,"MB",12,0,12,12,9.9,2.1
"18/04/2011","Mercia","T1+T2",2,16,"MB",9,1,12,10.0123966942149,NA,NA
"19/01/2011","Mercia","T1+T2",2,16,"MB",3,2,12,3.68873774536591,0,3.68873774536591
"26/05/2011","Mercia","T1+T2",2,16,"MB",12,0,12,12,9.17,2.83
"27/04/2011","Mercia","T1+T2",2,16,"MB",11,1,12,11.5333333333333,NA,NA
"01/06/2011","Mercia","T1+T2",2,17,"MB",12,0,12,12,8.243,3.757
"09/06/2011","Mercia","T1+T2",2,17,"MB",12,0,12,12,9.39,2.61
"18/04/2011","Mercia","T1+T2",2,17,"MB",9,1,12,9.99099099099099,NA,NA
"19/01/2011","Mercia","T1+T2",2,17,"MB",3,2,12,NA,0,NA
"26/05/2011","Mercia","T1+T2",2,17,"MB",12,0,12,12,8.81,3.19
"27/04/2011","Mercia","T1+T2",2,17,"MB",11,1,12,11.2848101265823,NA,NA
"01/06/2011","Mercia","T1+T2",2,18,"MB",12,0,12,12,9.106,2.894
"09/06/2011","Mercia","T1+T2",2,18,"MB",12,0,12,12,10.22,1.78
