"inerv","label","Source","plant","rank","ranktop","age","lmax","wmax","A","Agr","mass","stat","phiP"
1,"Mercia","sampled_plants_010611",1,11,1.67741935483871,5.31133511187808,NA,NA,NA,NA,NA,NA,-1.91139311112347
42,"Mercia","sampled_plants_270411",3,12,0.67741935483871,0.0138585744140087,NA,NA,NA,NA,NA,NA,-1.67054772117717
50,"Mercia","sampled_plants_010611",4,11,1.67741935483871,4.11133511187808,NA,NA,NA,NA,NA,NA,-2.07660315929272
57,"Mercia","sampled_plants_270411",4,11,1.67741935483871,0.141495495127344,NA,NA,NA,NA,NA,NA,2.5946060369687
66,"Mercia","sampled_plants_010611",5,11,1.67741935483871,5.41133511187807,NA,NA,NA,NA,NA,NA,-2.11956525426116
74,"Mercia","sampled_plants_270411",5,12,0.67741935483871,-0.668443641484313,NA,NA,NA,NA,NA,NA,2.55456877886047
84,"Mercia","sampled_plants_010611",6,11,1.67741935483871,3.91133511187808,NA,NA,NA,NA,NA,NA,-1.97593302345949
91,"Mercia","sampled_plants_270411",6,11,1.67741935483871,0.141495495127344,NA,NA,NA,NA,NA,NA,2.48196060917948
102,"Mercia","sampled_plants_010611",7,11,1.67741935483871,4.71133511187807,NA,NA,NA,NA,NA,NA,-2.12504122542587
108,"Mercia","sampled_plants_270411",7,12,0.67741935483871,0.00598406190181677,NA,NA,NA,NA,NA,NA,3.07118087889414
116,"Mercia","sampled_plants_010611",8,11,1.67741935483871,4.61133511187808,NA,NA,NA,NA,NA,NA,-1.78294111395142
9,"Mercia","sampled_plants_270411",1,12,0.67741935483871,-0.642104757423235,NA,NA,NA,NA,NA,NA,-1.58513419494659
125,"Mercia","sampled_plants_270411",8,12,0.67741935483871,-0.532352365058294,NA,NA,NA,NA,NA,NA,2.66442466731419
132,"Mercia","sampled_plants_010611",9,11,1.67741935483871,5.71133511187807,NA,NA,NA,NA,NA,NA,-2.16473360973066
