Date	var	Trt	Rep	N	Axis	Nflig	Nfvis	H_last_col	nff	Lg_F1	Lg_F2	Lg_F3	Lg_F4	Lg_F5	Lg_F6	Lg_F7	Lg_F8	Lg_F9	Lg_F10	Lg_F11	Lg_F12	Lg_F13	fsen_F1	fsen_F2	fsen_F3	fsen_F4	fsen_F5	fsen_F6	fsen_F7	fsen_F8	fsen_F9	fsen_F10	fsen_F11	fsen_F12	fsen_F13	fvert_F1	fvert_F2	fvert_F3	fvert_F4	fvert_F5	fvert_F6	fvert_F7	fvert_F8	fvert_F9	fvert_F10	fvert_F11	fvert_F12	fvert_F13
02/04/2012	Tremie	T1+T2	1	1	MB	9	1	18	12								17,5	18,3	22				100	100	100	100	100	100	60	5	0																	
02/04/2012	Tremie	T1+T2	1	2	MB	9	1	13,2	12								15,7	18,8	19,2				100	100	100	100	100	100	40	3	0																	
02/04/2012	Tremie	T1+T2	1	3	MB	9	1	18,5	12								17,9	18,3	23,9				100	100	100	100	100	100	88	10	0																	
02/04/2012	Tremie	T1+T2	1	4	MB	9	1	15,5	13								19,3	19,4	21,5				100	100	100	100	100	100	100	30	0																	
02/04/2012	Tremie	T1+T2	1	5	MB	9	1	10,5	13								12,5	17	16,2				100	100	100	100	100	100	70	2	0																	
02/04/2012	Tremie	T1+T2	1	6	MB	10	1	13,5	13								14	17,9	22	15,5			100	100	100	100	100	100	40	NA	0																	
02/04/2012	Tremie	T1+T2	1	7	MB	10	1	14	13								15,4	17,8	20,8	12,9			100	100	100	100	100	100	70	0	0																	
02/04/2012	Tremie	T1+T2	1	8	MB	9	1	19,5	12								15,5	19,2	17,7				100	100	100	100	100	100	85	NA	0																	
02/04/2012	Tremie	T1+T2	1	9	MB	9	1	13	13								12,7	14,5	11,5				100	100	100	100	100	100	100	40	0																	
02/04/2012	Tremie	T1+T2	1	10	MB	9	1	15,3	13								15,5	17,8	17,9				100	100	100	100	100	100	100	0	0																	
02/04/2012	Tremie	T1+T2	2	11	MB	10	1	17	13								16	18	20,3	15,3			100	100	100	100	100	100	80	10	0																	
02/04/2012	Tremie	T1+T2	2	12	MB	9	2	20	12								18	19,5	26				100	100	100	100	100	100	95	0	0																	
02/04/2012	Tremie	T1+T2	2	13	MB	9	1	15	12								17,5	18,5	14,2				100	100	100	100	100	100	100	15	5																	
02/04/2012	Tremie	T1+T2	2	14	MB	9	2	16,5	12								16,2	19	25				100	100	100	100	100	100	40	0	0																	
02/04/2012	Tremie	T1+T2	2	15	MB	10	1	18	12								17,5	19,1	24,2	13,5			100	100	100	100	100	100	20	0	NA																	
02/04/2012	Tremie	T1+T2	2	16	MB	9	2	18	12								17,8	20	25,5				100	100	100	100	100	100	50	0	0																	
02/04/2012	Tremie	T1+T2	2	17	MB	10	1	13	13								14,5	16,5	21,2	16			100	100	100	100	100	100	95	5	0																	
02/04/2012	Tremie	T1+T2	2	18	MB	10	1	11,5	13								13	13,5	16,3	12,4			100	100	100	100	100	100	95	10	0																	
02/04/2012	Tremie	T1+T2	2	19	MB	9	1	12	13								14,8	17,5	17,3				100	100	100	100	100	100	20	0	0																	
02/04/2012	Tremie	T1+T2	2	20	MB	10	1	19	12								17	19,5	24,2	13			100	100	100	100	100	100	100	10	0																	
02/04/2012	Tremie	T1+T2	3	21	MB	9	2	16,3	13								16	19,4	23,3				100	100	100	100	100	100	90	20	0																	
02/04/2012	Tremie	T1+T2	3	22	MB	10	1	17	13								15	18	25	13			100	100	100	100	100	100	80	0	0																	
02/04/2012	Tremie	T1+T2	3	23	MB	10	1	17,5	12								18,8	19,6	26,5	12,1			100	100	100	100	100	100	80	10	0																	
02/04/2012	Tremie	T1+T2	3	24	MB	10	1	15	13								16	16,2	20,2	14			100	100	100	100	100	100	90	10	0																	
