date;variety;image;point;x;y;slice;color;id;serie;ntop_lig
27/04/2011;Mercia;mercia_axe1.jpg;65;1249;2561;1;65;66;5;4
27/04/2011;Mercia;mercia_axe1.jpg;66;1239;2507;1;66;67;5;4
27/04/2011;Mercia;mercia_axe1.jpg;67;1237;2425;1;67;68;5;4
27/04/2011;Mercia;mercia_axe1.jpg;68;1237;2359;1;68;69;5;4
27/04/2011;Mercia;mercia_axe1.jpg;69;1237;2293;1;69;70;5;4
27/04/2011;Mercia;mercia_axe2.jpg;0;1752;3742;2;0;71;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;1;1736;3682;2;1;72;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;2;1752;3586;2;2;73;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;3;1752;3494;2;3;74;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;4;1752;3418;2;4;75;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;5;1748;3306;2;5;76;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;6;1732;3162;2;6;77;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;7;1716;3018;2;7;78;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;8;1692;2878;2;8;79;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;9;1672;2694;2;9;80;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;10;1652;2570;2;10;81;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;11;1632;2394;2;11;82;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;12;1600;2218;2;12;83;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;13;1588;2106;2;13;84;0;-999
27/04/2011;Mercia;mercia_axe2.jpg;14;1574;2076;2;14;85;1;0
27/04/2011;Mercia;mercia_axe2.jpg;15;1550;1923;2;15;86;1;0
27/04/2011;Mercia;mercia_axe2.jpg;16;1526;1794;2;16;87;1;0
27/04/2011;Mercia;mercia_axe2.jpg;17;1490;1635;2;17;88;1;0
27/04/2011;Mercia;mercia_axe2.jpg;18;1442;1455;2;18;89;1;0
27/04/2011;Mercia;mercia_axe2.jpg;19;1409;1296;2;19;90;1;0
27/04/2011;Mercia;mercia_axe2.jpg;20;1361;1161;2;20;91;1;0
27/04/2011;Mercia;mercia_axe2.jpg;21;1328;1023;2;21;92;1;0
27/04/2011;Mercia;mercia_axe2.jpg;22;1310;948;2;22;93;1;0
27/04/2011;Mercia;mercia_axe2.jpg;23;1265;831;2;23;94;1;0
27/04/2011;Mercia;mercia_axe2.jpg;24;1583;2091;2;24;95;2;1
27/04/2011;Mercia;mercia_axe2.jpg;25;1589;1980;2;25;96;2;1
27/04/2011;Mercia;mercia_axe2.jpg;26;1583;1842;2;26;97;2;1
27/04/2011;Mercia;mercia_axe2.jpg;27;1580;1704;2;27;98;2;1
27/04/2011;Mercia;mercia_axe2.jpg;28;1568;1548;2;28;99;2;1
27/04/2011;Mercia;mercia_axe2.jpg;29;1568;1389;2;29;100;2;1
27/04/2011;Mercia;mercia_axe2.jpg;30;1562;1242;2;30;101;2;1
27/04/2011;Mercia;mercia_axe2.jpg;31;1553;1080;2;31;102;2;1
27/04/2011;Mercia;mercia_axe2.jpg;32;1550;963;2;32;103;2;1
27/04/2011;Mercia;mercia_axe2.jpg;33;1565;873;2;33;104;2;1
27/04/2011;Mercia;mercia_axe2.jpg;34;1580;828;2;34;105;2;1
27/04/2011;Mercia;mercia_axe2.jpg;35;1691;2865;2;35;106;3;2
27/04/2011;Mercia;mercia_axe2.jpg;36;1676;2769;2;36;107;3;2
27/04/2011;Mercia;mercia_axe2.jpg;37;1652;2640;2;37;108;3;2
27/04/2011;Mercia;mercia_axe2.jpg;38;1613;2514;2;38;109;3;2
27/04/2011;Mercia;mercia_axe2.jpg;39;1568;2424;2;39;110;3;2
27/04/2011;Mercia;mercia_axe2.jpg;40;1514;2331;2;40;111;3;2
27/04/2011;Mercia;mercia_axe2.jpg;41;1445;2232;2;41;112;3;2
27/04/2011;Mercia;mercia_axe2.jpg;42;1388;2127;2;42;113;3;2
27/04/2011;Mercia;mercia_axe2.jpg;43;1340;2055;2;43;114;3;2
27/04/2011;Mercia;mercia_axe2.jpg;44;1289;1968;2;44;115;3;2
27/04/2011;Mercia;mercia_axe2.jpg;45;1202;1917;2;45;116;3;2
27/04/2011;Mercia;mercia_axe2.jpg;46;1736;3099;2;46;117;4;3
27/04/2011;Mercia;mercia_axe2.jpg;47;1757;3015;2;47;118;4;3
27/04/2011;Mercia;mercia_axe2.jpg;48;1751;2919;2;48;119;4;3
27/04/2011;Mercia;mercia_axe2.jpg;49;1736;2811;2;49;120;4;3
27/04/2011;Mercia;mercia_axe2.jpg;50;1706;2700;2;50;121;4;3
27/04/2011;Mercia;mercia_axe2.jpg;51;1685;2616;2;51;122;4;3
27/04/2011;Mercia;mercia_axe2.jpg;52;1655;2526;2;52;123;4;3
27/04/2011;Mercia;mercia_axe2.jpg;53;1670;2451;2;53;124;4;3
27/04/2011;Mercia;mercia_axe2.jpg;54;1688;2418;2;54;125;4;3
27/04/2011;Mercia;mercia_axe2.jpg;55;1688;2379;2;55;126;4;3
27/04/2011;Mercia;mercia_axe3.jpg;0;3552;1280;3;0;127;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;1;3528;1232;3;1;128;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;2;3468;1204;3;2;129;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;3;3376;1204;3;3;130;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;4;3260;1212;3;4;131;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;5;3136;1220;3;5;132;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;6;2960;1240;3;6;133;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;7;2788;1256;3;7;134;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;8;2660;1276;3;8;135;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;9;2548;1288;3;9;136;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;10;2412;1296;3;10;137;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;11;2300;1308;3;11;138;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;12;2228;1316;3;12;139;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;13;2152;1328;3;13;140;0;-999
27/04/2011;Mercia;mercia_axe3.jpg;14;2175;1331;3;14;141;1;1
27/04/2011;Mercia;mercia_axe3.jpg;15;2091;1345;3;15;142;1;1
27/04/2011;Mercia;mercia_axe3.jpg;16;1985;1365;3;16;143;1;1
27/04/2011;Mercia;mercia_axe3.jpg;17;1889;1377;3;17;144;1;1
27/04/2011;Mercia;mercia_axe3.jpg;18;1765;1403;3;18;145;1;1
27/04/2011;Mercia;mercia_axe3.jpg;19;1655;1433;3;19;146;1;1
27/04/2011;Mercia;mercia_axe3.jpg;20;1561;1461;3;20;147;1;1
27/04/2011;Mercia;mercia_axe3.jpg;21;1459;1487;3;21;148;1;1
27/04/2011;Mercia;mercia_axe3.jpg;22;1365;1515;3;22;149;1;1
27/04/2011;Mercia;mercia_axe3.jpg;23;1277;1537;3;23;150;1;1
27/04/2011;Mercia;mercia_axe3.jpg;24;1207;1573;3;24;151;1;1
27/04/2011;Mercia;mercia_axe3.jpg;25;1149;1611;3;25;152;1;1
27/04/2011;Mercia;mercia_axe3.jpg;26;1095;1663;3;26;153;1;1
27/04/2011;Mercia;mercia_axe3.jpg;27;1035;1725;3;27;154;1;1
27/04/2011;Mercia;mercia_axe3.jpg;28;2263;1311;3;28;155;2;2
27/04/2011;Mercia;mercia_axe3.jpg;29;2167;1323;3;29;156;2;2
27/04/2011;Mercia;mercia_axe3.jpg;30;2065;1331;3;30;157;2;2
27/04/2011;Mercia;mercia_axe3.jpg;31;1971;1331;3;31;158;2;2
27/04/2011;Mercia;mercia_axe3.jpg;32;1813;1337;3;32;159;2;2
27/04/2011;Mercia;mercia_axe3.jpg;33;1653;1345;3;33;160;2;2
27/04/2011;Mercia;mercia_axe3.jpg;34;1535;1347;3;34;161;2;2
27/04/2011;Mercia;mercia_axe3.jpg;35;1433;1347;3;35;162;2;2
27/04/2011;Mercia;mercia_axe3.jpg;36;1321;1353;3;36;163;2;2
27/04/2011;Mercia;mercia_axe3.jpg;37;1265;1361;3;37;164;2;2
27/04/2011;Mercia;mercia_axe3.jpg;38;1181;1385;3;38;165;2;2
27/04/2011;Mercia;mercia_axe3.jpg;39;1103;1425;3;39;166;2;2
27/04/2011;Mercia;mercia_axe3.jpg;40;1031;1475;3;40;167;2;2
27/04/2011;Mercia;mercia_axe3.jpg;41;953;1507;3;41;168;2;2
27/04/2011;Mercia;mercia_axe3.jpg;42;2575;1285;3;42;169;3;3
27/04/2011;Mercia;mercia_axe3.jpg;43;2457;1317;3;43;170;3;3
27/04/2011;Mercia;mercia_axe3.jpg;44;2377;1339;3;44;171;3;3
27/04/2011;Mercia;mercia_axe3.jpg;45;2279;1363;3;45;172;3;3
27/04/2011;Mercia;mercia_axe3.jpg;46;2197;1379;3;46;173;3;3
27/04/2011;Mercia;mercia_axe3.jpg;47;2089;1403;3;47;174;3;3
27/04/2011;Mercia;mercia_axe3.jpg;48;2003;1421;3;48;175;3;3
27/04/2011;Mercia;mercia_axe3.jpg;49;1879;1459;3;49;176;3;3
27/04/2011;Mercia;mercia_axe3.jpg;50;1771;1483;3;50;177;3;3
27/04/2011;Mercia;mercia_axe3.jpg;51;1685;1503;3;51;178;3;3
27/04/2011;Mercia;mercia_axe3.jpg;52;1611;1525;3;52;179;3;3
27/04/2011;Mercia;mercia_axe3.jpg;53;1537;1551;3;53;180;3;3
27/04/2011;Mercia;mercia_axe3.jpg;54;1469;1575;3;54;181;3;3
27/04/2011;Mercia;mercia_axe3.jpg;55;1417;1619;3;55;182;3;3
27/04/2011;Mercia;mercia_axe3.jpg;56;2907;1233;3;56;183;4;4
27/04/2011;Mercia;mercia_axe3.jpg;57;2835;1215;3;57;184;4;4
27/04/2011;Mercia;mercia_axe3.jpg;58;2737;1201;3;58;185;4;4
27/04/2011;Mercia;mercia_axe3.jpg;59;2619;1181;3;59;186;4;4
27/04/2011;Mercia;mercia_axe3.jpg;60;2513;1161;3;60;187;4;4
27/04/2011;Mercia;mercia_axe3.jpg;61;2431;1143;3;61;188;4;4
27/04/2011;Mercia;mercia_axe3.jpg;62;2337;1115;3;62;189;4;4
27/04/2011;Mercia;mercia_axe3.jpg;63;2261;1089;3;63;190;4;4
27/04/2011;Mercia;mercia_axe3.jpg;64;2179;1063;3;64;191;4;4
27/04/2011;Mercia;mercia_axe3.jpg;65;2109;1037;3;65;192;4;4
27/04/2011;Mercia;mercia_axe3.jpg;66;2073;1015;3;66;193;4;4
27/04/2011;Mercia;mercia_axe3.jpg;67;3163;1225;3;67;194;5;5
27/04/2011;Mercia;mercia_axe3.jpg;68;3121;1247;3;68;195;5;5
27/04/2011;Mercia;mercia_axe3.jpg;69;3045;1267;3;69;196;5;5
