"inerv","phiS","s","x","y","xprot","yprot","xrot","yrot","xr","yr","hins","side"
1,0,0,0.91,5.82,0.05735662548659,5.89043378856878,0.05735662548659,5.89043378856878,0,0,5.94465192241633,1
1,0,0.610284266808955,0.931031784743447,6.42992175755998,-0.0101825397588758,6.49696931718396,-0.0101825397588758,6.49696931718396,-0.0675391652454659,0.606535528615175,5.94465192241633,1
1,0,1.22056853361791,0.952063569486895,7.03984351511995,-0.0777217050043417,7.10350484579913,-0.0777217050043417,7.10350484579913,-0.135078330490932,1.21307105723035,5.94465192241633,1
1,0,1.83085280042687,1.02828749185757,7.62833705941922,-0.0875468898792432,7.69683292011019,-0.0875468898792432,7.69683292011019,-0.144903515365833,1.8063991315414,5.94465192241633,1
1,0,2.44113706723582,1.42432939554894,8.09266204995393,0.237059050576818,8.2136286918955,0.237059050576818,8.2136286918955,0.179702425090228,2.32319490332672,5.94465192241633,1
1,0,3.05142133404478,1.95069546719548,8.24687466552328,0.735535426403465,8.44246067157509,0.735535426403465,8.44246067157509,0.678178800916875,2.55202688300631,5.94465192241633,1
1,0,3.66170560085373,2.20687907488755,7.69296416240529,1.06925282549261,7.93150119778121,1.06925282549261,7.93150119778121,1.01189620000602,2.04106740921243,5.94465192241633,1
1,0,4.27198986766269,2.34997393432325,7.10756966213587,1.29563476430061,7.37300851428021,1.29563476430061,7.37300851428021,1.23827813881402,1.48257472571143,5.94465192241633,1
1,0,4.88227413447164,2.41687898613592,6.50096385903431,1.44970298316709,6.78249190126255,1.44970298316709,6.78249190126255,1.3923463576805,0.892058112693764,5.94465192241633,1
1,0,5.4925584012806,2.48378403794859,5.89435805593275,1.60377120203357,6.19197528824488,1.60377120203357,6.19197528824488,1.54641457654698,0.301541499676098,5.94465192241633,1
1,0,6.10284266808955,2.55068908976127,5.28775225283119,1.75783942090004,5.60145867522722,1.75783942090004,5.60145867522722,1.70048279541345,-0.288975113341568,5.94465192241633,1
1,0,6.71312693489851,2.64735273993795,4.69166257470365,1.93982908421103,5.02565790405404,1.93982908421103,5.02565790405404,1.88247245872444,-0.864775884514746,5.94465192241633,1
