"variety","variety_code","harvest","plant","rank","ranktop","relative_ranktop","Nflig","HS","inerv","x","y","hins","side"
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,0,0,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,-0.0675391652454659,0.606535528615175,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,-0.135078330490932,1.21307105723035,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,-0.144903515365833,1.8063991315414,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,0.179702425090228,2.32319490332672,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,0.678178800916875,2.55202688300631,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,1.01189620000602,2.04106740921243,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,1.23827813881402,1.48257472571143,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,1.3923463576805,0.892058112693764,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,1.54641457654698,0.301541499676098,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,1.70048279541345,-0.288975113341568,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,1.88247245872444,-0.864775884514746,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,2.28253104648997,-1.3256446431322,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,2.6825896342555,-1.78651340174966,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,3.08264822202103,-2.24738216036711,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,3.48270680978656,-2.70825091898457,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,3.88276539755209,-3.16911967760202,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,4.28282398531762,-3.62998843621948,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,4.68288257308315,-4.09085719483693,5.94465192241633,1
"Tremie12",1,1,1,7,6.63333333333333,1.66079354251625,7,9.69078701694266,1,5.08294116084868,-4.55172595345439,5.94465192241633,1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0,0,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0.133891940123346,0.603844934464003,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0.267783880246693,1.20768986892801,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0.401675820370039,1.81153480339201,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0.535567760493385,2.41537973785601,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0.669459700616731,3.01922467232002,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0.803351640740078,3.62306960678402,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,0.937243580863424,4.22691454124802,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.07113552098677,4.83075947571202,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.20502746111012,5.43460441017603,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.33891940123346,6.03844934464003,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.47281134135681,6.64229427910403,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.60670328148016,7.24613921356804,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.7405952216035,7.84998414803204,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.90381272085345,7.92132448640134,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,2.10320256447654,7.33583371212065,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,2.05622609914115,6.71939428764678,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,2.00784544431642,6.10277846823687,7.35091293217108,-1
"Tremie12",1,1,1,8,5.63333333333333,0.660793542516247,7,9.69078701694266,2,1.98410859349196,5.48482921105342,7.35091293217108,-1
