Date	var	Rep	N	axe	Nflig	Nfvis	blade_width_F8	blade_width_F9	blade_width_F10	blade_width_F11	blade_width_F12	blade_width_F13
09/06/2011	Mercia	1	1	MB	12	0			1,4	1,6	1,1	
09/06/2011	Mercia	1	3	MB	11	0		1,4		2,1		
09/06/2011	Mercia	1	5	MB	11	0		1,4		2,2		
09/06/2011	Mercia	1	7	MB	11	0		1,5		2		
09/06/2011	Mercia	1	8	MB	12	0				1,8	1,9	
09/06/2011	Mercia	1	11	MB	12	0				1,7	1,7	
09/06/2011	Mercia	1	12	MB	12	0				1,7	1,7	
09/06/2011	Mercia	2	13	MB	11	0		1,4		2		
09/06/2011	Mercia	2	14	MB	12	0				1,7	1,8	
09/06/2011	Mercia	2	15	MB	12	0				1,7	2	
09/06/2011	Mercia	2	16	MB	12	0				1,8	2	
09/06/2011	Mercia	2	17	MB	12	0				1,6	1,8	
09/06/2011	Mercia	2	18	MB	12	0				1,7	1,8	
09/06/2011	Mercia	2	19	MB	11	0		1,9		1,9		
09/06/2011	Mercia	2	20	MB	12	0				1,7	1,6	
09/06/2011	Mercia	2	21	MB	11	0		1,2		2,2		
09/06/2011	Mercia	2	22	MB	11	0		1,4		2		
09/06/2011	Mercia	2	23	MB	12	0				1,7	1,8	
09/06/2011	Mercia	2	24	MB	11	0		1,5		1,9		
09/06/2011	Mercia	3	25	MB	12	0				1,8	1,9	
09/06/2011	Mercia	3	26	MB	13	0				1,5	1,8	2
09/06/2011	Mercia	3	27	MB	11	0				2,1		
09/06/2011	Mercia	3	28	MB	12	0				1,7	1,8	
09/06/2011	Mercia	3	29	MB	11	0		1,7		1,9		
09/06/2011	Mercia	3	30	MB	11	0			1,8	2		
09/06/2011	Mercia	3	31	MB	12	0				1,8		
09/06/2011	Mercia	3	32	MB	12	0				1,6	1,7	
09/06/2011	Mercia	3	33	MB	12	0				1,6	1,7	
09/06/2011	Mercia	3	34	MB	12	0				1,8	2	
09/06/2011	Mercia	3	35	MB	12	0				1,9	2,1	
09/06/2011	Mercia	3	36	MB	12	0				1,6	1,8	
09/06/2011	Rht3	1	1	MB	11	0			1,8	2,3		
09/06/2011	Rht3	1	2	MB	12	0			1,7	2	2,4	
09/06/2011	Rht3	1	5	MB	11	0			1,6	2,8		
09/06/2011	Rht3	1	6	MB	12	0			1,6	2	2,3	
09/06/2011	Rht3	1	8	MB	12	0			1,3	1,7	2	
09/06/2011	Rht3	1	11	MB	11	0		1,6	1,8	2,3		
09/06/2011	Rht3	2	13	MB	11	0			1,9	2,1		
09/06/2011	Rht3	2	17	MB	11	0			1,8	2,2		
09/06/2011	Rht3	2	19	MB	11	0			1,8	1,9		
09/06/2011	Rht3	2	21	MB	12	0			1,5	1,7	2,2	
09/06/2011	Rht3	2	22	MB	10	1		1,7	2			
09/06/2011	Rht3	2	23	MB	11	0			1,8	2		
09/06/2011	Rht3	3	25	MB	11	0			2	2,2		
09/06/2011	Rht3	3	26	MB	12	0			1,7	1,8	2	
09/06/2011	Rht3	3	27	MB	11	0		1,7	2	2,2		
09/06/2011	Rht3	3	28	MB	12	0			1,6	1,9	1,9	
09/06/2011	Rht3	3	29	MB	11	0		1,7	1,9	2,3		
09/06/2011	Rht3	3	30	MB	11	0		1,8	1,9	2,3		
09/06/2011	Rht3	3	31	MB	11	0		1,6	2,1	2,2		
09/06/2011	Rht3	3	32	MB	11	0		1,4	1,7	2		
09/06/2011	Rht3	3	33	MB	11	0			2	2,1		
09/06/2011	Rht3	3	34	MB	11	0		1,8	2,2	2,5		
09/06/2011	Rht3	3	35	MB	11	0		1,8	1,9	2,3		
09/06/2011	Rht3	3	36	MB	12	0			1,8	1,9	1,9	
